unix_timestamp,active_power (mW)
1770049018057536,42830
1770049018100170,42990
1770049018143102,42890
1770049018185707,42790
1770049018228747,42890
1770049018271800,42930
1770049018314622,42940
1770049018357122,42800
1770049018400139,42880
1770049018442952,42940
1770049018485265,42800
1770049018528381,42860
1770049018571347,42900
1770049018614172,42990
1770049018658264,42910
1770049018701213,43050
1770049018744393,42900
1770049018787324,42910
1770049018830168,42920
1770049018873139,43010
1770049018916134,42860
1770049018959038,42810
1770049019002094,42940
1770049019045135,42990
1770049019088188,42830
1770049019131217,42820
1770049019173930,42950
1770049019218939,42940
1770049019261543,42970
1770049019304490,43000
1770049019347450,42840
1770049019390220,42850
1770049019432773,42990
1770049019475201,42890
1770049019518208,42850
1770049019561367,42840
1770049019604693,42970
1770049019647414,42950
1770049019690503,42780
1770049019733385,42930
1770049019779589,42910
1770049019822601,42930
1770049019865161,43020
1770049019908393,42890
1770049019951203,43000
1770049019994210,43070
1770049020037241,42980
1770049020080415,42990
1770049020123375,42950
1770049020165917,43010
1770049020209097,43040
1770049020252049,43020
1770049020294883,43000
1770049020340324,42900
1770049020383460,42990
1770049020426638,43010
1770049020469025,42990
1770049020511784,42930
1770049020554844,42940
1770049020597258,43000
1770049020640230,42850
1770049020682824,42830
1770049020725753,42920
1770049020768489,42940
1770049020810822,42870
1770049020853316,42820
1770049020896243,42870
1770049020941022,42840
1770049020984195,42810
1770049021027103,42850
1770049021069902,42930
1770049021113029,42830
1770049021156125,42780
1770049021198528,42850
1770049021241246,42930
1770049021284162,42820
1770049021326974,42720
1770049021369849,42970
1770049021412951,42990
1770049021456093,42750
1770049021501605,42920
1770049021544037,42900
1770049021587140,42770
1770049021630225,42880
1770049021672916,42920
1770049021716063,42890
1770049021759254,42780
1770049021801958,42850
1770049021845119,42920
1770049021888135,42870
1770049021930956,42750
1770049021973509,42850
1770049022016041,42890
1770049022062140,42750
1770049022105349,42860
1770049022148538,42890
1770049022191522,42870
1770049022234045,42750
1770049022277046,42910
1770049022320270,42930
1770049022363068,42770
1770049022405681,42810
1770049022448687,42940
1770049022491608,42930
1770049022534310,42840
1770049022577256,42800
1770049022622795,42840
1770049022665246,42750
1770049022708414,42790
1770049022751505,42960
1770049022794295,42840
1770049022837306,42780
1770049022880415,42910
1770049022923375,42920
1770049022965885,42900
1770049023008926,42750
1770049023052166,42900
1770049023094727,42960
1770049023137279,42820
1770049023183498,42840
1770049023226187,42940
1770049023269187,42750
1770049023312432,42800
1770049023355321,42940
1770049023398011,42890
1770049023441074,42750
1770049023483821,42800
1770049023526643,42930
1770049023569856,42900
1770049023612863,42740
1770049023655862,42850
1770049023698870,42900
1770049023743963,42730
1770049023786784,42900
1770049023829261,42950
1770049023872126,42820
1770049023914560,42820
1770049023957199,42880
1770049024000239,42860
1770049024043294,42840
1770049024086066,42750
1770049024129018,42920
1770049024172030,42920
1770049024214443,42770
1770049024257400,42790
1770049024300222,42990
1770049024344696,42800
1770049024387435,42870
