unix_timestamp,active_power (mW)
1770049579822642,44230
1770049579868104,44140
1770049579910925,44170
1770049579953844,44240
1770049579996797,44230
1770049580039789,44100
1770049580082512,44190
1770049580125117,44300
1770049580168054,44200
1770049580211153,44190
1770049580254183,44240
1770049580297247,44270
1770049580340454,44150
1770049580382937,44240
1770049580428870,44230
1770049580472048,44140
1770049580515058,44320
1770049580558117,44200
1770049580601039,44200
1770049580644117,44330
1770049580687323,44260
1770049580730285,44150
1770049580773320,44220
1770049580816375,44340
1770049580859360,44240
1770049580902142,44280
1770049580945150,44260
1770049580989478,44260
1770049581032409,44270
1770049581075404,44280
1770049581117993,44280
1770049581161056,44270
1770049581204083,44270
1770049581246897,44270
1770049581289342,44420
1770049581332518,44270
1770049581375720,44210
1770049581418780,44350
1770049581461764,44390
1770049581504513,44190
1770049581550366,44340
1770049581593503,44230
1770049581636378,44250
1770049581679512,44280
1770049581722225,44350
1770049581765131,44200
1770049581808043,44280
1770049581850991,44300
1770049581894091,44270
1770049581937127,44180
1770049581980123,44270
1770049582022971,44280
1770049582065491,44150
1770049582110997,44370
1770049582154173,44300
1770049582197126,44150
1770049582239627,44250
1770049582282153,44310
1770049582325353,44240
1770049582368389,44280
1770049582411347,44360
1770049582454477,44200
1770049582497455,44200
1770049582540247,44300
1770049582583331,44290
1770049582626409,44170
1770049582671642,44310
1770049582714496,44230
1770049582757091,44170
1770049582799940,44350
1770049582842425,44340
1770049582884672,44180
1770049582927322,44240
1770049582969919,44270
1770049583012320,44200
1770049583055005,44150
1770049583097394,44330
1770049583140093,44210
1770049583183301,44110
1770049583226567,44260
1770049583272389,44070
1770049583315233,44310
1770049583357992,44280
1770049583400979,44150
1770049583443668,44270
1770049583486569,44350
1770049583529336,44140
1770049583571678,44160
1770049583614763,44350
1770049583657841,44360
1770049583701036,44120
1770049583744106,44270
1770049583787478,44280
1770049583833209,44230
1770049583876359,44270
1770049583919530,44220
1770049583962142,44140
1770049584005172,44360
1770049584048343,44230
1770049584090853,44120
1770049584133185,44250
1770049584176452,44310
1770049584219373,44140
1770049584261958,44230
1770049584305138,44260
1770049584348320,44190
1770049584393809,44290
1770049584436920,44210
1770049584479958,44240
1770049584522997,44330
1770049584566079,44270
1770049584609151,44190
1770049584652107,44280
1770049584696389,44200
1770049584738748,44240
1770049584781107,44270
1770049584824166,44310
1770049584866651,44210
1770049584909243,44390
1770049584954604,44270
1770049584997625,44490
1770049585040809,44310
1770049585083792,44350
1770049585126311,44440
1770049585169616,44380
1770049585212121,44320
1770049585255047,44370
1770049585297582,44380
1770049585340376,44250
1770049585383447,44330
1770049585426630,44370
1770049585469594,44260
1770049585515437,44310
1770049585558593,44230
1770049585601772,44160
1770049585644863,44260
1770049585688042,44280
1770049585730663,44190
1770049585773204,44210
1770049585816385,44290
1770049585859254,44270
1770049585902411,44130
1770049585945464,44260
1770049585988614,44330
1770049586032298,44130
1770049586076069,44320
1770049586118925,44230
1770049586161776,44150
1770049586204658,44310
1770049586247420,44230
1770049586290579,44140
1770049586333169,44300
1770049586376155,44250
1770049586418946,44140
1770049586461841,44190
1770049586504811,44370
1770049586548010,44190
1770049586590963,44250
1770049586636797,44140
1770049586679865,44170
1770049586722974,44370
1770049586765974,44200
1770049586809065,44250
1770049586852158,44320
1770049586895090,44270
1770049586937973,44290
1770049586981136,44300
1770049587024206,44230
1770049587066978,44340
1770049587109560,44290
1770049587152782,44200
1770049587197699,44340
1770049587240185,44260
1770049587282998,44260
1770049587326178,44340
1770049587369269,44230
1770049587412441,44160
1770049587455430,44260
1770049587498595,44280
1770049587540884,44220
1770049587584110,44240
1770049587626923,44310
