unix_timestamp,active_power (mW)
1770050963005719,46580
1770050963048284,41230
1770050963090731,47420
1770050963133822,46620
1770050963177067,46610
1770050963220291,46700
1770050963263082,46560
1770050963306031,46680
1770050963351259,46710
1770050963394193,46580
1770050963437197,46520
1770050963480341,46530
1770050963523307,46560
1770050963565842,46540
1770050963608644,46540
1770050963651722,46480
1770050963694365,46460
1770050963737327,46420
1770050963780501,46510
1770050963823473,46480
1770050963866060,46470
1770050963911471,46430
1770050963954214,46390
1770050963997209,46390
1770050964040394,46450
1770050964083317,46450
1770050964126189,46500
1770050964169150,46420
1770050964212074,46480
1770050964254620,46420
1770050964297499,46460
1770050964340132,46360
1770050964383275,46460
1770050964426454,46510
1770050964471970,46470
1770050964514959,46520
1770050964558130,46490
1770050964601416,46460
1770050964644633,46590
1770050964687807,46500
1770050964730519,46610
1770050964773332,46540
1770050964816384,46600
1770050964859401,46550
1770050964902016,46640
1770050964945217,46650
1770050964988406,46580
1770050965032440,46610
1770050965075582,46510
1770050965118673,46580
1770050965161556,46570
1770050965204697,46530
1770050965247580,46580
1770050965290193,46610
1770050965333408,46560
1770050965376229,46490
1770050965418704,46470
1770050965461250,46510
1770050965503889,46540
1770050965546817,46490
1770050965592874,46400
1770050965635971,46480
1770050965678912,46430
1770050965721802,46420
1770050965764748,46360
1770050965807852,46430
1770050965850615,46400
1770050965893800,46350
1770050965936855,46360
1770050965979758,46390
1770050966021971,46370
1770050966064969,46370
1770050966108084,46410
1770050966153310,46470
1770050966196391,46420
1770050966239420,46450
1770050966282597,46410
1770050966325249,46480
1770050966368390,46430
1770050966411385,46460
1770050966453958,46440
1770050966497041,46440
1770050966539654,46450
1770050966582207,46440
1770050966624710,46490
1770050966667256,46530
1770050966713881,46530
1770050966757797,46540
1770050966800753,46510
1770050966843606,46490
1770050966886322,46630
1770050966929360,46580
1770050966971842,46570
1770050967014839,46560
1770050967057618,46620
1770050967100704,46490
1770050967143674,46470
1770050967186804,46490
1770050967229193,46590
1770050967274422,46490
1770050967317153,46460
1770050967360010,46650
1770050967402861,46520
1770050967445512,46630
1770050967488338,46600
1770050967530848,46540
1770050967573437,46530
1770050967616315,46660
1770050967658624,46500
1770050967701696,46520
1770050967744741,46470
1770050967787914,46530
1770050967834743,46450
1770050967877875,46420
1770050967920936,46380
1770050967964103,46410
1770050968006769,46450
1770050968049133,46390
1770050968092319,46440
1770050968135194,46380
1770050968177939,46410
1770050968220930,46400
1770050968263980,46460
1770050968306766,46480
1770050968349244,46410
1770050968395278,46510
1770050968437981,46440
1770050968481020,46410
1770050968523807,46400
1770050968566463,46410
1770050968609201,46520
1770050968652239,46420
1770050968695100,46400
1770050968737555,46400
1770050968780787,46480
1770050968823764,46430
1770050968866588,46520
1770050968909205,46460
1770050968955648,46490
1770050968998872,46480
1770050969041522,46470
1770050969084740,46490
1770050969127698,46510
1770050969170476,46570
1770050969213274,46480
1770050969256353,46550
1770050969299476,46560
1770050969342106,46570
1770050969385303,46580
1770050969428296,46550
1770050969471326,46590
1770050969516261,46650
1770050969559201,46540
1770050969602019,46570
1770050969645240,46650
1770050969688427,46630
1770050969731347,46580
1770050969773871,46590
1770050969816990,46580
1770050969859977,46610
1770050969902884,46640
1770050969946041,46530
1770050969989192,46570
1770050970032369,46570
1770050970076718,46570
1770050970119850,46560
1770050970162871,46520
1770050970205961,46520
1770050970249325,46490
1770050970292497,46500
1770050970335725,46470
1770050970378741,46470
1770050970421262,46520
1770050970464071,46490
1770050970506963,46460
1770050970550059,46440
1770050970593025,46450
1770050970637221,46490
1770050970680042,46500
1770050970722318,46550
1770050970765398,46510
1770050970808005,46540
1770050970850642,46560
1770050970893156,46540
1770050970935990,46540
1770050970978934,46580
1770050971021497,46640
1770050971063939,46620
1770050971106927,46660
1770050971150125,46610
1770050971193109,46560
1770050971237886,46510
1770050971280564,46570
1770050971323590,46520
1770050971366474,46580
1770050971408846,46640
1770050971451733,46630
1770050971494687,46560
1770050971537271,46600
1770050971580263,46570
1770050971623318,46610
1770050971665936,46650
1770050971708852,46670
1770050971751717,46530
1770050971798283,46550
1770050971841150,46550
1770050971884015,46480
1770050971926820,46570
1770050971969345,46520
1770050972012320,46520
1770050972055342,46580
1770050972098156,46570
1770050972141380,46570
1770050972184583,46540
1770050972227529,46590
1770050972270025,46540
1770050972313221,46520
1770050972358758,46470
1770050972401908,46520
1770050972445060,46520
1770050972487517,46470
1770050972530439,46470
1770050972573405,46450
1770050972616026,46550
1770050972659175,46490
1770050972702143,46450
1770050972745107,46480
1770050972789393,46340
1770050972832057,46360
1770050972875216,46460
1770050972919411,46440
1770050972962386,46440
1770050973005554,46440
1770050973048610,46380
1770050973091394,46430
1770050973134402,46390
1770050973177541,46380
1770050973220031,46460
1770050973262683,46420
1770050973305171,46430
1770050973348141,46420
1770050973391065,46460
1770050973433539,46420
1770050973479745,46450
1770050973522851,46410
1770050973565894,46550
1770050973608953,46450
1770050973651931,46430
1770050973694375,46430
1770050973737290,46420
1770050973780333,46480
1770050973823015,46470
1770050973865287,46500
1770050973907942,46440
1770050973950841,46500
1770050973993293,46540
1770050974040227,46460
1770050974083225,46470
1770050974125957,46470
1770050974169100,46480
1770050974212470,46470
1770050974255423,46490
1770050974297588,46460
1770050974340373,46530
1770050974383327,46450
1770050974426029,46510
1770050974469171,46480
1770050974512126,46490
1770050974554942,46470
1770050974600715,46490
1770050974643236,46460
1770050974686078,46510
1770050974729236,46440
1770050974772315,46490
1770050974815124,46500
1770050974857784,46490
1770050974901013,46470
1770050974944217,46460
1770050974987291,46480
1770050975030347,46480
1770050975073307,46510
1770050975116536,46450
1770050975161305,46430
1770050975204078,46480
1770050975247314,46470
1770050975290119,46470
1770050975333184,46530
1770050975376150,46500
1770050975419164,46540
1770050975461821,46460
1770050975504482,46480
1770050975547279,46530
1770050975590118,46450
1770050975632850,46450
1770050975675980,46460
1770050975721785,46570
1770050975764932,46450
1770050975808219,46380
1770050975851302,46440
1770050975894095,46440
1770050975937242,46460
1770050975980346,46470
1770050976023545,46450
1770050976066149,46420
1770050976109014,46540
1770050976152215,46440
1770050976195070,46430
1770050976237708,46490
1770050976282448,46410
1770050976325270,46450
1770050976368502,46420
1770050976411275,46540
1770050976453918,46440
1770050976496844,46440
1770050976540110,46480
1770050976583099,46530
1770050976625870,46500
1770050976668970,46470
1770050976712036,46580
1770050976755147,46540
1770050976798232,46530
1770050976843127,46490
1770050976885496,46520
1770050976928135,46500
1770050976970476,46510
1770050977012839,46530
1770050977055798,46530
1770050977098537,46480
1770050977141521,46490
1770050977184554,46490
1770050977227557,46390
1770050977270512,46400
1770050977313102,46440
1770050977356055,46480
1770050977399261,46440
1770050977443820,46450
1770050977487245,46450
1770050977530039,46420
1770050977573039,46450
1770050977616217,46480
1770050977659232,46400
1770050977702205,46390
1770050977745279,46540
1770050977788405,46490
1770050977831633,46430
1770050977874481,46470
1770050977917270,46530
1770050977960312,46500
1770050978004373,46490
1770050978046876,46470
1770050978089895,46500
1770050978132975,46420
1770050978175814,46420
1770050978218740,46340
1770050978261772,46310
1770050978304862,46360
1770050978347887,46510
1770050978390670,46370
1770050978433726,46390
1770050978476795,46410
1770050978519421,46460
1770050978564936,46420
1770050978607848,46540
1770050978650808,46400
1770050978693639,46390
1770050978736721,46490
1770050978779721,46460
1770050978823095,46460
1770050978865805,46450
1770050978909278,46450
1770050978952212,46490
1770050978995133,46360
1770050979037756,46500
1770050979080159,46400
1770050979125784,46490
1770050979168942,46450
1770050979211940,46350
1770050979255082,46470
1770050979298161,46440
1770050979341399,46440
1770050979384544,46550
1770050979427451,46510
1770050979470688,46440
1770050979513682,46440
1770050979556172,46540
1770050979599184,46480
1770050979641908,46340
1770050979686430,46500
1770050979728847,46370
1770050979771629,46590
1770050979814078,46450
1770050979856667,46430
1770050979899465,46490
1770050979942127,46510
1770050979984645,46490
1770050980027634,46470
1770050980070938,46490
1770050980113506,46510
1770050980156714,46530
1770050980199640,46520
1770050980242662,46550
1770050980287386,46580
1770050980330164,46530
1770050980372748,46650
1770050980415253,46540
1770050980458152,46480
1770050980501228,46590
1770050980544397,46540
1770050980586883,46440
1770050980629385,46480
1770050980672456,46490
1770050980715677,46530
