unix_timestamp,active_power (mW)
1770052884778004,45470
1770052884821019,37470
1770052884864267,46450
1770052884907479,46060
1770052884950048,45990
1770052884993048,46040
1770052885036232,45930
1770052885078787,45950
1770052885121239,45890
1770052885164359,45960
1770052885206831,46000
1770052885249246,45990
1770052885292191,45930
1770052885337541,45880
1770052885380504,45950
1770052885423378,45990
1770052885466527,46010
1770052885509704,45940
1770052885552872,45960
1770052885595877,45980
1770052885638537,46040
1770052885681692,46010
1770052885724751,46030
1770052885767821,46010
1770052885811028,45990
1770052885857215,45990
1770052885900343,45940
1770052885943301,45970
1770052885985589,46020
1770052886028690,46000
1770052886071623,46020
1770052886114845,45940
1770052886157695,45900
1770052886200851,45970
1770052886243770,45910
1770052886286666,45880
1770052886329131,45970
1770052886371463,45990
1770052886416954,45950
1770052886459604,45950
1770052886502145,45870
1770052886545278,45870
1770052886587828,45980
1770052886630958,45980
1770052886674108,45960
1770052886717358,45880
1770052886760134,45870
1770052886802996,46000
1770052886845819,45960
1770052886888912,46050
1770052886931933,45940
1770052886976571,45940
1770052887019701,45940
1770052887062487,45950
1770052887105552,45950
1770052887148802,45910
1770052887191607,45990
1770052887234136,45940
1770052887277047,45950
1770052887320223,45950
1770052887362592,46000
1770052887405129,45950
1770052887447906,46010
1770052887490469,46020
1770052887536289,45960
1770052887579369,45950
1770052887622397,45940
1770052887665054,45890
1770052887707927,45880
1770052887750742,45940
1770052887793337,45930
1770052887836086,45970
1770052887878973,45900
1770052887921828,45990
1770052887964637,45830
1770052888007252,45870
1770052888049846,45920
1770052888096084,45910
1770052888138702,46020
1770052888181303,45930
1770052888224378,45910
1770052888267214,45970
1770052888309991,46000
1770052888353133,46030
1770052888396112,46100
1770052888438902,46040
1770052888482051,46010
1770052888525235,46000
1770052888567847,45900
1770052888610689,45950
1770052888655688,45960
1770052888698799,45920
1770052888741705,45980
1770052888784582,45900
1770052888827694,45970
1770052888870566,45890
1770052888913402,45810
1770052888956565,45870
1770052888999328,45970
1770052889042132,45960
1770052889085277,45960
1770052889128322,45980
1770052889175363,45880
1770052889218494,45940
1770052889261741,45990
1770052889304925,45970
1770052889347851,46010
1770052889390542,46040
1770052889433243,45960
1770052889475969,45900
1770052889518810,45940
1770052889561294,45970
1770052889604385,45910
1770052889646941,45970
1770052889689719,45940
1770052889735174,45880
1770052889777955,45930
1770052889820831,45950
1770052889863983,45910
1770052889907006,45960
1770052889949965,45970
1770052889992988,45980
1770052890035846,45910
1770052890078710,45910
1770052890121136,45970
1770052890163744,46060
1770052890206597,46030
1770052890248986,45980
1770052890294682,45920
1770052890337808,45920
1770052890380599,46060
1770052890423498,45960
1770052890466167,45950
1770052890509274,45960
1770052890552299,45960
1770052890595193,45960
1770052890637827,45980
1770052890680805,46000
1770052890723626,46050
1770052890766217,46020
1770052890809164,46000
1770052890854475,46000
1770052890897157,45960
1770052890940213,45890
1770052890983281,45910
1770052891026141,45880
1770052891069023,45850
1770052891112115,45920
1770052891155087,45920
1770052891197490,46070
1770052891240750,46000
1770052891284273,45910
1770052891326775,45900
1770052891369281,45860
1770052891414572,45930
1770052891457233,45930
1770052891500345,45980
1770052891543348,45940
1770052891586171,45940
1770052891629272,45870
1770052891672366,45940
1770052891715233,45960
1770052891757707,45970
1770052891800871,45990
1770052891843849,45970
1770052891886605,46040
1770052891929307,46040
1770052891973780,45950
1770052892016694,45930
1770052892059921,45990
1770052892102904,46030
1770052892145483,45930
1770052892188521,46030
1770052892231619,46000
1770052892274371,46090
1770052892317526,45920
1770052892360753,45960
1770052892403805,45940
1770052892446467,45930
1770052892489265,45950
1770052892533675,46020
1770052892576674,45960
1770052892619541,46000
1770052892662299,45940
1770052892705096,45940
1770052892748149,45910
1770052892790873,45920
1770052892834094,45910
1770052892877173,45940
1770052892919547,46030
1770052892962681,45990
1770052893005801,45960
1770052893048915,45920
1770052893093379,45830
1770052893135771,45930
1770052893178585,45900
1770052893221484,45970
1770052893263935,45910
1770052893306963,45970
1770052893349969,45860
1770052893392930,45900
1770052893435526,45980
1770052893478151,45910
1770052893521176,45960
1770052893564337,45930
1770052893607098,45930
1770052893652937,45980
1770052893695998,46010
1770052893738897,45980
1770052893781512,45970
1770052893824088,45880
1770052893866841,45930
1770052893909443,45950
1770052893952171,46000
1770052893994860,46030
1770052894037257,45990
1770052894080464,45990
1770052894123310,45940
1770052894166130,45950
1770052894212611,45920
1770052894255714,45910
1770052894298540,46010
1770052894341173,46000
1770052894383451,46000
1770052894426127,45920
1770052894468821,45890
1770052894511272,45910
1770052894553693,45960
1770052894596145,46050
1770052894638896,45980
1770052894681840,45980
1770052894724311,45870
1770052894767131,45900
1770052894812235,46020
1770052894855213,45910
1770052894897723,45970
1770052894940680,45980
1770052894983499,46000
1770052895026157,45950
1770052895069213,46000
1770052895112386,46000
1770052895155535,45970
1770052895198610,46040
1770052895241269,46010
1770052895284506,45980
1770052895327648,45950
1770052895371829,46030
1770052895414199,46040
1770052895457086,45960
1770052895499873,45960
1770052895542800,46060
1770052895585240,45970
1770052895628280,46000
1770052895671031,45990
1770052895714147,46040
1770052895757268,46010
1770052895800315,45990
1770052895843424,45950
1770052895886273,45920
1770052895931708,45870
1770052895974771,45850
1770052896017959,45890
1770052896060960,45920
1770052896104091,45990
1770052896147351,45960
1770052896190549,45980
1770052896233621,45900
1770052896276836,45920
1770052896319718,45940
1770052896362903,45880
1770052896405411,45890
1770052896451559,46030
1770052896494150,45940
1770052896537186,45930
1770052896580216,45920
1770052896623407,45890
1770052896665943,45910
1770052896709077,45920
1770052896752223,45900
1770052896795204,45930
1770052896837918,45960
1770052896880811,45920
1770052896923866,45950
1770052896966893,45920
1770052897011527,45900
1770052897054189,45980
1770052897097179,45930
1770052897140004,46000
1770052897183003,45920
1770052897225655,45900
1770052897268076,45920
1770052897311038,45910
1770052897354107,45940
1770052897397067,45980
1770052897439735,45950
1770052897482147,45910
1770052897525088,45800
1770052897570965,45890
1770052897613982,45930
1770052897657170,45990
1770052897700407,45980
1770052897743497,45930
1770052897786300,45950
1770052897829312,46010
1770052897872359,45970
1770052897915529,45890
1770052897958774,45960
1770052898001929,45980
1770052898044943,45980
1770052898090585,45870
1770052898133266,45910
1770052898176145,45910
1770052898218654,45950
1770052898261210,45960
1770052898304311,45970
1770052898346818,46040
1770052898389285,46020
1770052898431459,45890
1770052898474110,45950
1770052898516872,45870
1770052898559708,45940
1770052898602386,45900
1770052898645008,45860
1770052898690386,45970
1770052898733323,46010
1770052898776326,45940
1770052898819122,45960
1770052898861588,45950
1770052898904607,45850
1770052898947629,45910
1770052898990522,45900
1770052899033054,45970
1770052899076129,46000
1770052899118768,45960
1770052899161425,45950
1770052899204602,45940
1770052899250138,45940
1770052899293177,46030
1770052899336015,45990
1770052899378538,46050
1770052899421027,45950
1770052899464120,45910
1770052899506514,46000
1770052899549093,45970
1770052899592251,45980
1770052899635105,46010
1770052899677879,46010
1770052899720963,45880
1770052899763915,45970
1770052899809730,46020
1770052899852441,46030
1770052899895319,45950
1770052899938163,46020
1770052899981173,46060
1770052900024212,45980
1770052900067404,45960
1770052900110213,46010
1770052900153244,45940
1770052900196321,45980
1770052900239166,45960
1770052900281726,45980
1770052900324889,45880
1770052900369586,45920
1770052900412701,45960
1770052900455504,45990
1770052900498252,45950
1770052900541262,45960
1770052900584403,45930
1770052900627521,45840
1770052900670654,45820
1770052900713639,45910
1770052900756688,45900
1770052900799697,46000
1770052900842660,45980
1770052900889211,45900
1770052900932295,45940
1770052900975189,45930
1770052901017924,46020
1770052901060948,46000
1770052901103987,45960
1770052901146898,45990
