unix_timestamp,active_power (mW)
1770053737336938,45920
1770053737379638,41970
1770053737423022,45530
1770053737465803,46000
1770053737508936,46000
1770053737551825,45950
1770053737595106,45880
1770053737637764,45930
1770053737680865,46020
1770053737723917,45980
1770053737766900,45810
1770053737813339,46000
1770053737856494,45970
1770053737899327,45890
1770053737941685,45940
1770053737984749,46010
1770053738027812,45960
1770053738070742,45920
1770053738113878,45900
1770053738156908,45950
1770053738200124,46040
1770053738243296,45980
1770053738286490,45860
1770053738332911,46020
1770053738375916,46010
1770053738418929,45920
1770053738461897,45970
1770053738505154,45980
1770053738547490,45950
1770053738590451,45940
1770053738633604,46030
1770053738676728,46060
1770053738719973,46030
1770053738763142,45970
1770053738806262,45920
1770053738852438,46000
1770053738895542,46010
1770053738938041,45870
1770053738980941,45980
1770053739023723,45990
1770053739066620,46040
1770053739109657,45900
1770053739152359,45900
1770053739195372,45940
1770053739238085,45990
1770053739281245,45990
1770053739324450,45960
1770053739367500,45970
1770053739411933,46020
1770053739454697,46050
1770053739497186,46020
1770053739540305,46010
1770053739583190,45920
1770053739625815,45910
1770053739668842,45920
1770053739712033,46060
1770053739754721,46020
1770053739797439,45900
1770053739840389,45920
1770053739883246,45980
1770053739925884,46050
1770053739971483,45980
1770053740014064,45920
1770053740057140,45900
1770053740100268,46010
1770053740144324,45930
1770053740186975,45930
1770053740229837,45880
1770053740272700,46030
1770053740315834,46060
1770053740358709,45970
1770053740401111,45990
1770053740444029,45890
1770053740487033,45840
1770053740531191,45980
1770053740574170,46000
1770053740617667,46050
1770053740660758,45900
1770053740703869,45940
1770053740746805,45820
1770053740789191,45930
1770053740832121,45960
1770053740875126,45980
1770053740917901,45920
1770053740960811,45940
1770053741003978,45930
1770053741046734,45980
1770053741090796,45860
1770053741133222,45920
1770053741176354,46040
1770053741219387,46020
1770053741261891,45900
1770053741305111,45940
1770053741348240,45910
1770053741391436,45980
1770053741434252,45980
1770053741477396,45980
1770053741520589,45980
1770053741563375,45930
1770053741606040,45960
1770053741650407,45940
1770053741693274,45890
1770053741736362,45920
1770053741779370,45930
1770053741822084,45950
1770053741865133,45970
1770053741908159,45920
1770053741950851,45900
1770053741993121,45840
1770053742036180,46060
1770053742079189,46010
1770053742121827,46020
1770053742164560,45970
1770053742210007,46010
1770053742252811,45920
1770053742295896,45840
1770053742338860,45940
1770053742381189,45900
1770053742424162,45900
1770053742467041,46020
1770053742509810,45930
1770053742553027,45920
1770053742596201,46030
1770053742639030,45910
1770053742681397,45930
1770053742724344,45970
1770053742769645,45930
1770053742812812,45870
1770053742855942,45890
1770053742899039,45920
1770053742941810,46050
1770053742985109,45950
1770053743028299,45900
1770053743071492,45840
1770053743114217,45990
1770053743156830,45990
1770053743199449,46030
1770053743242486,45930
1770053743289229,45940
1770053743332337,45970
1770053743375447,46040
1770053743418258,45920
1770053743461333,45960
1770053743504274,45920
1770053743547158,45960
1770053743590250,46080
1770053743633248,45960
1770053743676347,45890
1770053743719365,45930
1770053743762330,46020
1770053743808926,46080
1770053743851995,45990
1770053743894929,46080
1770053743937755,46020
1770053743980859,45950
1770053744023830,45920
1770053744066508,45900
1770053744109133,45910
1770053744151731,45990
1770053744194551,46010
1770053744237213,45890
1770053744280418,45870
1770053744323401,45750
1770053744368524,46010
1770053744411600,45950
1770053744454511,45870
1770053744497710,45840
1770053744540739,45940
1770053744583951,45960
1770053744627120,45960
1770053744669717,45860
1770053744712797,45890
1770053744755913,46000
1770053744799043,46050
1770053744842127,45920
1770053744888110,45950
1770053744931154,45920
1770053744973916,46000
1770053745017111,45880
1770053745059986,45950
1770053745102911,45880
1770053745145253,45940
1770053745188238,46010
1770053745231324,46030
1770053745274104,45970
1770053745317302,45950
1770053745360469,45900
1770053745403301,45980
1770053745447816,45930
1770053745490979,45920
1770053745533923,45990
1770053745577128,45970
1770053745619937,46100
1770053745662480,46010
1770053745705591,46000
1770053745748216,45930
1770053745790523,45910
1770053745833382,45960
1770053745875925,46060
1770053745919051,46040
1770053745962129,45890
1770053746007306,46040
1770053746050081,46020
1770053746092764,46050
1770053746135581,45960
1770053746178295,45900
1770053746221260,45930
1770053746264455,45970
1770053746307344,45980
1770053746350001,46070
1770053746393011,45930
1770053746436236,45950
1770053746478735,45910
1770053746521024,46000
1770053746566787,45950
1770053746609938,45940
1770053746653141,45900
1770053746696246,46030
1770053746739763,46030
1770053746782359,45960
1770053746825438,45960
1770053746868608,45910
1770053746911422,46010
1770053746954021,46080
1770053746997158,46030
1770053747040272,45930
1770053747086496,45910
1770053747129284,45900
1770053747172434,46020
1770053747215390,45970
1770053747258043,46000
1770053747301206,45910
1770053747344404,45890
1770053747387187,45970
1770053747429889,45970
1770053747472934,46000
1770053747516154,45940
1770053747558684,45940
1770053747601215,45910
1770053747646176,45860
1770053747689164,45920
1770053747732146,46030
1770053747775269,45800
1770053747818062,45900
