unix_timestamp,active_power (mW)
1770054885556907,46400
1770054885599148,36670
1770054885641824,47470
1770054885684712,46400
1770054885727723,46410
1770054885770702,46470
1770054885813052,46460
1770054885856171,46430
1770054885899213,46450
1770054885941931,46450
1770054885984905,46400
1770054886030144,46310
1770054886073152,46370
1770054886116087,46410
1770054886158909,46380
1770054886201309,46410
1770054886244484,46400
1770054886287554,46360
1770054886330679,46310
1770054886373363,46380
1770054886416525,46440
1770054886459283,46390
1770054886502354,46280
1770054886544991,46380
1770054886589606,46340
1770054886632600,46310
1770054886675625,46390
1770054886718701,46420
1770054886761146,46400
1770054886803992,46350
1770054886847120,46370
1770054886890301,46490
1770054886933113,46470
1770054886976253,46370
1770054887019333,46370
1770054887062321,46470
1770054887109225,46360
1770054887152166,46290
1770054887195376,46390
1770054887238679,46430
1770054887281713,46410
1770054887324112,46430
1770054887366532,46420
1770054887409515,46360
1770054887452581,46420
1770054887495855,46320
1770054887538578,46310
1770054887581155,46460
1770054887624279,46450
1770054887668604,46370
1770054887711272,46290
1770054887753900,46370
1770054887796915,46420
1770054887839825,46310
1770054887882954,46380
1770054887925901,46440
1770054887968420,46390
1770054888010695,46310
1770054888053378,46420
1770054888096158,46280
1770054888139262,46430
1770054888181706,46380
1770054888228007,46340
1770054888271161,46400
1770054888313897,46340
1770054888356948,46280
1770054888399934,46340
1770054888442773,46390
1770054888485644,46360
1770054888528553,46360
1770054888571210,46350
1770054888614015,46430
1770054888656832,46460
1770054888699762,46370
1770054888742466,46390
1770054888787530,46420
1770054888830184,46350
1770054888872814,46360
1770054888915793,46400
1770054888958874,46430
1770054889001843,46400
1770054889044996,46400
1770054889087995,46430
1770054889130693,46410
1770054889173063,46370
1770054889215998,46320
1770054889259130,46340
1770054889301914,46390
1770054889347007,46350
1770054889390014,46300
1770054889432870,46380
1770054889475971,46370
1770054889518888,46350
1770054889561305,46340
1770054889604490,46360
1770054889647343,46400
1770054889690529,46450
1770054889733528,46370
1770054889776242,46380
1770054889818832,46380
1770054889861153,46340
1770054889906416,46370
1770054889949302,46400
1770054889992014,46370
1770054890034758,46310
1770054890077269,46350
1770054890120388,46410
1770054890163223,46430
1770054890206384,46310
1770054890249282,46370
1770054890292398,46440
1770054890335580,46480
1770054890377882,46390
1770054890420858,46370
1770054890465843,46500
1770054890508465,46440
1770054890550946,46370
1770054890593314,46450
1770054890636384,46460
1770054890679190,46420
1770054890721535,46370
1770054890764135,46320
1770054890806667,46390
1770054890849727,46460
1770054890892911,46450
1770054890935794,46340
1770054890978459,46340
1770054891025351,46390
1770054891068047,46370
1770054891111233,46330
1770054891154486,46380
1770054891197597,46470
1770054891240827,46380
1770054891283967,46380
1770054891327004,46390
1770054891370061,46490
1770054891413174,46390
1770054891456273,46350
1770054891499232,46370
1770054891544809,46480
1770054891587920,46410
1770054891630615,46400
1770054891673237,46430
1770054891716036,46440
1770054891758937,46380
1770054891801652,46320
1770054891844541,46400
1770054891887255,46420
1770054891930083,46460
1770054891972913,46370
1770054892015299,46330
1770054892057663,46460
1770054892104364,46350
1770054892147404,46350
