unix_timestamp,active_power (mW)
1769589304948484,43840
1769589304991159,43270
1769589305034344,42960
1769589305077219,43000
1769589305120206,42900
1769589305163247,42990
1769589305205758,43060
1769589305248809,42920
1769589305294207,42950
1769589305337317,43010
1769589305380195,42960
1769589305423185,42910
1769589305465902,42900
1769589305508998,42900
1769589305551274,42950
1769589305593830,42990
1769589305636753,43050
1769589305679725,43030
1769589305722879,42950
1769589305766013,43020
1769589305809010,42920
1769589305854434,42860
1769589305897607,42950
1769589305940581,42870
1769589305983587,42900
1769589306025842,42870
1769589306068978,42950
1769589306111902,43020
1769589306154534,42960
1769589306197762,42970
1769589306240909,42900
1769589306283850,42820
1769589306326986,42840
1769589306369982,42910
1769589306414614,42910
1769589306457766,42960
1769589306501004,42960
1769589306544204,42980
1769589306587473,42990
1769589306630666,42940
1769589306673862,42910
1769589306717278,42830
1769589306760335,42860
1769589306803012,42860
1769589306846006,42930
1769589306889009,42880
1769589306934877,42970
1769589306977949,42970
1769589307020984,42930
1769589307063277,42970
1769589307105961,43000
1769589307149141,42880
1769589307192310,42950
1769589307234918,42860
1769589307277751,42900
1769589307320779,42930
1769589307363450,42940
1769589307406400,42960
1769589307449548,42970
1769589307495082,42930
1769589307538272,42970
1769589307581335,42930
1769589307623894,42870
1769589307666962,42960
1769589307710046,42890
1769589307753007,42890
1769589307795760,42930
1769589307838748,42920
1769589307881961,42910
1769589307925020,42900
1769589307967692,42980
1769589308010765,42970
1769589308055286,42960
1769589308098485,42910
1769589308141684,42910
1769589308184807,42900
1769589308227398,42910
1769589308269653,42920
1769589308312768,42860
1769589308355731,42970
1769589308398793,42980
1769589308441935,43030
1769589308485037,42980
1769589308527999,42900
1769589308571137,42940
1769589308615522,42900
1769589308658631,42870
1769589308701739,42880
1769589308744363,42940
1769589308787211,42890
1769589308829826,42900
1769589308872985,42920
1769589308915876,42930
1769589308958658,42870
1769589309001896,43000
1769589309045115,42940
1769589309088213,42970
1769589309131391,42920
