unix_timestamp,active_power (mW)
1769589723948716,43980
1769589723991304,43960
1769589724033890,44300
1769589724077145,44340
1769589724120228,44310
1769589724164667,44350
1769589724207794,44290
1769589724250844,44290
1769589724293970,44290
1769589724337222,44360
1769589724380412,44370
1769589724423520,44350
1769589724466543,44280
1769589724509625,44300
1769589724552674,44330
1769589724595472,44330
1769589724638632,44410
1769589724684722,44300
1769589724727796,44310
1769589724770768,44320
1769589724813947,44250
1769589724856849,44240
1769589724899676,44220
1769589724942753,44250
1769589724985474,44230
1769589725028704,44280
1769589725071497,44160
1769589725114051,44170
1769589725156922,44150
1769589725199815,44230
1769589725244863,44250
1769589725288030,44250
1769589725330633,44310
1769589725373790,44400
1769589725416866,44370
1769589725459903,44330
1769589725502397,44290
1769589725545754,44330
1769589725588796,44300
1769589725631795,44360
1769589725674834,44250
1769589725717802,44200
1769589725760174,44310
1769589725804873,44260
1769589725847493,44210
1769589725890536,44170
1769589725933460,44230
1769589725976589,44170
1769589726019122,44130
1769589726061693,44140
1769589726104894,44110
1769589726147846,44160
1769589726190755,44210
1769589726233921,44210
1769589726276813,44210
1769589726319783,44210
1769589726365180,44360
1769589726408161,44270
1769589726451212,44330
1769589726494306,44330
1769589726537438,44300
1769589726580448,44330
1769589726623277,44240
1769589726666440,44190
1769589726709432,44200
1769589726752494,44160
1769589726794985,44160
1769589726837551,44140
1769589726880528,44190
1769589726925226,44090
1769589726968302,44220
1769589727011237,44170
1769589727053780,44190
1769589727096924,44260
1769589727139364,44230
1769589727181939,44280
1769589727224876,44360
1769589727267995,44310
1769589727310776,44310
1769589727353877,44260
1769589727396993,44200
1769589727439978,44310
1769589727485429,44140
1769589727528459,44300
1769589727571346,44110
1769589727614599,44160
1769589727657420,44260
1769589727700544,44120
1769589727743267,44170
1769589727786400,44240
1769589727829668,44310
1769589727872500,44350
1769589727915813,44390
1769589727958478,44290
1769589728005430,44360
1769589728047973,44270
1769589728090685,44340
1769589728133676,44260
1769589728176875,44300
1769589728219960,44210
1769589728262882,44250
1769589728305851,44260
1769589728349030,44220
1769589728392033,44170
1769589728435160,44180
1769589728477674,44230
1769589728520860,44130
1769589728565560,44260
1769589728608687,44240
1769589728651684,44220
1769589728694933,44240
1769589728737795,44340
1769589728780933,44270
1769589728823764,44280
1769589728866767,44340
1769589728909818,44240
1769589728952854,44330
1769589728995652,44310
1769589729038790,44290
1769589729085751,44200
1769589729128908,44220
1769589729171759,44230
1769589729215016,44190
1769589729257853,44240
1769589729300783,44260
1769589729343835,44290
1769589729386332,44230
1769589729429386,44310
1769589729472524,44300
1769589729515513,44360
1769589729557941,44320
1769589729600870,44360
1769589729645804,44370
1769589729688746,44320
1769589729731848,44350
1769589729774629,44390
1769589729817555,44400
1769589729860469,44360
1769589729903697,44360
1769589729946219,44310
1769589729988819,44320
1769589730031901,44320
1769589730076919,44300
1769589730119781,44310
1769589730165837,44280
1769589730208584,44280
1769589730251581,44250
1769589730294739,44300
1769589730337837,44240
1769589730380793,44240
1769589730423813,44250
1769589730466823,44260
1769589730509819,44220
1769589730552802,44250
1769589730595780,44300
1769589730638812,44270
1769589730681858,44270
1769589730725923,44260
1769589730769162,44320
1769589730812242,44220
1769589730855340,44250
1769589730897714,44300
1769589730940786,44260
1769589730983791,44290
1769589731026300,44290
1769589731068795,44360
1769589731111470,44380
1769589731154296,44440
1769589731197469,44410
1769589731240277,44300
1769589731286116,44220
1769589731329269,44260
1769589731372475,44350
1769589731415661,44350
1769589731458727,44270
1769589731501836,44300
1769589731544355,44310
1769589731587508,44240
1769589731630580,44250
1769589731673621,44180
1769589731716806,44200
1769589731759370,44190
1769589731806229,44270
1769589731849399,44170
1769589731892589,44210
1769589731935604,44260
1769589731978047,44360
1769589732021213,44320
1769589732063929,44290
1769589732106551,44320
1769589732149595,44370
1769589732192517,44370
1769589732235383,44300
1769589732278485,44320
1769589732321620,44360
1769589732366135,44360
1769589732409325,44300
1769589732452276,44310
1769589732495045,44310
1769589732538022,44330
1769589732581221,44290
1769589732624328,44300
