unix_timestamp,active_power (mW)
1769590987912814,44760
1769590987955884,44510
1769590987998238,46630
1769590988041391,46540
1769590988087470,46630
1769590988130694,46570
1769590988173844,46580
1769590988217083,46530
1769590988259951,46610
1769590988302745,46570
1769590988345619,46550
1769590988388570,46630
1769590988431760,46620
1769590988474595,46620
1769590988517676,46700
1769590988560738,46780
1769590988607473,46730
1769590988650635,46790
1769590988693786,46640
1769590988736244,46640
1769590988779467,46620
1769590988822240,46650
1769590988865263,46590
1769590988908427,46600
1769590988951277,46630
1769590988993876,46640
1769590989036934,46640
1769590989080037,46560
1769590989122724,46570
1769590989167130,46440
1769590989209887,46440
1769590989253046,46450
1769590989296062,46430
1769590989339230,46430
1769590989382366,46500
1769590989425513,46410
1769590989468483,46430
1769590989511616,46430
1769590989554528,46350
1769590989597299,46440
1769590989640511,46390
1769590989686955,46410
1769590989729377,46380
1769590989772299,46480
1769590989815061,46470
1769590989857733,46520
1769590989900885,46550
1769590989944012,46550
1769590989987182,46690
1769590990030128,46570
1769590990073250,46670
1769590990116280,46680
1769590990159067,46730
1769590990202268,46690
1769590990246894,46740
1769590990290129,46660
1769590990333298,46620
1769590990375696,46710
1769590990418570,46720
1769590990461595,46620
1769590990504484,46640
1769590990547471,46610
1769590990590642,46610
1769590990633537,46620
1769590990676536,46570
1769590990719604,46550
1769590990762274,46540
1769590990806679,46630
1769590990849825,46510
1769590990892995,46470
1769590990935873,46520
1769590990978555,46500
1769590991021624,46430
1769590991064621,46390
1769590991107014,46350
1769590991149328,46330
1769590991192410,46440
1769590991235353,46410
1769590991277830,46450
1769590991321067,46490
1769590991366542,46470
1769590991409555,46440
1769590991452414,46470
1769590991495376,46450
1769590991538134,46440
1769590991581319,46440
1769590991624544,46470
1769590991667430,46510
1769590991710596,46510
1769590991753576,46470
1769590991796567,46570
1769590991839567,46600
1769590991881976,46560
1769590991926462,46690
1769590991969583,46740
1769590992012617,46850
1769590992055719,46730
1769590992098445,46710
1769590992141587,46710
1769590992184423,46680
1769590992227592,46630
1769590992270516,46650
1769590992313706,46620
1769590992356873,46690
1769590992399884,46630
1769590992446149,46560
1769590992489406,46500
1769590992532506,46440
1769590992575553,46270
1769590992618029,46330
1769590992661224,46390
1769590992703984,46430
1769590992746991,46410
1769590992789914,46450
1769590992833114,46470
1769590992876160,46430
1769590992918817,46410
1769590992965818,46380
1769590993009085,46390
1769590993052245,46390
1769590993095359,46370
1769590993137862,46460
1769590993180973,46420
1769590993223887,46400
1769590993267044,46470
1769590993309710,46550
1769590993352618,46570
1769590993395321,46560
1769590993437920,46720
1769590993481033,46680
1769590993525952,46760
1769590993569049,46690
1769590993611938,46720
1769590993655142,46670
1769590993698270,46720
1769590993741464,46650
1769590993784337,46670
1769590993827045,46630
1769590993869633,46560
1769590993912831,46560
1769590993955995,46560
1769590993999208,46600
1769590994045688,46460
1769590994088838,46530
1769590994131476,46420
1769590994174088,46440
1769590994216993,46390
1769590994260175,46340
1769590994303294,46360
1769590994345829,46370
1769590994389051,46490
1769590994432177,46550
1769590994475182,46510
1769590994518341,46480
1769590994561465,46480
