unix_timestamp,active_power (mW)
1769591522134158,43760
1769591522176713,45010
1769591522219557,45340
1769591522262512,45460
1769591522305626,45350
1769591522348261,45330
1769591522391457,45380
1769591522434701,45430
1769591522477943,45370
1769591522521094,45470
1769591522563948,45420
1769591522610112,45430
1769591522653332,45540
1769591522696383,45530
1769591522739100,45570
1769591522781799,45570
1769591522825049,45480
1769591522868035,45550
1769591522910639,45490
1769591522953654,45490
1769591522996754,45490
1769591523039655,45480
1769591523082870,45530
1769591523130113,45450
1769591523173187,45460
1769591523216275,45430
1769591523259342,45490
1769591523301716,45440
1769591523344649,45450
1769591523387420,45420
1769591523430561,45470
1769591523473806,45390
1769591523517065,45450
1769591523560011,45430
1769591523603022,45370
1769591523646063,45340
1769591523689931,45310
1769591523732435,45270
1769591523775554,45250
1769591523818740,45260
1769591523861856,45340
1769591523904742,45270
1769591523947138,45330
1769591523990218,45280
1769591524033247,45350
1769591524076270,45320
1769591524119242,45330
1769591524162319,45350
1769591524205290,45320
1769591524249976,45370
1769591524293104,45320
1769591524336247,45240
1769591524378793,45360
1769591524421956,45410
1769591524464322,45330
1769591524506697,45340
1769591524549280,45310
1769591524592318,45230
1769591524635409,45370
1769591524678250,45340
1769591524721298,45350
1769591524764340,45320
1769591524809840,45290
1769591524853050,45320
1769591524896040,45310
1769591524939088,45310
1769591524982269,45310
1769591525025154,45350
1769591525067970,45340
1769591525111111,45290
1769591525153644,45280
1769591525196854,45320
1769591525239949,45280
1769591525283029,45250
1769591525329808,45270
1769591525372994,45260
1769591525416106,45270
1769591525458954,45280
1769591525501868,45290
1769591525545037,45210
1769591525587907,45280
1769591525631149,45300
1769591525674432,45210
1769591525717245,45270
1769591525760109,45260
1769591525802780,45330
1769591525845784,45220
1769591525889764,45270
1769591525932909,45300
1769591525975753,45290
1769591526018819,45200
1769591526061919,45260
1769591526105125,45370
1769591526148231,45230
1769591526191006,45340
1769591526234062,45300
1769591526277202,45320
1769591526320385,45290
1769591526363651,45230
1769591526409858,45240
1769591526453037,45310
1769591526495335,45250
1769591526537898,45310
1769591526580926,45300
1769591526624033,45280
1769591526667102,45260
1769591526709694,45300
1769591526752133,45320
1769591526794537,45280
1769591526837578,45380
1769591526880726,45370
1769591526923752,45370
1769591526969786,45380
1769591527012953,45310
1769591527055853,45400
1769591527098925,45390
1769591527141993,45360
1769591527185129,45390
1769591527228369,45340
1769591527271447,45410
1769591527314218,45370
1769591527357251,45380
1769591527400244,45400
1769591527442852,45390
1769591527485058,45410
1769591527529809,45430
1769591527572985,45400
1769591527615959,45380
1769591527658989,45430
1769591527702117,45360
1769591527745171,45350
1769591527788218,45410
1769591527831224,45440
1769591527874235,45360
1769591527917040,45360
1769591527960094,45440
1769591528002905,45350
1769591528045840,45390
1769591528089686,45400
1769591528132599,45330
1769591528175403,45380
1769591528217859,45360
1769591528261006,45300
1769591528303923,45350
1769591528347093,45280
1769591528390490,45280
1769591528433576,45350
1769591528476723,45280
1769591528519392,45360
1769591528561748,45300
1769591528604990,45250
1769591528649713,45330
1769591528692872,45330
1769591528735254,45310
1769591528777883,45220
1769591528821035,45330
1769591528864198,45290
1769591528907234,45270
1769591528949738,45290
1769591528992805,45320
1769591529035388,45420
1769591529077905,45320
1769591529121063,45360
1769591529163983,45450
1769591529209765,45430
1769591529252979,45530
1769591529296156,45440
1769591529339186,45570
1769591529381875,45580
1769591529425108,45530
1769591529468227,45460
1769591529511462,45520
1769591529553920,45520
1769591529597056,45480
1769591529639967,45530
1769591529682633,45440
1769591529725088,45440
1769591529769817,45410
1769591529812886,45370
1769591529855925,45330
1769591529898623,45360
1769591529941820,45310
1769591529985053,45280
1769591530028177,45300
1769591530071114,45260
1769591530113485,45330
1769591530156436,45390
1769591530199480,45290
1769591530242522,45360
1769591530285727,45260
1769591530329739,45310
1769591530372837,45340
1769591530415969,45330
1769591530458962,45290
1769591530501273,45380
1769591530544194,45260
1769591530586771,45320
1769591530629656,45250
1769591530672807,45300
1769591530716018,45310
1769591530758796,45310
1769591530801779,45190
1769591530844939,45300
1769591530889699,45300
1769591530932641,45290
1769591530975577,45280
1769591531018672,45200
1769591531060906,45360
1769591531103495,45270
1769591531146565,45350
1769591531189613,45340
1769591531232530,45300
1769591531275659,45280
1769591531318367,45400
1769591531361419,45170
1769591531404598,45240
1769591531449757,45350
1769591531492867,45270
1769591531535895,45370
1769591531578607,45210
1769591531621835,45220
1769591531665167,45280
1769591531708323,45260
1769591531750924,45320
1769591531794050,45310
1769591531836658,45350
1769591531879644,45350
1769591531922047,45360
1769591531965044,45410
1769591532009850,45420
1769591532052916,45350
1769591532095972,45370
1769591532138432,45330
1769591532181465,45310
