unix_timestamp,active_power (mW)
1769592471672293,44450
1769592471715052,44130
1769592471757902,45330
1769592471801134,45260
1769592471845905,45240
1769592471889088,45290
1769592471932196,45350
1769592471975238,45350
1769592472018313,45340
1769592472061463,45420
1769592472104470,45400
1769592472147357,45400
1769592472190418,45390
1769592472233611,45470
1769592472276068,45410
1769592472319166,45510
1769592472365917,45490
1769592472408946,45520
1769592472452036,45480
1769592472495268,45360
1769592472537805,45400
1769592472580869,45270
1769592472623635,45210
1769592472665850,45270
1769592472708074,45310
1769592472750712,45270
1769592472793741,45280
1769592472836737,45210
1769592472879338,45180
1769592472925413,45200
1769592472968624,45220
1769592473011818,45150
1769592473054590,45170
1769592473097543,45180
1769592473140424,45180
1769592473183579,45260
1769592473226465,45280
1769592473269298,45280
1769592473312205,45260
1769592473354986,45320
1769592473398148,45300
1769592473441319,45320
1769592473485365,45280
1769592473528531,45190
1769592473571339,45210
1769592473614466,45240
1769592473657622,45230
1769592473700554,45250
1769592473742748,45260
1769592473785810,45270
1769592473829025,45220
1769592473871986,45200
1769592473915170,45150
1769592473958249,45180
1769592474005243,45140
1769592474048265,45140
1769592474091172,45160
1769592474133790,45160
1769592474176905,45090
1769592474219957,45180
1769592474262761,45210
1769592474305363,45200
1769592474348521,45200
1769592474391376,45220
1769592474434519,45140
1769592474477464,45160
1769592474519793,45110
1769592474565019,45160
1769592474608122,45170
1769592474651254,45170
1769592474693793,45180
1769592474736801,45210
1769592474779828,45250
1769592474822797,45300
1769592474865599,45280
1769592474908716,45340
1769592474951933,45270
1769592474994874,45330
1769592475038103,45370
1769592475084927,45410
1769592475127910,45330
1769592475170604,45440
1769592475213472,45430
1769592475256313,45490
1769592475299176,45420
1769592475342196,45440
1769592475385189,45400
1769592475428377,45420
1769592475471517,45310
1769592475514467,45290
1769592475557267,45330
1769592475600367,45250
1769592475644785,45210
1769592475687123,45190
1769592475730005,45230
1769592475773151,45230
1769592475816095,45250
1769592475859224,45180
1769592475902389,45160
1769592475945515,45160
1769592475988508,45210
1769592476031110,45250
1769592476073856,45140
1769592476117008,45200
1769592476159929,45270
1769592476204570,45260
1769592476247249,45290
1769592476289907,45340
1769592476333058,45340
1769592476375951,45350
1769592476419053,45370
1769592476462032,45350
1769592476505216,45400
1769592476548443,45430
1769592476591416,45460
1769592476634382,45400
1769592476676957,45380
1769592476719910,45390
1769592476764312,45360
1769592476807517,45310
1769592476849937,45380
1769592476893032,45320
1769592476935415,45300
1769592476978444,45260
1769592477021443,45230
1769592477064546,45260
1769592477107174,45190
1769592477149886,45310
1769592477192998,45280
1769592477236205,45230
1769592477279404,45090
1769592477324003,45130
1769592477366731,45210
1769592477409830,45220
1769592477452895,45160
1769592477496078,45250
1769592477539072,45200
1769592477581838,45270
1769592477625046,45350
1769592477667951,45220
1769592477711141,45350
1769592477753900,45310
1769592477797106,45340
1769592477843983,45330
1769592477887226,45420
1769592477930294,45390
1769592477973222,45480
1769592478016455,45460
1769592478059112,45400
1769592478101731,45490
1769592478144941,45410
1769592478187895,45410
1769592478230955,45400
1769592478274193,45380
1769592478317366,45370
1769592478363838,45310
1769592478406917,45320
1769592478450094,45250
1769592478493284,45360
1769592478535736,45300
1769592478578587,45270
1769592478621448,45250
1769592478663859,45290
1769592478706568,45300
1769592478749627,45240
1769592478792775,45190
1769592478835588,45250
1769592478878739,45170
1769592478923617,45190
1769592478966582,45160
1769592479009979,45130
1769592479053043,45260
1769592479095820,45230
1769592479138354,45150
1769592479181347,45280
1769592479224455,45280
1769592479267004,45290
1769592479309805,45190
1769592479353005,45290
1769592479395645,45260
1769592479438617,45310
1769592479483391,45320
1769592479526434,45230
1769592479569655,45280
1769592479612656,45260
1769592479655793,45250
1769592479698920,45230
1769592479741790,45210
1769592479784909,45220
1769592479828111,45200
1769592479871367,45150
1769592479914471,45190
1769592479957687,45140
1769592480003108,45180
1769592480046317,45160
1769592480089377,45220
1769592480132405,45180
1769592480175221,45210
1769592480217692,45220
1769592480260577,45280
1769592480303476,45210
1769592480345897,45300
1769592480389025,45320
1769592480431885,45380
1769592480474750,45390
1769592480518001,45480
1769592480563086,45450
1769592480605603,45430
1769592480648613,45370
1769592480691273,45400
1769592480734335,45450
1769592480777306,45370
1769592480820251,45410
1769592480863238,45330
1769592480906816,45340
1769592480949627,45360
1769592480992893,45350
1769592481035905,45300
1769592481082793,45280
1769592481125891,45320
1769592481169077,45290
1769592481211943,45220
1769592481255247,45230
1769592481297820,45320
1769592481340803,45280
1769592481384053,45230
1769592481427100,45200
1769592481469756,45220
1769592481512827,45200
1769592481555681,45170
1769592481602558,45180
1769592481645564,45190
1769592481688022,45230
1769592481731058,45240
1769592481774215,45230
1769592481817463,45190
1769592481860652,45150
1769592481903195,45210
1769592481946315,45260
1769592481989591,45330
1769592482032716,45220
1769592482075954,45230
1769592482122533,45260
1769592482165536,45320
1769592482208030,45270
1769592482251250,45220
1769592482293548,45180
1769592482336592,45220
1769592482379269,45170
1769592482422305,45160
1769592482465420,45130
1769592482508102,45180
1769592482550689,45220
1769592482593835,45190
1769592482636328,45150
1769592482682131,45140
1769592482725296,45190
1769592482768161,45230
1769592482810795,45210
1769592482853801,45210
1769592482896804,45330
1769592482939476,45330
1769592482982110,45330
1769592483025101,45350
1769592483068052,45350
1769592483110934,45350
1769592483154107,45340
1769592483197261,45330
1769592483242054,45360
1769592483284791,45280
1769592483327900,45370
1769592483371119,45350
1769592483414372,45280
1769592483457521,45260
1769592483500638,45230
1769592483543593,45240
1769592483586652,45260
1769592483629666,45300
1769592483672696,45170
1769592483715628,45260
1769592483761603,45180
1769592483804570,45190
1769592483847601,45220
1769592483890696,45180
1769592483933661,45190
1769592483976673,45180
1769592484019333,45230
1769592484062453,45160
1769592484105251,45170
1769592484148056,45150
1769592484191008,45200
1769592484234148,45230
1769592484277015,45220
1769592484321471,45200
1769592484364518,45200
1769592484407640,45240
1769592484450269,45190
1769592484493347,45180
1769592484536389,45270
1769592484579424,45200
1769592484622493,45210
1769592484664892,45290
1769592484707491,45190
1769592484750489,45080
1769592484793616,45170
1769592484836635,45160
1769592484881159,45250
1769592484923876,45180
1769592484966292,44250
