unix_timestamp,active_power (mW)
1769592981968893,43800
1769592982011803,45120
1769592982054729,45990
1769592982097920,45920
1769592982141097,45920
1769592982183944,45990
1769592982226535,46040
1769592982269668,46110
1769592982316044,46150
1769592982359139,46120
1769592982402171,46150
1769592982444522,46020
1769592982487546,46070
1769592982530385,46050
1769592982573461,46030
1769592982616391,46010
1769592982659328,45890
1769592982702302,45910
1769592982745355,45850
1769592982787663,45860
1769592982830708,45840
1769592982875696,45920
1769592982918594,45870
1769592982961607,45830
1769592983004552,45810
1769592983047018,45810
1769592983090140,45810
1769592983133232,45790
1769592983175877,45740
1769592983219051,45740
1769592983262030,45800
1769592983305236,45770
1769592983348013,45860
1769592983391168,45840
1769592983435657,45840
1769592983478273,45830
1769592983521276,45840
1769592983564381,45890
1769592983606967,45930
1769592983649855,46000
1769592983693037,45990
1769592983735470,45900
1769592983777882,46070
1769592983820931,46020
1769592983864074,46110
1769592983907064,46040
1769592983950049,46060
1769592983995573,46020
1769592984038702,45900
1769592984081901,46000
1769592984125072,45950
1769592984167903,45970
1769592984210491,45910
1769592984253704,45960
1769592984296765,45840
1769592984339802,45820
1769592984382483,45840
1769592984425680,45860
1769592984468846,45800
1769592984515372,45770
1769592984557750,45780
1769592984600969,45810
1769592984643979,45710
1769592984687015,45830
1769592984729968,45820
1769592984773052,45840
1769592984816103,45810
1769592984859157,45830
1769592984901717,45770
1769592984944848,45940
1769592984987774,45840
1769592985030958,45810
1769592985075367,45920
1769592985117791,45880
1769592985160848,45930
1769592985203820,45960
1769592985247043,45900
1769592985290032,45990
1769592985333174,46060
1769592985376001,46010
1769592985419083,46070
1769592985462149,46030
1769592985505197,46040
1769592985547659,46040
1769592985590278,45990
1769592985635402,45960
1769592985678377,46010
1769592985721541,45940
1769592985763685,45950
1769592985806623,45900
1769592985849796,45970
1769592985892932,45960
1769592985935831,45970
1769592985978960,45940
1769592986021942,45850
1769592986064763,45870
1769592986107897,45860
1769592986151025,45820
1769592986195045,45750
1769592986238235,45740
1769592986280570,45740
1769592986323538,45810
1769592986366015,45790
1769592986408997,45750
1769592986452149,45730
1769592986495338,45850
1769592986538329,45780
1769592986581441,45820
1769592986624473,45910
1769592986667490,45910
1769592986710738,45880
1769592986755148,45930
1769592986797510,45930
1769592986840685,45990
1769592986883971,46020
1769592986926823,46000
1769592986969984,46060
1769592987013054,46060
1769592987056140,46020
1769592987099310,46010
1769592987141892,46020
1769592987185019,46060
1769592987228154,46040
1769592987275145,46110
1769592987317860,46050
1769592987360770,46090
1769592987403514,46010
1769592987446714,45970
1769592987489178,45900
1769592987532402,45910
1769592987575217,45940
1769592987617773,45950
1769592987660947,45910
1769592987704137,45940
1769592987747035,45910
1769592987790166,45880
1769592987834969,45840
1769592987878132,45830
1769592987921189,45840
1769592987964097,45740
1769592988006883,45790
1769592988049812,45760
1769592988092957,45720
1769592988136211,45690
1769592988179330,45770
1769592988222247,45840
1769592988265089,45820
1769592988307525,45770
1769592988350819,45850
1769592988394868,45910
1769592988437943,45850
1769592988481128,45960
1769592988524275,45850
1769592988566884,45860
1769592988609811,45890
1769592988652928,45950
1769592988695932,45930
1769592988739021,45960
1769592988782850,45980
1769592988825926,46030
1769592988869151,46110
1769592988914876,46080
1769592988958053,46020
1769592989001215,46050
1769592989044280,46050
1769592989086820,46010
1769592989129883,46000
1769592989172839,46000
1769592989215842,46020
1769592989258579,45950
1769592989301636,46010
1769592989344808,46070
1769592989388038,46080
1769592989434816,46020
1769592989477961,46060
1769592989520976,46040
1769592989563316,46130
1769592989605908,45910
1769592989648948,45960
1769592989691957,46010
1769592989734396,45990
1769592989776800,45940
1769592989819988,45930
1769592989862864,45910
1769592989905851,45900
1769592989948910,45850
1769592989994725,45840
1769592990037810,45790
1769592990080824,45820
1769592990123743,45760
1769592990166314,45740
1769592990209242,45820
1769592990251691,45810
1769592990294488,45740
1769592990337736,45780
1769592990380258,45780
1769592990423310,45830
1769592990466230,45850
1769592990509288,45780
1769592990554691,45730
1769592990597861,45790
1769592990640856,45730
1769592990683798,45830
1769592990726940,45800
1769592990769697,45800
1769592990812743,45810
1769592990855788,45830
1769592990898911,45800
1769592990941268,45800
1769592990984277,45860
1769592991027371,45880
1769592991070285,45910
1769592991114697,45920
1769592991157827,45880
1769592991201016,45880
1769592991243867,45910
1769592991286402,45870
1769592991329493,45900
1769592991372736,45970
1769592991415770,45930
1769592991458886,45950
1769592991501801,45980
1769592991545079,46040
1769592991588216,45960
1769592991634732,46060
1769592991677871,46090
1769592991721050,46080
1769592991763229,46070
1769592991806424,46090
1769592991849432,46120
1769592991892506,46100
1769592991935506,46040
1769592991978544,46020
1769592992021678,46130
1769592992063955,46090
1769592992107081,46050
1769592992150094,46070
1769592992194659,46100
1769592992237808,46110
1769592992281070,46120
1769592992323836,46100
1769592992366779,46060
1769592992410072,46060
1769592992453233,46010
1769592992496185,46060
1769592992538796,46020
1769592992581843,46110
1769592992624891,46010
1769592992667705,46100
1769592992714600,46050
1769592992757722,46030
1769592992800392,45980
1769592992843561,46020
1769592992886201,46020
1769592992929304,46090
1769592992972450,46010
1769592993015617,46050
1769592993058915,46020
1769592993102046,46080
1769592993145013,46100
1769592993188024,46020
1769592993230296,45980
1769592993274741,46070
1769592993317885,46010
1769592993361028,46000
1769592993404193,46070
1769592993446983,46040
1769592993490009,46060
1769592993533200,46070
1769592993576255,45980
1769592993618763,46050
1769592993661824,46090
1769592993704951,46010
1769592993747873,46050
1769592993794632,46080
1769592993837738,46080
1769592993880948,46100
1769592993924150,46080
1769592993966718,46040
1769592994009947,46050
1769592994053144,45970
1769592994095910,46130
1769592994139096,46040
1769592994182102,46050
1769592994225232,46040
1769592994267787,46020
1769592994314639,46060
1769592994357436,46010
1769592994400447,46080
1769592994443147,46040
1769592994485836,46040
1769592994528858,45990
1769592994571886,46000
1769592994614550,45980
1769592994657732,45960
1769592994700689,45960
1769592994743781,45900
1769592994786120,45920
1769592994829172,45830
1769592994874526,45920
1769592994917654,45900
1769592994960281,45900
1769592995003317,45890
1769592995046596,45990
1769592995089774,45920
1769592995132830,45860
1769592995175948,45860
1769592995218766,45920
1769592995261983,45870
1769592995305074,45890
1769592995347999,45920
1769592995394564,45880
1769592995437323,45870
1769592995480204,45920
1769592995523367,45840
