unix_timestamp,active_power (mW)
1769595275747918,44740
1769595275790202,44380
1769595275833276,46550
1769595275876283,46430
1769595275920793,46570
1769595275963848,46450
1769595276006692,46560
1769595276049893,46510
1769595276093088,46480
1769595276136179,46510
1769595276178741,46430
1769595276221961,46530
1769595276265089,46530
1769595276308063,46450
1769595276350630,46450
1769595276393851,46450
1769595276440638,46540
1769595276483604,46540
1769595276526652,46570
1769595276569080,46490
1769595276612091,46490
1769595276655216,46430
1769595276698016,46470
1769595276740512,46410
1769595276783138,46410
1769595276826257,46400
1769595276869360,46340
1769595276912237,46260
1769595276955037,46230
1769595277000496,46290
1769595277043259,46200
1769595277086231,46150
1769595277129408,46210
1769595277172324,46150
1769595277214905,46210
1769595277258016,46230
1769595277301086,46190
1769595277343545,46170
1769595277385869,46290
1769595277429046,46150
1769595277472146,46230
1769595277514732,46270
1769595277560629,46230
1769595277603075,46310
1769595277646267,46310
1769595277689284,46370
1769595277732200,46360
1769595277775229,46340
1769595277817980,46350
1769595277861210,46370
1769595277904431,46410
1769595277947431,46430
1769595277990589,46470
1769595278033811,46500
1769595278080644,46520
1769595278123796,46480
1769595278166436,46500
1769595278208762,46490
1769595278251593,46480
1769595278294770,46490
1769595278338291,46550
1769595278381304,46550
1769595278424090,46550
1769595278467113,46440
1769595278510321,46560
1769595278553452,46510
1769595278596404,46580
1769595278640741,46540
1769595278683882,46520
1769595278726641,46610
1769595278769809,46480
1769595278812852,46490
1769595278856001,46530
1769595278899227,46540
1769595278942015,46470
1769595278984903,46560
1769595279027850,46540
1769595279070650,46470
1769595279113751,46580
1769595279160743,46530
1769595279203861,46500
1769595279246686,46490
1769595279289733,46540
1769595279332818,46480
1769595279375606,46520
1769595279418054,46500
1769595279461025,46500
1769595279504164,46530
1769595279546909,46540
1769595279590148,46520
1769595279633436,46440
1769595279676650,46400
1769595279720632,46550
1769595279763434,46560
1769595279806413,46550
1769595279849243,46510
1769595279892266,46520
1769595279935277,46510
1769595279978270,46550
1769595280021026,46530
1769595280064032,46550
1769595280106755,46510
1769595280149841,46550
1769595280192851,46560
1769595280235907,46550
1769595280280723,46520
1769595280323779,46540
1769595280366315,46570
1769595280409375,46470
1769595280452154,46580
1769595280495349,46480
1769595280538581,46520
1769595280581448,46510
1769595280624583,46510
1769595280667068,46540
1769595280709992,46540
1769595280753225,46460
1769595280796094,46530
1769595280840730,46540
1769595280883597,46520
1769595280925911,46580
1769595280968866,46530
1769595281011270,46550
1769595281053883,46570
1769595281096706,46560
1769595281139574,46520
1769595281182054,46540
1769595281224518,46500
1769595281267402,46520
1769595281310374,46500
1769595281353390,46500
1769595281396435,46530
1769595281440740,46490
1769595281483881,46510
1769595281527068,46510
1769595281570293,46550
1769595281613476,46420
1769595281656014,46470
1769595281698686,46450
1769595281740931,46420
1769595281783280,46470
1769595281826406,46340
1769595281868767,46410
1769595281911204,46380
1769595281953924,46380
1769595282000707,46310
1769595282043767,46390
1769595282086702,46410
1769595282129824,46440
1769595282172780,46420
1769595282216064,46390
1769595282258824,46420
1769595282301854,46490
1769595282344963,46460
1769595282387831,46430
1769595282430434,46390
1769595282473618,46500
1769595282516430,46500
1769595282560971,46530
1769595282603955,46480
1769595282647177,46510
1769595282690393,46480
1769595282733343,46490
1769595282776417,46510
1769595282819087,46440
1769595282862249,46530
1769595282905232,46490
1769595282948338,46470
1769595282990812,46560
1769595283033971,46520
1769595283080898,46540
1769595283124041,46510
1769595283166835,46540
1769595283210045,46540
1769595283253318,46510
1769595283296259,46510
1769595283339468,46490
1769595283381823,46520
1769595283425002,46460
1769595283467756,46450
1769595283510732,46450
1769595283553706,46450
1769595283597004,46440
1769595283641019,46380
1769595283684131,46440
1769595283727254,46420
1769595283769737,46460
1769595283812758,46410
1769595283855841,46410
1769595283898364,46420
1769595283941424,46410
1769595283984346,46360
1769595284027312,46320
1769595284069919,46400
1769595284112964,46360
1769595284155246,46330
1769595284200893,46310
1769595284243795,46350
1769595284286949,46350
1769595284330227,46400
1769595284372611,46310
1769595284415516,46340
1769595284458082,46290
1769595284501104,46410
1769595284544271,46430
1769595284587350,46330
1769595284630305,46390
1769595284673378,46360
1769595284716442,46380
1769595284761176,46420
1769595284804308,46400
1769595284847420,46340
1769595284890436,46350
1769595284933459,46320
1769595284976524,46270
1769595285019423,46260
1769595285062645,46320
1769595285105720,46330
1769595285148964,46240
1769595285192103,46270
1769595285234662,46240
1769595285281159,46300
1769595285323796,46280
1769595285366958,46290
1769595285409809,46330
1769595285452957,46350
1769595285496031,46310
1769595285538621,46270
1769595285581137,46280
1769595285624196,46330
1769595285667363,46270
1769595285709780,46240
1769595285752990,46210
1769595285795879,46220
1769595285841328,46200
1769595285884122,46210
1769595285927254,46190
1769595285969696,46190
1769595286012819,46270
1769595286055832,46230
1769595286098535,46340
1769595286141672,46230
1769595286184772,46310
1769595286227827,46290
1769595286270536,46300
1769595286313552,46210
1769595286356029,46340
1769595286401578,46220
1769595286444710,46240
1769595286487541,46200
1769595286530707,46110
1769595286573600,46300
1769595286616634,46250
1769595286659650,46200
1769595286702232,46250
1769595286744856,46320
1769595286788014,46260
1769595286831088,46290
1769595286873674,46280
1769595286916806,46300
1769595286961698,46280
1769595287004674,46170
1769595287047881,46250
1769595287090556,46260
1769595287133418,46140
1769595287176324,46220
1769595287219031,46310
1769595287262216,46210
1769595287305341,46350
1769595287348248,46320
1769595287391371,46260
1769595287433957,46320
1769595287477211,46300
1769595287521930,46340
1769595287564986,46400
1769595287607708,46480
1769595287650786,46540
1769595287693704,46480
1769595287736705,46500
1769595287779781,46500
1769595287822717,46430
1769595287865788,46520
1769595287908885,46590
1769595287952078,46560
1769595287994982,46550
1769595288038223,46540
1769595288082221,46450
1769595288125387,46460
1769595288168449,46500
1769595288211432,46420
1769595288254568,46400
1769595288297816,46350
1769595288340812,46350
1769595288383931,46310
1769595288426396,46280
1769595288469481,46280
1769595288512554,46370
1769595288555795,46250
1769595288602282,46250
1769595288645403,46310
1769595288688615,46330
1769595288731162,46240
1769595288774010,46240
1769595288817439,46140
1769595288860426,46190
1769595288903654,46220
1769595288946610,46210
1769595288989806,46230
1769595289032783,46290
1769595289075667,46270
1769595289118404,46220
1769595289162493,46300
1769595289205631,46200
1769595289248074,46240
1769595289290970,46230
1769595289334088,46300
1769595289377271,46300
1769595289419670,46280
1769595289462601,46290
1769595289505606,46400
1769595289548713,46220
1769595289591814,46400
1769595289634640,46500
1769595289677749,46490
1769595289722855,46550
1769595289765769,46530
1769595289808927,46500
1769595289851953,46530
1769595289895103,46500
1769595289937849,46530
1769595289980606,46490
1769595290023337,46540
1769595290065868,46500
1769595290108978,46470
1769595290151855,46410
1769595290194021,46360
1769595290236972,46320
1769595290283097,46280
1769595290326279,46250
1769595290369387,46220
1769595290412306,46240
1769595290454911,46200
1769595290497820,46270
1769595290541004,46260
1769595290584078,46300
1769595290626798,46240
1769595290669954,46250
1769595290713175,46280
1769595290756132,46330
1769595290798687,46320
1769595290843338,46410
1769595290886276,46380
1769595290929181,46380
1769595290972279,46380
1769595291015334,46380
1769595291058045,46510
1769595291101065,46530
1769595291144287,46480
1769595291187126,46460
1769595291230166,46510
1769595291273230,46550
1769595291316223,46510
1769595291359413,46600
1769595291403776,46480
1769595291446267,46540
1769595291489412,46490
1769595291532392,46430
1769595291575589,46450
1769595291618723,46490
1769595291661786,46390
1769595291704851,46360
1769595291747388,46420
1769595291789948,46370
1769595291832312,46340
1769595291874819,46270
1769595291917824,46350
1769595291963940,46290
1769595292006648,46330
1769595292049608,46240
1769595292092765,46220
1769595292135713,46250
1769595292178360,46260
1769595292221477,46190
1769595292264363,46240
1769595292307030,46170
1769595292350236,46230
1769595292393171,46320
1769595292436376,46280
1769595292479259,46310
