unix_timestamp,active_power (mW)
1769595665164704,43860
1769595665207338,45250
1769595665250303,45770
1769595665292556,45820
1769595665335579,45830
1769595665378737,45750
1769595665421742,45730
1769595665464824,45800
1769595665507753,45780
1769595665550342,45790
1769595665597513,45770
1769595665640674,45790
1769595665683774,45800
1769595665726751,45690
1769595665769756,45730
1769595665812744,45750
1769595665855684,45750
1769595665898763,45710
1769595665941886,45760
1769595665984869,45750
1769595666027874,45670
1769595666070695,45730
1769595666113636,45710
1769595666157593,45710
1769595666200702,45740
1769595666243920,45780
1769595666287122,45700
1769595666330495,45760
1769595666373617,45720
1769595666416865,45800
1769595666459719,45720
1769595666502855,45750
1769595666545723,45780
1769595666588700,45770
1769595666631903,45700
1769595666677786,45730
1769595666720837,45650
1769595666763745,45700
1769595666806451,45650
1769595666849518,45620
1769595666892379,45670
1769595666935183,45770
1769595666977371,45690
1769595667020402,45760
1769595667063153,45810
1769595667105613,45790
1769595667148886,45830
1769595667191965,45760
1769595667237826,45800
1769595667280819,45720
1769595667323865,45810
1769595667366747,45720
1769595667409822,45690
1769595667452831,45690
1769595667495358,45710
1769595667538450,45670
1769595667581220,45670
1769595667624279,45730
1769595667667084,45700
1769595667710266,45690
1769595667753314,45740
1769595667798126,45750
1769595667841217,45760
1769595667884424,45740
1769595667927306,45750
1769595667969755,45750
1769595668012923,45830
1769595668055850,45650
1769595668098695,45690
1769595668141992,45740
1769595668184490,45720
1769595668227643,45740
1769595668270076,45710
1769595668312553,45680
1769595668358025,45700
1769595668401074,45690
1769595668444139,45690
1769595668487022,45730
1769595668529880,45670
1769595668573109,45740
1769595668616308,45790
1769595668659501,45760
1769595668702311,45730
1769595668745000,45790
1769595668787914,45820
1769595668831106,45760
1769595668878235,45680
1769595668921390,45720
1769595668964553,45660
1769595669007512,45700
1769595669050728,45720
1769595669093613,45690
1769595669136459,45710
1769595669179314,45670
1769595669222540,45680
1769595669265796,45670
1769595669308985,45800
1769595669351800,45760
1769595669394479,45760
1769595669438379,45790
1769595669481484,45770
1769595669523898,45720
1769595669566939,45710
1769595669609822,45770
1769595669652757,45750
1769595669695922,45730
1769595669738521,45670
1769595669781750,45740
1769595669824793,45730
1769595669867812,45710
1769595669910593,45750
1769595669953884,45770
1769595669998519,45780
1769595670041534,45880
1769595670084552,45850
1769595670127345,45850
1769595670170286,45870
1769595670213205,45810
1769595670256445,45840
1769595670299559,45820
1769595670342073,45850
1769595670385229,45850
1769595670428295,45840
1769595670471453,45800
1769595670514125,45900
1769595670558684,45840
1769595670601845,45900
1769595670644759,45830
1769595670687533,45870
1769595670730347,45920
1769595670773425,45900
1769595670816522,45980
1769595670859697,45950
1769595670902622,45990
1769595670945829,45940
1769595670988995,45980
1769595671031865,46070
1769595671078749,46050
1769595671121320,46090
1769595671164250,46050
1769595671207001,46020
1769595671250261,46020
1769595671292623,46020
1769595671335637,46020
1769595671378124,45970
1769595671420542,46020
1769595671462974,45950
1769595671505986,46010
1769595671549079,45950
1769595671592268,45980
1769595671638936,45990
1769595671682104,45950
1769595671725210,45990
1769595671768147,46020
1769595671811320,46000
1769595671853955,46020
1769595671896916,46020
1769595671939943,46040
1769595671982776,46050
1769595672025746,46010
1769595672068865,46020
1769595672111794,46050
1769595672154528,46020
1769595672199042,46090
1769595672242190,46040
1769595672285369,46050
1769595672328400,46010
1769595672371419,45990
1769595672414432,46080
1769595672457556,46000
1769595672500738,45990
1769595672543347,46030
1769595672585807,46010
1769595672628746,46010
1769595672671580,45990
1769595672715106,46070
1769595672759181,45980
1769595672801861,46000
1769595672844776,45960
1769595672887923,45960
1769595672930833,45940
1769595672973141,45880
1769595673015754,45830
1769595673058823,45830
1769595673101852,45840
1769595673144968,45860
1769595673187879,45850
1769595673230375,45900
1769595673273620,45880
1769595673319141,45880
1769595673361862,45990
1769595673404796,46040
1769595673447694,46020
1769595673490473,46060
1769595673533158,45990
1769595673575556,45970
1769595673617935,45940
1769595673660902,46000
1769595673703915,46040
1769595673746288,45970
1769595673789461,46050
1769595673832709,46020
1769595673879305,46070
1769595673922354,45920
1769595673965589,46010
1769595674008528,46090
1769595674051680,45960
1769595674094796,46010
1769595674137572,46000
1769595674180633,45980
1769595674223452,45980
1769595674266333,45970
1769595674308733,45980
1769595674352063,45930
1769595674394655,45930
1769595674439383,45940
1769595674482469,45970
1769595674525556,46010
1769595674568580,46040
1769595674611398,46050
1769595674654629,46000
1769595674697805,46020
1769595674740923,46000
1769595674783833,46050
1769595674826459,46040
1769595674869640,46060
1769595674912823,46020
1769595674959354,46030
1769595675002482,46010
1769595675044906,46130
1769595675088015,45920
1769595675131151,46080
1769595675173963,46000
1769595675217149,46040
1769595675260047,46050
1769595675303222,46020
1769595675345681,46000
1769595675388597,45940
1769595675431549,46000
1769595675474638,45960
1769595675519371,45980
1769595675561769,45970
1769595675604321,45930
1769595675646859,45950
1769595675690045,45900
1769595675733282,45780
1769595675776501,45910
1769595675819634,45870
1769595675862674,45850
1769595675905731,45830
1769595675948577,45820
1769595675991287,45820
1769595676034301,45830
1769595676079406,45740
1769595676122514,45790
1769595676165704,45710
1769595676208813,45710
1769595676251796,45700
1769595676294643,45740
1769595676337848,45740
1769595676380781,45760
1769595676423925,45690
1769595676466612,45680
1769595676509745,45730
1769595676552140,45740
1769595676594715,45780
1769595676639444,45750
1769595676682561,45750
1769595676725631,45900
1769595676768690,45880
1769595676811838,45890
1769595676854673,45900
1769595676897744,45960
1769595676940933,45910
1769595676983828,46010
1769595677026829,46050
1769595677069457,46040
1769595677112415,45960
1769595677159608,45960
1769595677201983,46000
1769595677244894,46040
1769595677287267,45990
1769595677330304,46000
1769595677373477,46010
1769595677416673,45900
1769595677459499,45950
1769595677502440,45900
1769595677545424,45870
1769595677588396,45880
1769595677631618,45790
1769595677674748,45960
1769595677719527,45770
1769595677762626,45760
1769595677805689,45740
1769595677848683,45780
1769595677891587,45710
1769595677934628,45780
1769595677977796,45810
1769595678020820,45850
1769595678063765,45790
1769595678106557,45860
1769595678149618,45810
1769595678192699,45790
1769595678235773,45920
1769595678279572,45900
1769595678322672,45890
1769595678365145,45900
1769595678408209,45970
1769595678451289,45870
1769595678493766,46000
1769595678536651,46010
1769595678579627,45930
1769595678622498,46010
1769595678665540,45980
1769595678708543,45990
1769595678751440,46000
1769595678794233,45950
1769595678839680,45960
1769595678882754,45920
1769595678925801,45950
1769595678968850,46010
1769595679011886,45950
1769595679054883,45940
1769595679097627,45980
1769595679140819,45950
1769595679183674,45920
1769595679226355,45840
1769595679269329,45810
1769595679312376,45830
1769595679355579,45750
1769595679399592,45680
1769595679441867,45660
1769595679484773,45630
1769595679527533,45630
1769595679570570,45650
1769595679613774,45720
1769595679656817,45740
1769595679699789,45610
1769595679742509,45720
1769595679785413,45680
1769595679828572,45790
1769595679871597,45710
1769595679914682,45770
1769595679959565,45870
1769595680002606,45790
1769595680045849,45820
1769595680088780,45870
1769595680131763,45810
1769595680174382,45880
1769595680217420,45830
1769595680260480,45960
1769595680303114,45980
1769595680345943,45980
1769595680388826,45970
1769595680432023,46080
1769595680475128,46030
1769595680519584,45950
1769595680562434,45820
1769595680605538,45870
1769595680648736,45830
1769595680691672,45840
1769595680734400,45860
1769595680777598,45790
1769595680820887,45820
1769595680863676,45810
1769595680906761,45890
1769595680949818,45800
1769595680992526,45830
1769595681039405,45770
1769595681082497,45740
