unix_timestamp,active_power (mW)
1769680008912249,54670
1769680008954798,50910
1769680008997727,50590
1769680009043231,43450
1769680009086294,16990
1769680009129266,30870
1769680009172359,41270
1769680009214987,53480
1769680009257840,56590
1769680009301095,56620
1769680009343972,56490
1769680009386978,56630
1769680009430033,57980
1769680009472621,58620
1769680009515725,57770
1769680009558528,57420
1769680009603389,57320
1769680009645757,57420
1769680009688904,58360
1769680009731676,57440
1769680009774644,57340
1769680009817990,58280
1769680009861169,57550
1769680009904362,57680
1769680009946987,58730
1769680009990210,61160
1769680010033438,57260
1769680010076238,57500
1769680010119498,59040
1769680010163563,59140
1769680010206663,54740
1769680010249095,58170
1769680010292194,57090
1769680010334929,58470
1769680010377834,55300
1769680010420986,49180
1769680010464223,50950
1769680010507314,56990
1769680010550016,60080
1769680010593245,71100
1769680010636324,58230
1769680010678969,58510
1769680010723752,57400
1769680010766065,62390
1769680010809186,61400
1769680010851615,63350
1769680010894661,57520
1769680010937734,57200
1769680010980876,57730
1769680011023768,57430
1769680011067043,58110
1769680011110281,57480
1769680011153458,57270
1769680011196568,58070
1769680011239880,59380
1769680011283802,52830
1769680011326463,59490
1769680011369472,58530
1769680011412111,58260
1769680011454670,58860
1769680011497772,56610
1769680011540720,56690
1769680011583890,56790
1769680011626866,56760
1769680011669692,57510
1769680011712647,58110
1769680011755873,57350
1769680011798395,56440
1769680011844281,57430
1769680011886866,57830
1769680011929775,57770
1769680011972746,55280
1769680012015897,57850
1769680012058673,57940
1769680012101890,59860
1769680012144982,56230
1769680012187966,56750
1769680012230907,56620
1769680012273752,56700
1769680012316693,56870
1769680012359619,58310
1769680012404264,58700
1769680012447451,58620
1769680012490277,58630
1769680012533281,59640
1769680012576408,57960
1769680012619323,58710
1769680012661751,56230
1769680012704742,56790
1769680012747956,56710
1769680012791092,56700
1769680012834286,56870
1769680012877533,58420
1769680012924481,57710
1769680012967492,57720
1769680013009857,57470
1769680013053050,57410
1769680013095902,57410
1769680013139071,58590
1769680013182055,57400
1769680013225208,57330
1769680013267644,58630
1769680013309936,57590
1769680013353020,58010
1769680013396041,60330
1769680013438732,59670
1769680013484706,57760
1769680013527794,60440
1769680013570764,59980
1769680013614002,57980
1769680013657181,58380
1769680013699988,54260
1769680013742562,50050
1769680013785744,50020
1769680013828862,55960
1769680013871519,50540
1769680013914571,57570
1769680013957835,56340
1769680014004898,53980
1769680014048064,48160
1769680014091206,49140
1769680014133712,48140
1769680014177000,50960
1769680014220158,58240
1769680014263157,62590
1769680014305484,61890
1769680014348550,64090
1769680014391405,57550
1769680014434584,57120
1769680014477774,57500
1769680014520847,57470
1769680014565069,57440
1769680014608182,57270
1769680014651460,57860
1769680014694593,59830
1769680014737702,60360
1769680014780856,52090
1769680014823899,59150
1769680014866532,58820
1769680014909849,58020
1769680014952995,59070
1769680014995472,56550
1769680015037700,56970
1769680015080747,56810
1769680015125388,57530
1769680015168067,58050
1769680015210974,57350
1769680015253893,56270
1769680015296263,57710
1769680015338741,57260
1769680015381725,57750
1769680015424892,57770
1769680015467791,55310
1769680015510872,57790
1769680015553946,58040
1769680015597010,59990
1769680015640055,56200
1769680015685513,56650
1769680015728693,56620
1769680015771271,56750
1769680015814380,58370
1769680015857476,58000
1769680015900923,58700
1769680015943276,58570
1769680015986392,58640
1769680016029594,60060
1769680016072159,57770
1769680016114923,44110
1769680016157961,46110
1769680016200375,59960
1769680016245765,56730
1769680016288954,56610
1769680016331758,56630
1769680016374385,57090
1769680016417486,58080
1769680016460481,58770
1769680016503715,57550
1769680016546928,57320
1769680016590175,57430
1769680016633380,57440
1769680016676330,57430
1769680016719562,58400
1769680016762075,57230
1769680016806101,57950
1769680016849280,57440
1769680016892206,58000
1769680016935402,61470
1769680016978492,58470
1769680017021474,57660
1769680017064616,58170
1769680017107596,62290
1769680017150676,59140
1769680017193582,54470
1769680017236467,58140
1769680017278693,54870
1769680017321066,53120
1769680017366251,53720
1769680017409456,52270
1769680017452298,51850
1769680017495273,59880
1769680017538382,62130
1769680017581575,62410
1769680017624501,62550
1769680017667652,57250
1769680017710586,57380
1769680017753746,57880
1769680017796849,57510
1769680017839548,58250
1769680017882437,57360
1769680017926517,57990
1769680017969639,60230
1769680018012647,58370
1769680018055743,53940
1769680018098895,59480
1769680018141762,58070
1769680018184953,59310
1769680018227925,57350
1769680018270775,56470
1769680018313915,56760
1769680018356855,56860
1769680018399676,56790
1769680018446599,57970
1769680018489376,57130
1769680018532443,56810
1769680018575221,57690
1769680018618459,57520
1769680018661654,57690
1769680018704762,57240
1769680018747811,56100
1769680018790941,57940
1769680018834086,58510
1769680018877202,58890
1769680018919854,56530
1769680018966870,56620
1769680019009898,56670
1769680019052993,57360
1769680019096071,58140
1769680019139023,58520
1769680019182267,58760
1769680019225270,58690
1769680019268403,58770
1769680019311574,60120
1769680019353961,52430
1769680019396608,45620
1769680019439776,51220
1769680019482746,58130
1769680019527129,56550
1769680019570265,56630
1769680019613488,56630
1769680019656482,57550
1769680019699274,58200
1769680019742463,58710
1769680019785045,57350
1769680019828002,57470
1769680019871051,57380
1769680019914210,57390
1769680019957428,62770
1769680020000380,69140
1769680020047263,58400
1769680020090401,57490
1769680020133569,57470
1769680020176468,57990
1769680020219363,62080
1769680020262399,57670
1769680020304728,57620
1769680020347720,58010
1769680020390477,62250
1769680020433478,59130
1769680020476317,51780
1769680020519493,58100
1769680020562585,55020
1769680020607495,48920
1769680020650632,54370
1769680020693633,51050
1769680020736656,51040
1769680020779702,61300
1769680020822879,61960
1769680020866064,62770
1769680020909212,61640
1769680020952221,57210
1769680020995191,57450
1769680021038225,57640
1769680021081459,57500
1769680021127761,57400
1769680021170738,57540
1769680021213837,58050
1769680021256980,60350
1769680021299896,59050
1769680021342610,53740
1769680021385684,59360
1769680021428438,58100
1769680021471606,59410
1769680021514667,57330
1769680021557783,56600
1769680021600899,56710
1769680021647782,56740
1769680021690912,57760
1769680021733851,58010
1769680021777042,57010
1769680021819987,56830
1769680021863117,57900
1769680021905712,57560
1769680021948930,57590
1769680021991986,57450
1769680022035065,56630
1769680022078191,57990
1769680022121127,58500
1769680022167974,56530
1769680022211038,56700
1769680022253975,56670
1769680022296960,56820
1769680022339656,57500
1769680022382407,58080
1769680022425545,58430
1769680022468307,58730
1769680022511347,59200
1769680022554488,59350
1769680022597670,60160
