unix_timestamp,active_power (mW)
1769681090694698,26870
1769681090737788,21620
1769681090780886,29740
1769681090823740,33560
1769681090866810,47520
1769681090909689,50050
1769681090954086,50140
1769681090997195,50090
1769681091040188,50060
1769681091083332,49940
1769681091126199,50050
1769681091169142,50000
1769681091211906,50120
1769681091254302,49980
1769681091297448,50020
1769681091340359,49970
1769681091382935,50030
1769681091425805,50140
1769681091468944,50040
1769681091514399,50060
1769681091557546,50070
1769681091600611,50050
1769681091643731,50050
1769681091686632,50120
1769681091729814,50040
1769681091772813,50040
1769681091816051,50100
1769681091858814,50090
1769681091901542,50050
1769681091944682,50080
1769681091987577,50090
1769681092030781,50030
1769681092074772,50100
1769681092117773,49950
1769681092160897,50030
1769681092204058,49890
1769681092246814,49970
1769681092289892,49980
1769681092332255,50040
1769681092375282,49990
1769681092418656,49940
1769681092461589,49910
1769681092504620,49910
1769681092547776,49840
1769681092590386,50070
1769681092635165,49910
1769681092677849,50000
1769681092720907,50050
1769681092763846,50030
1769681092806616,50090
1769681092849670,50060
1769681092892831,50010
1769681092935220,50000
1769681092978207,50090
1769681093021393,50110
1769681093064270,50230
1769681093107263,50120
1769681093150463,50090
1769681093195518,50090
1769681093237955,50140
1769681093280588,50090
1769681093323707,50140
1769681093366383,50040
1769681093409554,50060
1769681093452425,50040
1769681093495401,50040
1769681093538503,50070
1769681093581445,50060
1769681093624550,50010
1769681093667311,50030
1769681093709778,49940
1769681093755858,49920
1769681093798525,49880
1769681093841097,49900
1769681093884200,49960
1769681093927141,49870
1769681093970026,50010
1769681094013071,49940
1769681094056167,49920
1769681094098729,50030
1769681094141817,50010
1769681094184961,50060
1769681094227879,50030
1769681094270527,50010
1769681094316188,50070
1769681094358695,50100
1769681094401814,50140
1769681094444771,50070
1769681094487012,50040
1769681094529734,50070
1769681094572742,50040
1769681094615658,50080
1769681094658849,50040
1769681094701910,50040
1769681094745023,50050
1769681094788077,50060
1769681094831108,49980
1769681094876495,50050
1769681094919441,50040
1769681094961796,50000
1769681095004380,50000
1769681095047582,50020
1769681095090734,49970
1769681095133810,49950
1769681095176914,50090
1769681095219753,49900
1769681095262397,49880
1769681095305093,49990
1769681095348088,49920
1769681095390666,49940
1769681095436765,49930
1769681095479713,49960
1769681095522747,49950
1769681095565742,49950
1769681095608940,49910
1769681095652306,50040
1769681095695344,50000
1769681095737925,49920
1769681095780871,49970
1769681095823822,50050
1769681095866738,50060
1769681095909947,50080
1769681095957217,50090
1769681096000104,50020
1769681096043283,49990
1769681096085623,50140
1769681096128744,50080
1769681096171558,50080
1769681096214083,50080
1769681096257229,50100
1769681096300260,50120
1769681096343034,50020
1769681096385935,50080
1769681096429091,50100
1769681096472085,50110
1769681096517523,50110
1769681096559808,50110
1769681096602472,50020
1769681096645670,50180
1769681096688668,49890
1769681096731349,50050
1769681096773964,49930
1769681096816998,50060
1769681096859947,50000
1769681096902677,50010
1769681096945732,50010
1769681096988947,50010
1769681097031938,50070
1769681097077713,49990
1769681097120968,49930
1769681097164004,49980
1769681097207167,50040
1769681097249681,50020
