unix_timestamp,active_power (mW)
1769681748760984,19020
1769681748803901,17510
1769681748846823,32000
1769681748889966,34930
1769681748932960,46570
1769681748975923,48750
1769681749018979,48700
1769681749062123,48710
1769681749105288,48720
1769681749148247,48540
1769681749191177,48820
1769681749234210,48680
1769681749278291,48610
1769681749321207,48520
1769681749364106,48600
1769681749406730,48640
1769681749449955,48710
1769681749493164,48550
1769681749536317,48530
1769681749579400,48590
1769681749622483,48570
1769681749665541,48650
1769681749708675,48540
1769681749751384,48500
1769681749794497,48550
1769681749838779,48590
1769681749881729,48570
1769681749924228,48590
1769681749967242,48580
1769681750010382,48600
1769681750053478,48640
1769681750096464,48470
1769681750139540,48540
1769681750182645,48580
1769681750225709,48630
1769681750268063,48550
1769681750310644,48580
1769681750353934,48540
1769681750399376,48550
1769681750442628,48560
1769681750485838,48470
1769681750529011,48430
1769681750572238,48570
1769681750615005,48590
1769681750658190,48530
1769681750701343,48440
1769681750743699,48510
1769681750786516,48520
1769681750829663,48610
1769681750872648,48450
1769681750915797,48480
1769681750959913,48450
1769681751003171,48600
1769681751046280,48530
1769681751089286,48370
1769681751132421,48540
1769681751175650,48650
1769681751218350,48570
1769681751261383,48540
1769681751304407,48490
1769681751347076,48570
1769681751389823,48580
1769681751432775,48520
1769681751475972,48510
1769681751520335,48630
1769681751563523,48580
1769681751605710,48520
1769681751648137,48540
1769681751691220,48590
1769681751733868,48620
1769681751776981,48620
1769681751819858,48570
1769681751862685,48500
1769681751905731,48600
1769681751948783,48640
1769681751991396,48600
1769681752034372,48550
1769681752080881,48590
1769681752123977,48600
1769681752166938,48600
1769681752209974,48670
1769681752253190,48640
1769681752296009,48600
1769681752338660,48640
1769681752381838,48670
1769681752425015,48540
1769681752467903,48640
1769681752510906,48690
1769681752554032,48620
1769681752597205,49200
1769681752641411,48700
1769681752684595,48750
1769681752727731,48720
1769681752770686,48680
1769681752813601,48690
1769681752856724,48630
1769681752899814,48710
1769681752942426,48720
1769681752985332,48620
1769681753028423,48640
1769681753071499,48700
1769681753114494,48830
1769681753157543,48670
1769681753201954,48770
1769681753245101,48700
1769681753288446,48780
1769681753331143,48620
1769681753373789,48640
1769681753416914,48730
1769681753459838,48690
1769681753502867,48710
1769681753545895,48640
1769681753588971,48660
1769681753631866,48660
1769681753675018,48770
1769681753717995,48680
1769681753762467,48670
1769681753805644,48650
1769681753848603,48740
1769681753891744,48730
1769681753934795,48650
1769681753977886,48680
1769681754021114,48640
1769681754064340,48640
1769681754107352,48740
1769681754150495,48660
1769681754193717,48590
1769681754236688,48660
1769681754282720,48530
1769681754325308,48670
1769681754368279,48650
1769681754411027,48630
1769681754453993,48740
1769681754497112,48760
1769681754540019,48680
1769681754582673,48690
1769681754625062,48710
1769681754668036,48620
1769681754711100,48610
1769681754753855,48580
1769681754796923,48620
1769681754843665,48630
1769681754886876,48570
1769681754929731,48640
1769681754972629,48630
1769681755015750,48610
1769681755058663,48600
1769681755101696,48610
1769681755144645,48630
1769681755187781,48700
1769681755230683,48590
1769681755273626,48620
1769681755316770,48670
1769681755359373,48580
1769681755403675,48620
1769681755446747,48660
1769681755489836,48670
1769681755532818,48600
1769681755576097,48630
1769681755618759,48670
1769681755661794,48680
1769681755704689,48660
1769681755747797,48630
