unix_timestamp,active_power (mW)
1769683581487348,19480
1769683581529829,31990
1769683581572901,38090
1769683581615906,49590
1769683581658727,49820
1769683581701508,50020
1769683581744509,49910
1769683581787214,49920
1769683581829725,49660
1769683581872943,49430
1769683581915919,49250
1769683581958241,49510
1769683582001203,49410
1769683582047305,49240
1769683582090378,49530
1769683582133635,49390
1769683582176935,49360
1769683582219882,49330
1769683582262552,49370
1769683582305772,49340
1769683582348842,49390
1769683582391861,49420
1769683582434600,49240
1769683582477679,49390
1769683582520341,49630
1769683582567193,49630
1769683582610349,49610
1769683582653555,49520
1769683582695983,49380
1769683582738657,49590
1769683582781264,49430
1769683582824237,49530
1769683582866703,49390
1769683582909947,49280
1769683582953072,49380
1769683582996126,49410
1769683583038741,49270
1769683583081718,49310
1769683583127140,49310
1769683583169427,49390
1769683583212371,49300
1769683583255146,49250
1769683583298321,49370
1769683583340835,49440
1769683583383731,49290
1769683583426930,49480
1769683583470143,49530
1769683583513081,49400
1769683583556128,49370
1769683583599169,49370
1769683583641800,49310
1769683583686930,49510
1769683583729791,49470
1769683583773601,49190
1769683583816856,49220
1769683583859631,49290
1769683583902594,49300
1769683583945738,49280
1769683583988635,49270
1769683584031794,49260
1769683584074662,49390
1769683584117697,49310
1769683584160717,49560
1769683584206768,49410
1769683584249393,49440
1769683584292430,49590
1769683584335611,49620
1769683584378844,49340
1769683584421742,49280
1769683584464843,49310
1769683584508110,49300
1769683584551243,49340
1769683584594462,49250
1769683584637690,49500
1769683584680184,49470
1769683584726707,49310
1769683584769772,49250
1769683584812692,49480
1769683584855623,49590
1769683584898255,49440
1769683584941297,49570
1769683584983585,49370
1769683585026426,49410
1769683585069431,49490
1769683585112630,49730
1769683585155779,49640
1769683585198767,49490
1769683585241751,49500
1769683585286549,49290
1769683585329700,49270
1769683585372797,49310
1769683585415752,49400
1769683585458759,49350
1769683585501601,49350
1769683585544471,49410
1769683585587081,49280
1769683585630329,49250
1769683585673357,49220
1769683585716304,49420
1769683585759403,49640
1769683585801786,49370
1769683585846288,49410
1769683585889403,49380
1769683585931794,49410
1769683585974146,49560
1769683586017276,49520
1769683586060476,49480
1769683586103273,49230
1769683586146179,49320
1769683586189388,49570
1769683586231890,49450
1769683586275050,49440
1769683586318265,49300
1769683586361147,49310
1769683586406153,49350
1769683586449246,49520
1769683586492210,49490
1769683586535105,49340
1769683586577719,49560
1769683586620762,49300
1769683586663821,49150
1769683586706374,49230
1769683586749484,49240
1769683586792741,49320
1769683586835548,49080
1769683586878670,49550
1769683586921572,49430
1769683586966077,49470
1769683587009168,49460
1769683587052303,49260
1769683587095166,49290
1769683587138350,49210
1769683587181488,49360
1769683587224474,49560
1769683587267537,49170
1769683587310744,49140
1769683587353677,49210
1769683587396559,49330
1769683587439267,49220
1769683587485854,49410
1769683587528906,49180
