unix_timestamp,active_power (mW)
1769684444745188,22210
1769684444787780,23490
1769684444830428,32120
1769684444873443,43280
1769684444916579,49650
1769684444959558,49420
1769684445001950,49410
1769684445044942,49370
1769684445087973,49320
1769684445134195,49240
1769684445177314,49370
1769684445220465,49260
1769684445263529,49150
1769684445306277,49210
1769684445349321,49270
1769684445392553,49230
1769684445435719,49270
1769684445478696,49360
1769684445521884,49230
1769684445565100,49330
1769684445608113,49310
1769684445654101,49220
1769684445697224,49470
1769684445740279,50160
1769684445782963,49390
1769684445826024,49240
1769684445869141,49280
1769684445912040,49500
1769684445955112,49370
1769684445997777,49250
1769684446040704,49250
1769684446083580,49310
1769684446125863,49310
1769684446168833,49350
1769684446213951,49330
1769684446256963,49420
1769684446299915,49370
1769684446342978,49350
1769684446385955,49380
1769684446429085,49310
1769684446472085,49260
1769684446514793,49250
1769684446557821,49320
1769684446600797,49270
1769684446643780,49280
1769684446686433,49270
1769684446729455,49240
1769684446773684,49280
1769684446816837,49290
1769684446859781,49370
1769684446902446,49340
1769684446945583,49340
1769684446988672,49230
1769684447031925,49370
1769684447075004,49330
1769684447117928,49380
1769684447161008,49330
1769684447204014,49370
1769684447247100,49210
1769684447289776,49290
1769684447333592,49280
1769684447376610,49220
1769684447419502,49180
1769684447462479,49240
1769684447505487,49310
1769684447548461,49380
1769684447591384,49350
1769684447633773,49240
1769684447676862,49350
1769684447719829,49260
1769684447762468,49280
1769684447805653,49270
1769684447848788,49230
1769684447893605,49160
1769684447936735,49180
1769684447979771,49170
1769684448022622,49220
1769684448065702,49270
1769684448108790,49200
1769684448151159,49240
1769684448194010,49350
1769684448237051,49300
1769684448280014,49370
1769684448322688,49380
1769684448365883,49340
1769684448408926,49270
1769684448453334,49300
1769684448496616,49240
1769684448539927,49280
1769684448582968,49240
1769684448625748,49220
1769684448668960,49360
1769684448711589,49270
1769684448754093,49240
1769684448797212,49260
1769684448840319,49320
1769684448883471,49390
1769684448925775,49330
1769684448968968,49350
1769684449013312,49280
1769684449056430,49270
1769684449099362,49380
1769684449142842,49360
1769684449186039,49460
1769684449228990,49470
1769684449272196,49400
1769684449315392,49370
1769684449357840,49360
1769684449401010,49380
1769684449444199,49340
1769684449487219,49400
1769684449533241,49360
1769684449576328,49400
1769684449619554,49420
1769684449662703,49440
1769684449705994,49400
1769684449748491,49440
1769684449791357,49400
1769684449834422,49420
1769684449877501,49380
1769684449920563,49380
1769684449963392,49380
1769684450006500,49420
1769684450053085,49390
1769684450096098,49340
1769684450139210,49410
1769684450181900,49410
1769684450225101,49470
1769684450267472,49390
1769684450310478,49420
1769684450353653,49450
1769684450396792,49380
1769684450439915,49380
1769684450482420,49410
1769684450525412,49380
1769684450568625,49410
1769684450612922,49410
1769684450656025,49410
1769684450698387,49390
1769684450740575,49340
1769684450783493,49400
1769684450825925,49430
1769684450868876,49360
1769684450912000,49260
1769684450955125,49360
1769684450997859,49310
1769684451040814,49360
1769684451083706,49400
1769684451126703,49530
1769684451172719,49400
1769684451215833,49520
1769684451258822,49420
1769684451301580,49420
1769684451344855,49880
1769684451387920,50050
1769684451430795,49460
1769684451473867,49390
1769684451516859,49350
1769684451560061,49460
1769684451602737,49510
1769684451645605,49520
1769684451692476,49460
1769684451735266,49410
1769684451777679,49430
1769684451820649,49380
1769684451863784,49410
1769684451906475,49360
1769684451948848,49370
1769684451991983,49390
1769684452035225,49440
1769684452078314,49500
1769684452120743,49510
1769684452163699,49430
1769684452206826,49450
1769684452252341,49480
1769684452295374,49420
1769684452337823,49420
1769684452380864,49390
1769684452423904,49450
1769684452466812,49380
1769684452509440,49550
1769684452552390,49450
