unix_timestamp,active_power (mW)
1769685412668692,30040
1769685412711654,22010
1769685412754106,42110
1769685412796577,49230
1769685412840935,48930
1769685412883931,48950
1769685412927167,48980
1769685412969931,48950
1769685413012421,49060
1769685413055179,48950
1769685413098121,48970
1769685413141286,48960
1769685413184259,48970
1769685413226914,49030
1769685413269886,49010
1769685413313056,48820
1769685413356007,48980
1769685413400992,48930
1769685413444141,48820
1769685413486890,48940
1769685413529893,48920
1769685413572945,48890
1769685413615950,48900
1769685413658633,48730
1769685413701832,48990
1769685413744368,48950
1769685413787161,48940
1769685413829720,48890
1769685413872874,48930
1769685413915813,48870
1769685413960850,48910
1769685414003774,48840
1769685414046916,48820
1769685414090034,48990
1769685414132963,48860
1769685414176123,48950
1769685414219256,48930
1769685414261647,48870
1769685414304749,48910
1769685414347681,48950
1769685414390447,48960
1769685414433438,48950
1769685414476691,48900
1769685414520894,48980
1769685414564016,48950
1769685414607209,48950
1769685414650093,48920
1769685414693274,48910
1769685414736080,48990
1769685414778922,48970
1769685414821782,48980
1769685414864833,48920
1769685414907822,48960
1769685414950454,48970
1769685414993647,48850
1769685415036901,48970
1769685415080837,48990
1769685415123966,48970
1769685415167007,49030
1769685415210316,49030
1769685415253291,48880
1769685415296357,48890
1769685415338776,48940
1769685415381781,48970
1769685415425009,48890
1769685415467840,48870
1769685415510923,48910
1769685415554045,48930
1769685415600732,48880
1769685415643568,48810
1769685415686374,48710
1769685415729611,48920
1769685415772131,48980
1769685415815126,48910
1769685415857757,49010
1769685415900864,49000
1769685415943952,49020
1769685415986715,49060
1769685416028910,49030
1769685416071494,48980
1769685416113940,49000
1769685416160740,48960
1769685416203859,48900
1769685416246611,48910
1769685416289802,48840
1769685416332765,48900
1769685416375795,48990
1769685416418452,48880
1769685416461614,48910
1769685416504798,49000
1769685416547307,48920
1769685416590174,48940
1769685416633162,48950
1769685416675842,48960
1769685416720660,48920
1769685416763699,48880
1769685416806829,48910
1769685416849795,49010
1769685416892987,48930
1769685416935852,48880
1769685416978735,48970
1769685417021943,48930
1769685417065178,48820
1769685417108415,48880
1769685417151653,48870
1769685417194742,48840
1769685417240574,48950
1769685417282972,48840
1769685417325772,48950
1769685417368804,48940
1769685417411514,48890
1769685417454024,48940
1769685417497143,48880
1769685417540088,48900
1769685417582667,48870
1769685417625773,48950
1769685417668895,48940
1769685417711898,48940
1769685417754677,48960
1769685417800436,49020
1769685417843628,48930
1769685417886480,48920
1769685417929522,48960
1769685417972543,48950
1769685418015645,49420
1769685418058276,49640
1769685418101487,48940
1769685418144566,48960
1769685418187208,49000
1769685418230259,48920
1769685418273225,48990
1769685418315578,48890
1769685418360403,48920
1769685418403209,48920
1769685418445630,48870
1769685418488635,48910
1769685418531690,48890
1769685418574368,48920
1769685418617392,48910
1769685418660142,49020
1769685418703581,48900
1769685418746077,49010
1769685418789256,48990
1769685418832373,48920
1769685418875553,48980
1769685418920475,48970
1769685418963137,48950
1769685419006348,49010
1769685419049214,49000
1769685419092010,49040
1769685419135169,49050
1769685419178179,49000
1769685419221204,49090
1769685419264240,48940
1769685419307098,49030
1769685419349876,49010
1769685419392839,48930
1769685419435725,48980
1769685419480380,48930
1769685419523438,48960
1769685419566695,49000
1769685419609894,48940
1769685419653080,48880
1769685419696295,48940
1769685419739416,48940
1769685419782126,48890
1769685419824701,48860
1769685419867760,49000
1769685419910897,48970
1769685419953938,49020
1769685420000193,48980
1769685420043326,49000
1769685420086292,48990
1769685420129348,48920
1769685420172364,48890
1769685420215158,48880
1769685420258207,48860
1769685420301693,48890
1769685420344752,48930
1769685420387607,48890
1769685420430430,48860
1769685420473629,48860
1769685420520185,48860
1769685420563165,48840
1769685420606003,48890
1769685420648927,48880
1769685420691691,48890
1769685420734348,48920
1769685420777392,48950
1769685420820490,48930
1769685420863683,48860
1769685420906468,49030
1769685420949661,48980
1769685420992762,48970
1769685421035726,48970
1769685421080111,49000
1769685421123266,48970
1769685421166377,49100
1769685421209345,49130
1769685421252144,49060
1769685421295164,49050
1769685421337414,49030
1769685421380448,49140
1769685421423459,48990
1769685421466141,49120
1769685421509227,49050
1769685421552057,49070
1769685421595236,49040
1769685421640025,49040
1769685421683142,49030
1769685421725737,49050
1769685421768926,49070
1769685421811989,49140
1769685421854843,49030
1769685421897838,49110
1769685421941009,49130
1769685421984037,49100
1769685422026988,49070
1769685422069871,49120
1769685422112886,49080
1769685422155552,49100
1769685422199964,49120
1769685422242598,49050
1769685422285650,49140
1769685422328846,49110
1769685422371849,49040
1769685422414172,49090
1769685422457259,49080
1769685422499655,49110
1769685422542738,49120
1769685422585952,49060
1769685422629137,49100
1769685422671891,49070
1769685422714808,49100
1769685422759835,49070
1769685422802644,49060
1769685422845506,49120
1769685422888684,49110
1769685422931880,49080
1769685422974371,49050
1769685423017322,49110
1769685423060430,49050
1769685423103570,49150
1769685423146575,49040
1769685423189732,49100
1769685423232843,49160
1769685423279720,49050
1769685423322736,49060
1769685423365737,49140
1769685423408906,49100
1769685423451771,49080
1769685423494175,49220
1769685423537209,49130
1769685423580310,49070
1769685423623525,49020
1769685423666653,49090
1769685423709681,49040
1769685423752697,49020
1769685423799581,49050
1769685423842685,49040
1769685423885686,48980
1769685423928820,49160
1769685423972006,49130
1769685424014777,49030
1769685424058022,49000
1769685424101120,49120
1769685424144166,49070
1769685424187224,49050
1769685424229892,49120
1769685424272833,49030
1769685424315043,49040
1769685424359458,49120
1769685424401831,49060
1769685424444953,49080
1769685424487956,49090
1769685424530707,49090
1769685424573888,49100
1769685424617090,49130
1769685424660288,49000
1769685424703507,49090
1769685424746695,49050
1769685424789890,49000
1769685424832735,49090
1769685424879313,49060
1769685424922154,49010
1769685424965215,49080
1769685425008427,49120
1769685425051583,49090
1769685425094788,49090
1769685425137844,49030
1769685425180933,49130
1769685425223971,49040
1769685425266594,49110
1769685425309767,49030
1769685425352900,49000
1769685425399152,49020
1769685425441556,49020
1769685425484525,49050
1769685425527546,49010
1769685425569900,48960
1769685425613148,49040
1769685425656284,48990
1769685425699463,48930
1769685425742332,48960
1769685425785564,48910
1769685425828749,48910
1769685425871790,48930
1769685425918764,49010
1769685425961948,48970
1769685426005147,48960
1769685426047898,48980
1769685426091072,48950
1769685426134097,48950
1769685426176927,48910
1769685426219996,48940
1769685426262992,48960
1769685426306035,48960
1769685426348592,48810
1769685426391479,49050
1769685426434302,49000
1769685426478713,49010
1769685426521888,49160
1769685426565047,49090
1769685426608170,49070
1769685426651121,49090
1769685426694206,49040
1769685426736392,49040
1769685426779224,49030
1769685426821822,49090
1769685426865033,49030
1769685426908103,49100
1769685426950643,49060
1769685426993813,49080
1769685427038581,49070
1769685427081535,49110
1769685427124394,49060
1769685427167113,49060
1769685427210167,49190
1769685427253103,49060
1769685427296160,49120
1769685427338531,49110
1769685427381659,49120
1769685427424691,49130
1769685427467701,49000
1769685427510781,49100
1769685427554013,49050
1769685427598387,49050
1769685427641445,49100
1769685427684238,49090
1769685427727397,49090
1769685427770434,49080
1769685427813580,49150
1769685427856755,49150
1769685427899675,49050
