unix_timestamp,active_power (mW)
1770034498548541,43990
1770034498591125,43650
1770034498633936,43780
1770034498676843,43900
1770034498720026,43810
1770034498763274,43820
1770034498806091,43880
1770034498849188,43920
1770034498891613,43910
1770034498933980,43970
1770034498976566,43910
1770034499022911,43930
1770034499065912,43910
1770034499109009,43940
1770034499151960,43890
1770034499194746,43870
1770034499237204,43940
1770034499280334,43870
1770034499323158,43760
1770034499365747,43790
1770034499408814,43820
1770034499451768,43920
1770034499494514,43780
1770034499537116,43850
1770034499582823,44060
1770034499625257,43800
1770034499668418,43900
1770034499711662,43850
1770034499754515,43780
1770034499797212,43750
1770034499840517,43720
1770034499883432,43750
1770034499925781,43700
1770034499969091,43690
1770034500011925,43750
1770034500054894,43710
1770034500097943,43780
1770034500142721,43790
1770034500185514,43740
1770034500228247,43810
1770034500271113,43860
1770034500314069,43750
1770034500356670,43820
1770034500399179,43830
1770034500441928,43860
1770034500484699,43910
1770034500527209,43850
1770034500569486,43840
1770034500611901,43980
1770034500654788,43900
1770034500697266,43920
1770034500742614,43770
1770034500785747,43740
1770034500828919,43720
1770034500872162,43640
1770034500915104,43720
1770034500957525,43750
1770034501000666,43680
1770034501043544,43700
1770034501086548,43760
1770034501129329,43790
1770034501172332,43760
1770034501215414,43770
1770034501258480,43720
1770034501302573,43850
1770034501345770,43940
1770034501388928,43860
1770034501431862,43910
1770034501474962,43860
1770034501517131,43830
1770034501559782,43880
1770034501602838,43910
1770034501645196,43970
1770034501688280,43950
1770034501731323,43930
1770034501774261,43890
1770034501817302,43920
1770034501862658,43920
1770034501905732,43910
1770034501948782,43860
1770034501991839,43860
1770034502034868,43840
1770034502078088,43840
1770034502121024,43750
1770034502163320,43750
1770034502206204,43760
1770034502249389,43710
1770034502292620,43780
1770034502335839,43760
1770034502382434,43780
1770034502425175,43820
1770034502468341,43830
1770034502511368,43780
1770034502553724,43840
1770034502596684,43890
1770034502639830,43920
1770034502682716,44030
1770034502725140,43870
1770034502768141,43930
1770034502810925,43980
1770034502853241,43930
1770034502896384,43870
1770034502942449,43910
1770034502985247,43940
1770034503028327,43870
1770034503071167,43890
1770034503114306,43880
1770034503157305,43880
1770034503200431,43840
1770034503243227,43790
1770034503285806,43700
1770034503329032,43690
1770034503371327,43790
1770034503414356,43750
1770034503457157,43790
1770034503502263,43780
1770034503545060,43820
1770034503587830,43790
1770034503630770,43790
1770034503673543,43900
1770034503716441,43760
1770034503759283,43850
1770034503801784,43760
1770034503844964,43760
1770034503887970,43710
1770034503930644,43720
1770034503973792,43700
1770034504016838,43770
1770034504062117,43720
1770034504105175,43710
1770034504148096,43800
1770034504190635,43680
1770034504233172,43710
1770034504276232,43760
1770034504319130,43700
1770034504362043,43800
1770034504405092,43770
1770034504448129,43790
1770034504491218,43760
1770034504534203,43820
1770034504577402,43770
1770034504621989,43740
1770034504665210,43760
1770034504708410,43900
1770034504751272,43790
1770034504794122,43730
1770034504837339,43730
1770034504880542,43800
1770034504923318,43700
1770034504965873,43760
1770034505009043,43690
1770034505052009,43740
1770034505095003,43710
1770034505137835,43740
1770034505182052,43800
1770034505225219,43670
1770034505268275,43770
1770034505311330,43760
1770034505354320,43810
1770034505397377,43760
1770034505440341,43790
1770034505483345,43770
1770034505526129,43840
1770034505569278,43810
1770034505611793,43840
1770034505655043,43800
1770034505701965,43890
1770034505744682,43790
1770034505787517,43770
1770034505830729,43700
1770034505874203,43660
1770034505917141,43710
1770034505959908,43700
1770034506002765,43650
1770034506045352,43660
1770034506088191,43650
1770034506131418,43730
1770034506174321,43750
1770034506217115,43710
1770034506261830,43760
1770034506304775,43820
1770034506347532,43830
1770034506390633,43810
1770034506433671,43880
1770034506476802,43820
1770034506520049,43850
1770034506563167,43830
1770034506605782,43910
1770034506648918,43790
1770034506692194,43770
1770034506735268,43860
1770034506781827,43850
1770034506824988,43880
1770034506867450,43900
1770034506910217,43860
1770034506953241,43920
1770034506995972,43850
1770034507038424,43840
1770034507081306,43810
1770034507124508,43860
1770034507167740,43780
1770034507210611,43730
1770034507253458,43760
1770034507296242,43660
1770034507341660,43730
1770034507384486,43720
1770034507427231,43690
1770034507469913,43720
1770034507512423,43780
1770034507555451,43770
1770034507597848,43790
1770034507640376,43810
1770034507682739,43870
1770034507725960,43800
1770034507769198,43890
1770034507812437,44000
1770034507855199,43910
1770034507897549,43850
1770034507941924,43880
1770034507984673,43870
1770034508027349,43830
1770034508069966,43830
1770034508112901,43890
1770034508155846,43930
1770034508199143,43860
1770034508241939,43800
1770034508285057,43880
1770034508328050,43900
1770034508371188,43840
1770034508414136,43860
1770034508457238,43780
1770034508501599,43890
1770034508544688,43730
1770034508587595,43710
1770034508630257,43720
1770034508673211,43780
1770034508716180,43640
1770034508758628,43740
1770034508801291,43870
1770034508844342,43760
1770034508887737,43790
1770034508930960,43840
1770034508973860,43840
1770034509016940,43860
1770034509061666,43870
1770034509104557,43830
1770034509147303,43820
1770034509190135,43830
1770034509232778,43920
1770034509275137,43890
1770034509317474,43910
1770034509359801,43870
1770034509402553,43820
1770034509445565,43840
1770034509488574,43830
1770034509531542,43880
1770034509574214,43780
1770034509617282,43900
1770034509661569,43830
1770034509704336,43850
1770034509747101,43880
1770034509789971,43800
1770034509832443,43960
1770034509874796,43770
1770034509917289,43750
1770034509959533,43680
1770034510002095,43700
1770034510045177,43770
1770034510088160,43780
1770034510131256,43800
1770034510174125,43750
