unix_timestamp,active_power (mW)
1770035512101971,45870
1770035512144525,40920
1770035512187674,45090
1770035512230530,44890
1770035512273461,44820
1770035512316529,45030
1770035512359469,44900
1770035512402361,44910
1770035512445363,44950
1770035512488405,44980
1770035512534249,44930
1770035512577421,45010
1770035512620619,44980
1770035512663825,44960
1770035512706632,44950
1770035512749803,44970
1770035512792866,44970
1770035512835940,44940
1770035512878712,44940
1770035512921234,44890
1770035512964522,44880
1770035513007556,44850
1770035513054056,44710
1770035513097015,44840
1770035513140103,44760
1770035513183050,44800
1770035513225748,44750
1770035513268689,44830
1770035513311544,44790
1770035513354319,44900
1770035513396873,44810
1770035513439693,44810
1770035513482451,44820
1770035513525350,44810
1770035513567855,44800
1770035513614448,44810
1770035513657249,44860
1770035513700377,44820
1770035513743438,44870
1770035513786451,44860
1770035513829664,44890
1770035513872680,44820
1770035513915157,44960
1770035513958261,44870
1770035514001410,44920
1770035514044365,44880
1770035514087500,44870
1770035514134080,44870
1770035514177342,44890
1770035514220242,44980
1770035514263337,44940
1770035514306400,44910
1770035514349377,44950
1770035514392165,44940
1770035514435070,44840
1770035514478034,44910
1770035514521078,44890
1770035514564061,44890
1770035514606486,44870
1770035514649192,44880
1770035514694353,44940
1770035514737265,44950
1770035514780239,44950
1770035514823100,44910
1770035514865897,44950
1770035514908479,44960
1770035514950991,45040
1770035514994174,44990
1770035515037322,44970
1770035515080298,44940
1770035515122678,44960
1770035515165882,44910
1770035515208827,44920
1770035515254143,44970
1770035515296985,44920
1770035515339847,44870
1770035515382680,45000
1770035515425482,44780
1770035515467937,44820
1770035515510937,44850
1770035515553310,44870
1770035515596326,44810
1770035515638743,44730
1770035515681220,44890
1770035515724170,44840
1770035515766974,44790
1770035515809842,44850
1770035515854024,44810
1770035515896882,44800
1770035515939812,44870
1770035515982645,44840
1770035516025171,44840
1770035516068371,44790
1770035516111024,44800
1770035516154124,44800
1770035516196840,44890
1770035516239506,44920
1770035516282306,44930
1770035516324918,44960
1770035516367678,45000
1770035516414344,45100
1770035516457387,44990
1770035516500367,45000
1770035516543377,45060
1770035516585822,45040
1770035516628943,45050
1770035516672121,45080
1770035516714606,45040
1770035516757205,45100
1770035516800217,45050
1770035516843134,44970
1770035516885933,45030
1770035516928845,44980
1770035516974272,44970
1770035517017128,44900
1770035517059921,44980
1770035517102865,44950
1770035517145314,44970
1770035517188406,44890
1770035517231420,44950
1770035517274124,44950
1770035517317056,44910
1770035517360060,44820
1770035517402875,44890
1770035517445828,45020
1770035517489365,44960
1770035517534393,44960
1770035517576885,44980
1770035517619595,44950
1770035517662207,45020
1770035517704698,44980
1770035517747908,45010
1770035517790901,45010
1770035517834007,44960
1770035517876950,44960
1770035517919867,45080
1770035517962966,45010
1770035518005470,45000
1770035518048691,44980
1770035518094384,44960
1770035518137210,45040
1770035518180143,45020
1770035518222948,45010
1770035518265836,44990
1770035518308649,44970
1770035518351131,44990
1770035518393806,45080
1770035518436989,45020
1770035518479810,45100
1770035518522936,45120
1770035518565816,45020
1770035518608383,44980
1770035518654561,44970
1770035518697272,45000
1770035518740503,44930
1770035518783113,44890
1770035518826120,44980
1770035518869095,44950
1770035518912169,44920
1770035518954807,44850
1770035518997309,44910
1770035519040530,44930
1770035519083066,44980
1770035519125927,44940
1770035519169040,44980
1770035519214625,44920
1770035519257285,44980
1770035519300317,44970
1770035519343109,44950
1770035519386394,45010
1770035519429163,44920
1770035519472042,45000
1770035519514938,45090
1770035519557769,44910
1770035519600976,44930
1770035519643836,44930
1770035519686527,44950
1770035519729705,44840
1770035519774579,44860
1770035519817395,44840
1770035519860125,44870
1770035519902603,44860
1770035519945072,44880
1770035519987894,44850
1770035520030789,44870
1770035520073758,44870
1770035520116825,44920
1770035520159753,44870
1770035520202773,44870
1770035520245065,44840
1770035520288104,44870
1770035520334591,44880
1770035520377678,44940
1770035520420880,44850
1770035520464054,44900
1770035520507040,45060
1770035520550063,44920
1770035520593099,44870
1770035520635619,44850
1770035520678562,45010
1770035520721756,44890
1770035520764998,45030
1770035520808067,44950
1770035520854646,45040
1770035520897501,45040
1770035520940573,44970
1770035520982856,45010
1770035521025326,45020
1770035521068533,44970
1770035521111446,44970
1770035521154126,45010
1770035521197120,44960
1770035521240142,45030
1770035521282926,44900
1770035521325315,44910
1770035521368534,44960
1770035521414680,44910
1770035521457132,44890
1770035521500371,44820
1770035521543391,45060
1770035521586542,44920
1770035521629310,44820
1770035521672386,44830
1770035521714776,44750
1770035521757752,44800
1770035521800946,44840
1770035521844142,44930
1770035521886656,44900
1770035521929681,44910
1770035521974638,44850
1770035522017160,44910
1770035522060145,44880
1770035522102941,44950
1770035522145751,44930
1770035522188570,44930
1770035522231364,44900
1770035522274198,44930
1770035522316773,44940
1770035522359632,44880
1770035522402241,44860
1770035522444818,44950
1770035522487482,44920
1770035522530545,44910
1770035522574935,45020
1770035522617415,45010
1770035522660599,44990
1770035522703814,44980
1770035522746504,44950
1770035522789352,44990
1770035522832554,45010
1770035522875572,44980
1770035522918169,44970
1770035522961487,44970
1770035523004674,44970
1770035523047749,44900
1770035523090490,44860
1770035523134787,44850
1770035523177190,44860
1770035523220129,44850
1770035523263022,44800
1770035523305721,44810
1770035523348634,44760
1770035523391725,44800
1770035523434389,44790
1770035523477179,44800
1770035523520094,44870
1770035523563133,44850
1770035523605767,44920
1770035523648759,44910
1770035523694842,44880
1770035523738308,44900
1770035523781334,44930
1770035523824477,44960
1770035523867411,44960
1770035523910584,44940
1770035523953816,44850
1770035523997102,44950
1770035524039976,44920
1770035524083016,44980
1770035524126111,44960
1770035524169290,44990
1770035524215201,44930
1770035524257621,44900
1770035524300720,45030
1770035524343167,44910
1770035524386321,44990
1770035524429098,44900
1770035524472259,44930
1770035524515211,44850
1770035524558701,44890
1770035524601283,44960
1770035524644295,45040
1770035524687016,44810
1770035524729498,44790
1770035524775031,44870
1770035524817837,44810
1770035524860982,44890
1770035524904040,44900
1770035524946893,44860
1770035524990178,44980
1770035525033221,44900
1770035525076212,44890
1770035525119009,44900
1770035525161476,44890
1770035525204054,44920
1770035525247016,44960
1770035525289752,44950
1770035525335214,45010
1770035525378501,44920
1770035525420980,44960
1770035525464053,45040
1770035525506956,45040
1770035525549645,45070
1770035525592669,44950
1770035525635551,45190
1770035525678313,44930
1770035525721028,45000
1770035525764110,44980
1770035525807111,45040
1770035525849976,44920
1770035525895292,44940
1770035525938497,44910
1770035525981577,44880
1770035526024552,44890
1770035526067129,44870
1770035526109952,44880
1770035526153149,44860
1770035526196356,44820
1770035526239675,44810
1770035526282834,44740
1770035526325290,44840
1770035526368441,44810
1770035526415256,44850
1770035526458059,44780
1770035526500978,44800
1770035526543981,44810
1770035526587027,44850
1770035526630294,44870
1770035526673089,45010
1770035526716170,44930
1770035526758868,44890
1770035526801469,44930
1770035526844661,44880
1770035526887173,44900
1770035526929443,44920
1770035526975553,44960
1770035527018286,44980
1770035527061395,44940
1770035527104484,45070
1770035527147416,44980
1770035527190103,45060
1770035527233083,44990
1770035527275890,45000
1770035527318829,44980
1770035527361586,44940
1770035527404491,44970
