unix_timestamp,active_power (mW)
1770038487578161,45290
1770038487624286,41890
1770038487667093,45290
1770038487709802,45270
1770038487752560,45300
1770038487795370,45320
1770038487838120,45400
1770038487881080,45340
1770038487923867,45360
1770038487966715,45350
1770038488009014,45390
1770038488051736,45420
1770038488094711,45410
1770038488137120,45390
1770038488180024,45370
1770038488225207,45300
1770038488268396,45350
1770038488311373,45340
1770038488354130,45330
1770038488397213,45390
1770038488440221,45320
1770038488483277,45340
1770038488526017,45400
1770038488569166,45270
1770038488612212,45390
1770038488655104,45360
1770038488697805,45310
1770038488740784,45340
1770038488786057,45330
1770038488829124,45290
1770038488872084,45400
1770038488914719,45330
1770038488957148,45360
1770038489000196,45410
1770038489043205,45370
1770038489085588,45570
1770038489128327,45360
1770038489171535,45410
1770038489214009,45440
1770038489256970,45440
1770038489300092,45430
1770038489346860,45500
1770038489389121,45490
1770038489432201,45500
1770038489475181,45510
1770038489517913,45460
1770038489561035,45520
1770038489604018,45480
1770038489646745,45440
1770038489689174,45500
1770038489732308,45430
1770038489775246,45450
1770038489817877,45450
1770038489861011,45370
1770038489907964,45350
1770038489950723,45390
1770038489993714,45310
1770038490036605,45430
1770038490079133,45370
1770038490122284,45340
1770038490165230,45350
1770038490208291,45330
1770038490251095,45320
1770038490293710,45290
1770038490336675,45380
1770038490379594,45260
1770038490422788,45340
1770038490468226,45270
1770038490511131,45270
1770038490554030,45300
1770038490597047,45280
1770038490640011,45280
1770038490682926,45290
1770038490726004,45300
1770038490769076,45370
1770038490812113,45370
1770038490855145,45250
1770038490898043,45350
1770038490941199,45410
1770038490984209,45380
1770038491029247,45390
1770038491072445,45410
1770038491115276,45520
1770038491158192,45440
1770038491200707,45620
1770038491243673,45480
1770038491286203,45530
1770038491329285,45530
1770038491372476,45660
1770038491415457,45540
1770038491458254,45510
1770038491501205,45510
1770038491544426,45480
1770038491589988,45440
1770038491633137,45460
1770038491676078,45400
1770038491718926,45380
1770038491761163,45470
1770038491804078,45400
1770038491847042,45370
1770038491890168,45390
1770038491933136,45390
1770038491976025,45370
1770038492018594,45410
1770038492061621,45370
1770038492104794,45410
1770038492150709,45550
1770038492193843,45390
1770038492236405,45400
1770038492279267,45400
1770038492321897,45410
1770038492365146,45440
1770038492408314,45370
1770038492451304,45420
1770038492493947,45340
1770038492537215,45400
1770038492580364,45390
1770038492623273,45400
1770038492666090,45370
1770038492711453,45340
1770038492754554,45350
1770038492797193,45320
1770038492839612,45360
1770038492882611,45340
1770038492925028,45430
1770038492968039,45390
1770038493010649,45360
1770038493053682,45380
1770038493096870,45380
1770038493139402,45270
1770038493182489,45370
1770038493225458,45390
1770038493272033,45320
1770038493315265,45330
1770038493358106,45340
1770038493401157,45310
1770038493444043,45290
1770038493486936,45350
1770038493529471,45350
1770038493572305,45320
1770038493614636,45380
1770038493657830,45290
1770038493700804,45310
1770038493743959,45340
1770038493786191,45310
1770038493832861,45400
1770038493875921,45260
1770038493918773,45240
1770038493961381,45290
1770038494004363,45260
1770038494047163,45230
1770038494090576,45290
1770038494133048,45290
1770038494176190,45260
1770038494219160,45500
1770038494261893,45280
1770038494305092,45280
1770038494348161,45290
1770038494393472,45350
1770038494436096,45290
1770038494479040,45380
1770038494521505,45270
1770038494564732,45310
1770038494607839,45320
1770038494650290,45340
1770038494693498,45300
1770038494736576,45400
1770038494779706,45400
1770038494822623,45380
1770038494865212,45390
1770038494908226,45450
1770038494954215,45380
1770038494997475,45430
1770038495040432,45280
1770038495083652,45450
1770038495126624,45420
1770038495169166,45390
1770038495212300,45420
1770038495254977,45470
1770038495298218,45430
1770038495341489,45440
1770038495384576,45390
1770038495426970,45450
1770038495469897,45400
1770038495515036,45540
1770038495557739,45480
1770038495600721,45450
1770038495643528,45550
1770038495686214,45530
1770038495728857,45460
1770038495771679,45520
1770038495814342,45570
1770038495856816,45500
1770038495899378,45500
1770038495942234,45550
1770038495984854,45500
1770038496027492,45470
1770038496070068,45540
1770038496115815,45470
1770038496158965,45470
1770038496201271,45490
1770038496244540,45670
1770038496287432,45390
1770038496329954,45520
1770038496372938,45530
1770038496416162,45520
1770038496459070,45560
1770038496501679,45540
1770038496544720,45530
1770038496587689,45580
1770038496630653,45500
1770038496676578,45530
1770038496719483,45590
1770038496762375,45500
1770038496805211,45510
1770038496848079,45550
1770038496890968,45500
1770038496933624,45520
1770038496976450,45500
1770038497019399,45440
1770038497062022,45570
1770038497105127,45490
1770038497148159,45480
1770038497190462,45550
1770038497237151,45520
1770038497280318,45690
1770038497323212,45530
1770038497366136,45480
1770038497409100,45490
1770038497452506,45560
1770038497495579,45620
1770038497538531,45480
1770038497581614,45570
1770038497625025,45560
1770038497667627,45460
1770038497710531,45390
1770038497753079,45470
1770038497797874,45530
1770038497841043,45550
1770038497884270,45570
1770038497927144,45550
1770038497970445,45520
1770038498013401,45470
1770038498056562,45510
1770038498100021,45480
1770038498143165,45510
1770038498186159,45540
1770038498229098,45490
1770038498271767,45490
1770038498318418,45630
1770038498361296,45480
1770038498404322,45630
1770038498447201,45530
1770038498489933,45600
1770038498532903,45510
1770038498575910,45610
1770038498618685,45560
1770038498661288,45450
1770038498704296,45460
1770038498747369,45510
1770038498790004,45470
1770038498833179,45470
1770038498879050,45550
1770038498921409,45550
1770038498964489,45480
1770038499007321,45570
1770038499050086,45500
1770038499093147,45530
1770038499136195,45530
1770038499178696,45500
1770038499221198,45560
1770038499264204,45570
1770038499307014,45510
1770038499350001,45680
1770038499392484,45500
1770038499435841,45550
1770038499479856,45550
1770038499522569,45410
1770038499565317,45520
1770038499608478,45600
1770038499651460,45470
1770038499694220,45540
1770038499737263,45560
1770038499780081,45500
1770038499823073,45470
1770038499865956,45520
1770038499909076,45500
1770038499952135,45510
1770038499994946,45410
1770038500040400,45500
1770038500083186,45440
1770038500126074,45340
1770038500169028,45430
1770038500212010,45430
1770038500254769,45350
1770038500297825,45360
1770038500340887,45380
1770038500383585,45540
1770038500426351,45340
1770038500469358,45310
1770038500512549,45360
1770038500555450,45320
1770038500600998,45260
1770038500644182,45360
1770038500687150,45330
1770038500730019,45340
1770038500773154,45330
1770038500816230,45380
1770038500859146,45330
1770038500901864,45300
1770038500945051,45360
1770038500987382,45300
1770038501030095,45320
1770038501072947,45360
1770038501115937,45360
1770038501161708,45340
1770038501204813,45360
1770038501247846,45410
1770038501290749,45450
1770038501333314,45470
1770038501376562,45650
1770038501419451,45390
1770038501462085,45430
1770038501505342,45460
1770038501548474,45440
1770038501591328,45450
1770038501634101,45520
1770038501677369,45510
1770038501722497,45550
1770038501765653,45540
1770038501808621,45550
1770038501851546,45600
1770038501894633,45620
1770038501937289,45540
1770038501980403,45490
1770038502023490,45510
1770038502066071,45480
1770038502109131,45490
1770038502152232,45430
1770038502195056,45390
1770038502238251,45460
1770038502283021,45450
1770038502325655,45350
1770038502368391,45370
1770038502410928,45590
1770038502453350,45340
1770038502496214,45340
1770038502539191,45320
1770038502582164,45360
1770038502624885,45430
1770038502667882,45370
1770038502710726,45310
1770038502753724,45420
1770038502796718,45340
1770038502843638,45430
1770038502886468,45350
1770038502929230,45320
1770038502972306,45370
1770038503015134,45430
1770038503057639,45440
1770038503100659,45350
1770038503143519,45430
1770038503186191,45440
1770038503229429,45510
1770038503272569,45460
1770038503315550,45550
1770038503358169,45500
