unix_timestamp,active_power (mW)
1770648292870571,45020
1770648292913405,45380
1770648292956398,45010
1770648292999447,45060
1770648293042505,45200
1770648293085556,45090
1770648293128717,45130
1770648293171860,45120
1770648293214851,44980
1770648293257959,45080
1770648293301019,44940
1770648293344094,45040
1770648293388689,45030
1770648293431778,45180
1770648293474287,45160
1770648293517539,45190
1770648293560677,45200
1770648293603636,45090
1770648293646614,45100
1770648293689604,44970
1770648293732662,44930
1770648293775536,45070
1770648293818420,45090
1770648293861407,45110
1770648293904563,45140
1770648293948452,45120
1770648293991607,45110
1770648294034667,45010
1770648294077332,44960
1770648294120361,45000
1770648294163405,45080
1770648294206474,45130
1770648294249507,45100
1770648294292458,45130
1770648294334982,45200
1770648294377990,45160
1770648294421011,45000
1770648294463911,45020
1770648294508123,44920
1770648294551019,45030
1770648294594125,45200
1770648294637114,45130
1770648294680161,45100
1770648294723130,45040
1770648294766151,44940
1770648294809214,44900
1770648294852255,45000
1770648294895500,44940
1770648294938664,45000
1770648294981516,45100
1770648295028065,45040
1770648295070292,45040
1770648295113259,45020
1770648295156086,44910
1770648295198976,44970
1770648295242152,45000
1770648295284536,44960
1770648295327586,45120
1770648295370193,45110
1770648295413372,45130
1770648295456380,44980
1770648295499522,45000
1770648295542376,44960
1770648295587823,44990
1770648295630844,45040
1770648295673744,45160
1770648295716834,45220
1770648295759861,45080
1770648295802867,44970
1770648295846144,44890
1770648295889021,44980
1770648295932169,44980
1770648295975198,45110
1770648296018199,45070
1770648296061301,45150
1770648296107458,45020
1770648296150560,45020
1770648296193554,45060
1770648296236709,44940
1770648296279740,45000
1770648296322583,45100
1770648296365453,45150
1770648296408420,45190
1770648296451453,45140
1770648296494436,45230
1770648296536870,45090
1770648296580021,44990
1770648296622963,45020
1770648296667109,45120
1770648296710008,45140
1770648296753126,45150
1770648296796134,45070
1770648296839204,44970
1770648296882429,45050
1770648296925338,45060
1770648296968478,45070
1770648297011630,45160
1770648297054558,45160
1770648297096960,45160
1770648297139997,45140
1770648297182945,45090
1770648297226957,45100
1770648297270120,45090
1770648297313340,45150
1770648297356449,45270
1770648297399398,45170
1770648297441993,45170
1770648297485102,45130
1770648297528248,45090
1770648297571425,45120
1770648297614523,45180
1770648297657424,45160
1770648297700554,45120
1770648297746739,45200
1770648297789146,45120
1770648297832330,45100
1770648297875432,45240
1770648297918328,45140
1770648297961456,45160
1770648298004684,45070
1770648298047678,45070
1770648298090641,45110
1770648298133768,45180
1770648298176692,45190
