unix_timestamp,active_power (mW)
1770649101902862,47170
1770649101945283,47550
1770649101988226,47280
1770649102031290,47270
1770649102074052,47270
1770649102117254,47310
1770649102160370,47300
1770649102203565,47210
1770649102246675,47320
1770649102292577,47340
1770649102335688,47310
1770649102378674,47350
1770649102421769,47490
1770649102464736,47450
1770649102507828,47540
1770649102551005,47360
1770649102594211,47450
1770649102637352,47550
1770649102680452,47470
1770649102723463,47530
1770649102766646,47590
1770649102812308,47490
1770649102855294,47430
1770649102898216,47420
1770649102941145,47470
1770649102984313,47450
1770649103027479,47390
1770649103070654,47300
1770649103113073,47230
1770649103156298,47200
1770649103198840,47250
1770649103241520,47290
1770649103284713,47380
1770649103327925,47230
1770649103371911,47200
1770649103414956,47180
1770649103457675,47280
1770649103500740,47280
1770649103543850,47170
1770649103587031,47160
1770649103629857,47210
1770649103672899,47220
1770649103715521,47250
1770649103758389,47280
1770649103801510,47270
1770649103844721,47140
1770649103891540,47200
1770649103934649,47230
1770649103977752,47290
1770649104020774,47220
1770649104063892,47280
1770649104106988,47170
1770649104149801,47190
1770649104192733,47270
1770649104235938,47150
1770649104278965,47240
1770649104321376,47230
1770649104364487,47270
1770649104411173,47230
1770649104454291,47360
1770649104496806,47200
1770649104539719,47230
1770649104582658,47230
1770649104625771,47190
1770649104668712,47240
1770649104711676,47280
1770649104754643,47290
1770649104797646,47290
1770649104840654,47180
1770649104883681,47270
1770649104926801,47260
1770649104970866,47300
1770649105013769,47170
1770649105056801,47180
1770649105100069,47270
1770649105142899,47220
1770649105185870,47220
1770649105229028,47190
1770649105271971,47260
1770649105314898,47180
1770649105357601,47300
1770649105400661,47260
1770649105443814,47220
1770649105490367,47200
1770649105532914,47240
1770649105575905,47230
1770649105618824,47160
1770649105661701,47210
1770649105704763,47240
1770649105747915,47210
1770649105790891,47230
1770649105833917,47230
1770649105876754,47190
1770649105919773,47210
1770649105962795,47310
1770649106005985,47310
1770649106050023,47120
1770649106093123,47200
1770649106136206,47190
1770649106179387,47270
1770649106222459,47220
1770649106265448,47150
1770649106308638,47220
1770649106351819,47280
1770649106395005,47270
1770649106438168,47250
1770649106481236,47330
1770649106524216,47120
1770649106569510,47270
1770649106612596,47240
1770649106655809,47230
1770649106699054,47140
1770649106741858,47240
1770649106784870,47270
1770649106827875,47330
1770649106870754,47320
1770649106913826,47270
1770649106957071,47220
1770649107000212,47260
1770649107043384,47290
1770649107089144,47260
1770649107132286,47300
1770649107175383,47250
1770649107218336,47200
1770649107261473,47310
1770649107304242,47200
1770649107347188,47260
1770649107390302,47350
1770649107433453,47280
1770649107476582,47240
1770649107519576,47270
1770649107562530,47210
1770649107608740,47270
1770649107651853,47210
1770649107695014,47190
1770649107738044,47290
1770649107780973,47290
1770649107824059,47290
1770649107867059,47230
1770649107909378,47220
1770649107952356,47290
1770649107995442,47240
1770649108038199,47250
1770649108081298,47160
1770649108128243,47280
1770649108171286,47250
1770649108214491,47140
1770649108256870,47300
1770649108299805,47260
1770649108342882,47220
1770649108385824,47320
1770649108429015,47210
1770649108472125,47270
1770649108514558,47390
1770649108557584,47240
1770649108600652,47280
1770649108647770,47250
1770649108690601,47300
1770649108733753,47290
1770649108776800,47330
1770649108819747,47140
1770649108862961,47280
1770649108906050,47370
1770649108949123,47360
1770649108992231,47270
1770649109035226,47290
1770649109078259,47240
1770649109120795,47260
1770649109167296,47210
1770649109210428,47210
1770649109253617,47290
1770649109296724,47280
1770649109339734,47230
1770649109382742,47220
1770649109425927,47290
1770649109469065,47250
1770649109512012,47250
1770649109555119,47170
1770649109598300,47260
1770649109641410,47290
1770649109686847,47230
1770649109729527,47180
1770649109772496,47250
1770649109815608,47300
1770649109858764,47250
1770649109901581,47230
1770649109944731,47130
1770649109987683,47260
1770649110030675,47280
1770649110073785,47190
1770649110116754,47190
1770649110159898,47190
1770649110206310,47230
1770649110249489,47250
1770649110292675,47140
1770649110335898,47190
1770649110378763,47180
1770649110421819,47270
1770649110464751,47170
1770649110507831,47320
1770649110550661,47220
1770649110593812,47330
1770649110637064,47330
1770649110680236,47250
1770649110726032,47230
1770649110769116,47270
1770649110812241,47170
1770649110855056,47190
1770649110898233,47240
1770649110941395,47270
1770649110984514,47180
1770649111027600,47210
1770649111070576,47250
1770649111113017,47260
1770649111156160,47190
1770649111198640,47150
1770649111245508,47290
1770649111288481,47250
1770649111331517,47220
1770649111374541,47140
1770649111417627,47290
1770649111460718,47330
1770649111503671,47200
1770649111546563,47230
1770649111589051,47280
1770649111632110,47240
1770649111675196,47310
1770649111718241,47270
1770649111765042,47260
1770649111807839,47320
1770649111850840,47250
1770649111893754,47280
1770649111936787,47200
1770649111979795,47310
1770649112023123,47340
1770649112066032,47230
1770649112109123,47270
1770649112152285,47270
1770649112195312,47340
1770649112238069,47280
1770649112284582,47330
1770649112327662,47370
1770649112370753,47420
1770649112413681,47330
1770649112456697,47470
1770649112499625,47510
1770649112542750,47520
1770649112585820,47380
1770649112628884,47400
1770649112671892,47410
1770649112714830,47430
1770649112757771,47410
1770649112804121,47440
1770649112847146,47440
1770649112890324,47450
1770649112932847,47520
1770649112975856,47380
1770649113018805,47390
1770649113061915,47500
1770649113104926,47470
1770649113148127,47400
1770649113191170,47410
1770649113234008,47480
1770649113277199,47450
1770649113323683,47390
1770649113366723,47490
1770649113409684,47370
1770649113452688,47450
1770649113495721,47430
1770649113538400,47410
1770649113581522,47440
1770649113624730,47480
1770649113667886,47420
1770649113711017,47490
1770649113753938,47390
1770649113797075,47400
1770649113843139,47380
1770649113885870,47400
1770649113929101,47380
1770649113972176,47390
1770649114015324,47350
1770649114058513,47230
1770649114101608,47320
1770649114144574,47390
1770649114187625,47380
1770649114230568,47340
1770649114273575,47310
1770649114316439,47310
1770649114362725,47330
1770649114405738,47300
1770649114448871,47350
1770649114491802,47340
1770649114534977,47360
1770649114577642,47270
1770649114620524,47420
1770649114663601,47250
1770649114706556,47260
1770649114749598,47310
1770649114792610,47330
1770649114835724,47260
1770649114882111,47240
1770649114925237,47140
1770649114968416,47210
1770649115011524,47320
1770649115054454,47210
1770649115097542,47210
1770649115140678,47130
1770649115183634,47150
1770649115226356,47300
1770649115269553,47240
1770649115312742,47220
1770649115355566,47170
1770649115401744,47220
1770649115444725,47210
1770649115487946,47190
1770649115530777,47230
1770649115573779,47260
1770649115616799,47240
1770649115659879,47180
1770649115702439,47090
1770649115745679,47180
1770649115788781,47230
1770649115831730,47360
1770649115874708,47240
1770649115921340,47160
1770649115964434,47210
1770649116007593,47290
1770649116050375,47310
1770649116093539,47240
1770649116136595,47170
1770649116179625,47180
1770649116222647,47330
1770649116265522,47200
1770649116308464,47290
1770649116351593,47180
1770649116394694,47230
1770649116440974,47290
1770649116484091,47300
1770649116527196,47220
1770649116570248,47300
1770649116613368,47380
1770649116656453,47340
1770649116699872,47240
1770649116742907,47200
1770649116785799,47160
1770649116828858,47260
1770649116871811,47230
1770649116914965,47240
1770649116960400,47140
1770649117003565,47240
1770649117046729,47220
1770649117089905,47270
1770649117133027,47190
1770649117176170,47180
1770649117219207,47240
1770649117262203,47190
1770649117305300,47200
1770649117348329,47230
1770649117391404,47140
1770649117434148,47220
1770649117480036,47270
