unix_timestamp,active_power (mW)
1770650289432080,48530
1770650289475016,48750
1770650289517531,48500
1770650289560722,48360
1770650289603729,48450
1770650289646839,48400
1770650289689974,48480
1770650289732951,48420
1770650289775903,48450
1770650289818844,48460
1770650289861921,48450
1770650289907784,48530
1770650289950675,48550
1770650289993810,48530
1770650290036431,48460
1770650290079569,48500
1770650290122661,48550
1770650290165765,48530
1770650290208991,48570
1770650290252136,48730
1770650290295063,48690
1770650290338094,48710
1770650290381063,48700
1770650290428029,48700
1770650290470955,48780
1770650290514041,48720
1770650290557139,48610
1770650290600068,48660
1770650290642865,48620
1770650290685921,48570
1770650290729034,48530
1770650290771944,48580
1770650290814811,48600
1770650290857822,48530
1770650290900928,48600
1770650290943895,48600
1770650290988338,48550
1770650291031249,48610
1770650291073755,48460
1770650291116715,48550
1770650291159824,48530
1770650291202721,48530
1770650291245252,48510
1770650291288493,48440
1770650291331618,48480
1770650291374672,48520
1770650291417800,48480
1770650291461033,48470
1770650291504020,48490
1770650291548268,48530
1770650291591168,48570
1770650291633835,48600
1770650291676776,48640
1770650291719767,48680
1770650291762963,48650
1770650291805815,48640
1770650291848348,48680
1770650291891313,48690
1770650291934420,48640
1770650291977497,48710
1770650292020641,48710
1770650292063751,48710
1770650292108597,48700
1770650292151688,48740
1770650292194897,48800
1770650292237809,48730
1770650292280973,48770
1770650292323979,48680
1770650292367087,48760
1770650292410008,48660
1770650292452476,48740
1770650292495595,48610
1770650292538619,48520
1770650292581833,48760
1770650292628723,48640
1770650292671890,48700
1770650292715007,48710
1770650292757930,48700
1770650292801044,48710
1770650292843976,48740
1770650292886410,48660
1770650292929260,48650
1770650292972205,48720
1770650293015080,48610
1770650293057788,48680
1770650293100896,48680
1770650293143912,48620
1770650293188809,48530
1770650293231814,48500
1770650293274849,48490
1770650293317971,48500
1770650293360903,48410
1770650293403891,48450
1770650293446572,48430
1770650293489456,48370
1770650293532598,48460
1770650293575623,48390
1770650293618393,48460
1770650293661619,48510
1770650293704750,48450
1770650293748850,48530
1770650293792034,48530
1770650293835271,48590
1770650293878471,48550
1770650293921068,48550
1770650293964100,48560
1770650294007064,48690
1770650294050049,48660
1770650294093135,48680
1770650294136047,48590
1770650294179015,48790
1770650294221990,48660
1770650294264831,48720
1770650294309245,48620
1770650294352346,48620
1770650294395535,48610
1770650294437823,48650
1770650294480824,48620
1770650294523852,48770
1770650294566837,48650
1770650294609886,48700
1770650294652927,48560
1770650294695975,48540
1770650294739079,48560
1770650294782188,48480
1770650294829068,48440
1770650294871894,48430
1770650294914770,48360
1770650294957939,48500
1770650295000859,48450
1770650295043925,48420
1770650295086908,48470
1770650295129805,48430
1770650295173020,48450
1770650295216278,48560
1770650295259405,48450
1770650295302278,48490
1770650295344919,48530
1770650295389233,48540
1770650295432150,48490
1770650295474924,48490
1770650295517704,48410
1770650295560735,48440
1770650295603668,48470
1770650295646818,48590
1770650295690033,48580
1770650295733078,48550
1770650295776142,48660
1770650295819353,48660
1770650295862349,48670
1770650295904777,48720
1770650295949533,48650
1770650295992620,48530
1770650296035834,48690
1770650296078913,48720
1770650296121992,48670
1770650296164991,48460
1770650296208000,48680
1770650296250951,48700
1770650296294058,48660
1770650296336909,48750
1770650296379817,48750
1770650296422701,48600
1770650296469628,48800
1770650296512728,48670
1770650296555726,48630
1770650296598780,48600
1770650296641244,48580
1770650296684224,48560
1770650296727291,48560
1770650296770315,48570
1770650296813495,48520
1770650296856661,48530
1770650296899836,48440
1770650296943093,48480
1770650296989602,48540
1770650297032705,48490
1770650297075844,48470
1770650297118980,48540
1770650297162116,48560
1770650297205315,48610
1770650297248281,48540
1770650297291493,48550
1770650297334738,48630
1770650297377834,51840
1770650297420866,48370
1770650297463981,48590
1770650297509784,48530
1770650297552811,48550
1770650297595758,48530
1770650297638960,48580
1770650297682042,48500
1770650297725014,48520
1770650297767980,48520
1770650297810783,48470
1770650297853429,48430
1770650297896569,48530
1770650297939485,48410
1770650297982591,48550
1770650298025549,48460
1770650298069928,48480
1770650298113088,48460
1770650298156268,48530
1770650298199482,48470
1770650298242251,48460
1770650298285291,48490
1770650298328458,48590
1770650298371667,48550
1770650298414758,48550
1770650298457251,48530
1770650298500238,48570
1770650298543391,48540
1770650298589925,48510
1770650298632905,48580
1770650298675920,48460
1770650298718990,48500
1770650298761943,48520
1770650298804964,48480
1770650298847845,48420
1770650298890728,48410
1770650298933536,48480
1770650298976706,48430
1770650299019732,48370
1770650299062741,48500
1770650299105689,48410
1770650299150038,48410
1770650299193130,48450
1770650299236195,48420
1770650299279243,48410
1770650299322441,48500
1770650299364716,48520
1770650299407839,48520
1770650299450586,48520
1770650299493624,48480
1770650299536892,48450
1770650299580042,48460
1770650299622830,48490
1770650299665412,48580
1770650299710287,48510
1770650299753361,48450
1770650299796497,48470
1770650299839635,48460
1770650299882755,48420
1770650299925844,48490
1770650299968976,48440
1770650300011959,48340
1770650300055016,48510
1770650300097914,48460
1770650300140946,48410
1770650300184088,48450
1770650300230332,48470
1770650300272972,48430
1770650300315967,48570
1770650300358906,48580
1770650300402078,48670
1770650300445086,48650
1770650300488142,48590
1770650300531294,48740
1770650300573882,48520
1770650300617174,48640
1770650300660267,48640
1770650300703588,48600
1770650300750453,48590
1770650300793490,48550
1770650300836769,48560
1770650300879999,48570
1770650300923060,48560
1770650300965961,48490
1770650301008803,48520
1770650301051920,48590
1770650301094966,48540
1770650301137990,48570
1770650301180751,48480
1770650301223829,48460
1770650301270485,48470
1770650301312909,48400
1770650301356021,48440
1770650301398978,48440
1770650301441731,48400
1770650301484970,48450
1770650301527977,48430
1770650301570988,48460
1770650301613568,48440
1770650301656711,48560
1770650301699657,48490
1770650301742827,48520
1770650301785932,48510
1770650301830530,48570
1770650301873632,48510
1770650301916859,48530
1770650301959846,48550
1770650302002904,48490
1770650302045799,48530
1770650302088814,48490
1770650302131956,48460
1770650302174880,48540
1770650302217716,48570
1770650302260845,48590
1770650302304143,48570
1770650302350689,48620
1770650302393815,48650
1770650302436913,48810
1770650302479983,48670
1770650302522941,48790
1770650302565975,48750
1770650302608980,48700
1770650302652032,48780
1770650302694992,48660
1770650302738236,48650
1770650302781431,48640
1770650302824661,48640
1770650302870897,48680
1770650302914014,48690
1770650302957205,48600
1770650303000108,48630
1770650303042991,48610
1770650303086172,48570
1770650303129236,48600
1770650303172546,48530
1770650303215795,48520
1770650303258917,48550
1770650303301488,49070
1770650303344685,49030
1770650303390846,48580
1770650303433925,48620
