unix_timestamp,active_power (mW)
1770651683335840,49080
1770651683378114,49540
1770651683420905,49150
1770651683465337,49120
1770651683508498,49140
1770651683551537,49190
1770651683594304,49210
1770651683637484,49250
1770651683680673,49260
1770651683723912,49160
1770651683767136,49090
1770651683809733,49200
1770651683852785,49100
1770651683895885,49130
1770651683938635,49130
1770651683981166,49170
1770651684025582,49220
1770651684067992,49190
1770651684111031,49140
1770651684154024,49160
1770651684197015,49050
1770651684239938,49040
1770651684283103,49080
1770651684325999,49250
1770651684369229,49250
1770651684412212,49180
1770651684455429,49170
1770651684498339,49130
1770651684540740,49270
1770651684585875,49130
1770651684629052,49190
1770651684672045,49180
1770651684715013,49070
1770651684757882,49230
1770651684800865,49230
1770651684843759,49250
1770651684886339,49130
1770651684929427,49180
1770651684972498,49190
1770651685015612,49140
1770651685058493,49120
1770651685101687,49150
1770651685146119,49200
1770651685189030,49200
1770651685232009,49210
1770651685274881,49170
1770651685317826,49080
1770651685360820,49130
1770651685403951,49120
1770651685446271,49050
1770651685489358,49080
1770651685532491,49140
1770651685575561,49160
1770651685618668,49090
1770651685661546,49130
1770651685706385,49170
1770651685748652,49030
1770651685791668,49020
1770651685834776,49090
1770651685877852,49120
1770651685920970,49120
1770651685963855,49110
1770651686006959,49160
1770651686049981,49100
1770651686093146,49160
1770651686136050,49120
1770651686178880,49160
1770651686221713,49120
1770651686266678,49260
1770651686309115,49170
1770651686351594,49220
1770651686394557,49150
1770651686437403,49190
1770651686480460,49310
1770651686523530,49280
1770651686566681,49220
1770651686609775,49280
1770651686652803,49170
1770651686695873,49200
1770651686739091,49300
1770651686782056,49180
1770651686827188,49740
1770651686870223,49680
1770651686913435,49520
1770651686956484,49270
1770651686999582,49240
1770651687042285,49230
1770651687085258,49260
1770651687128362,49180
1770651687171434,49180
1770651687214488,49250
1770651687257000,49140
1770651687300238,49200
1770651687343363,49180
1770651687387162,49200
1770651687429777,49200
1770651687472760,49180
1770651687515731,49230
1770651687558738,49150
1770651687601801,49170
1770651687644868,49250
1770651687687981,49240
1770651687730969,49190
1770651687773682,49310
1770651687816628,49210
1770651687859770,49260
1770651687902868,49230
1770651687947625,49310
1770651687990696,49310
1770651688033941,49310
1770651688076783,49240
1770651688119778,49360
1770651688162724,49300
1770651688205803,49330
1770651688248997,49320
1770651688292009,49290
1770651688335064,49330
1770651688378156,49300
1770651688421324,49280
1770651688467771,49390
1770651688510465,49360
1770651688553696,49300
1770651688596743,49300
1770651688639897,49280
1770651688682866,49290
1770651688726075,49240
1770651688769002,49300
1770651688812136,49280
1770651688855204,49330
1770651688898133,52430
1770651688941105,48640
1770651688983414,49340
1770651689028050,49270
1770651689071209,49260
1770651689114049,49350
1770651689156979,49280
1770651689200017,49350
