unix_timestamp,active_power (mW)
1770652918884499,49830
1770652918927774,50120
1770652918974231,49790
1770652919017431,49860
1770652919060517,49860
1770652919103498,49880
1770652919146578,49840
1770652919189534,49890
1770652919232678,49840
1770652919275834,49800
1770652919318918,49930
1770652919361570,49650
1770652919404550,49890
1770652919447622,49880
1770652919494095,49860
1770652919536875,49870
1770652919580082,49870
1770652919622984,49900
1770652919665814,49740
1770652919708990,49910
1770652919752152,49810
1770652919795328,49830
1770652919838408,49830
1770652919881317,49860
1770652919924459,49860
1770652919967434,49870
1770652920013804,49830
1770652920056993,49820
1770652920100123,49800
1770652920142990,49810
1770652920185782,49910
1770652920229054,49810
1770652920272264,49790
1770652920315471,49900
1770652920358634,49830
1770652920401756,49810
1770652920444728,49860
1770652920487514,49800
1770652920533707,49840
1770652920576815,49820
1770652920620002,49910
1770652920663113,49870
1770652920705764,49850
1770652920748716,49880
1770652920791645,49860
1770652920834564,49880
1770652920877446,49850
1770652920920563,49910
1770652920963573,49870
1770652921006446,49850
1770652921049444,49780
1770652921093438,49810
1770652921136529,49790
1770652921179694,49940
1770652921222780,49830
1770652921265634,49840
1770652921308554,49850
1770652921351645,49890
1770652921394372,49820
1770652921437379,49810
1770652921480077,49800
1770652921523354,49860
1770652921566516,49890
1770652921612993,49810
1770652921656168,49760
1770652921699366,49770
1770652921742541,49750
1770652921785682,49840
1770652921828842,49860
1770652921871926,49910
1770652921914915,49840
1770652921957810,49870
1770652922000955,49920
1770652922043921,49900
1770652922086783,49860
1770652922132943,49830
1770652922176049,49780
1770652922219250,49850
1770652922262498,49900
1770652922304978,49910
1770652922347495,49890
1770652922390582,49820
1770652922433051,49810
1770652922476196,49790
1770652922519110,49910
1770652922562201,49770
1770652922605239,49790
1770652922648256,49820
1770652922692664,49850
1770652922735777,49780
1770652922778979,49790
1770652922822194,49890
1770652922865258,49770
1770652922908419,49820
1770652922951672,49800
1770652922994243,49780
1770652923037310,49840
1770652923080261,49870
1770652923123342,49930
1770652923166283,49880
1770652923212364,49810
1770652923255456,49750
1770652923298083,49750
1770652923341138,49650
1770652923384224,49780
1770652923427293,49910
1770652923470157,49820
1770652923512967,49880
1770652923556131,49940
1770652923599306,49790
1770652923642530,49810
1770652923685005,49770
1770652923728204,49860
1770652923772239,49710
1770652923815278,49800
1770652923858268,49860
1770652923901399,49890
1770652923944458,49750
1770652923987473,49820
1770652924030514,49760
1770652924073710,49820
1770652924116837,49800
1770652924159920,49850
1770652924202917,49870
1770652924245441,49770
1770652924291927,49820
1770652924335079,49820
1770652924378308,49870
1770652924420802,49820
1770652924463947,49820
1770652924507048,49860
1770652924550039,49870
1770652924593187,49910
1770652924636439,49790
1770652924679663,49840
1770652924722826,49810
1770652924765862,49880
1770652924811779,49810
1770652924854813,49770
1770652924897439,49850
1770652924940592,49850
1770652924983620,49880
1770652925026437,49830
1770652925069079,49890
1770652925112056,49730
1770652925155071,49870
1770652925198166,49830
1770652925241164,49860
1770652925284286,49830
1770652925327510,49820
1770652925371521,49840
1770652925414212,49810
1770652925457168,49860
1770652925500031,49830
1770652925543174,49790
1770652925586223,49900
1770652925629158,49850
1770652925672356,49870
1770652925715343,49820
1770652925758449,49890
1770652925801600,49890
1770652925844824,49930
1770652925891338,49810
1770652925934365,49820
1770652925977540,49860
1770652926020563,49920
1770652926063519,49850
1770652926106263,49820
1770652926149312,49760
1770652926192151,49800
1770652926235293,49810
1770652926277969,49780
1770652926320983,49890
1770652926364094,49910
1770652926411048,49870
1770652926454161,49870
1770652926496474,49830
1770652926539503,49910
1770652926582622,49880
1770652926625529,49930
1770652926668565,49900
1770652926711460,49890
1770652926754310,49890
1770652926796889,49860
1770652926839997,49790
1770652926883102,49840
1770652926926113,49890
1770652926970727,49890
1770652927013505,49840
1770652927056582,49850
1770652927099628,49790
1770652927142678,49790
1770652927185577,49800
1770652927228744,49780
1770652927271945,49910
1770652927315014,49880
1770652927357646,49790
1770652927400732,49800
1770652927443815,49840
1770652927490452,49780
1770652927533491,49810
1770652927576452,49910
1770652927619471,49770
1770652927662509,49840
1770652927705559,49860
1770652927748821,49850
1770652927791967,49830
1770652927834822,49810
1770652927877978,49760
1770652927920519,49880
1770652927963622,49840
1770652928010127,49780
1770652928053293,49890
1770652928096418,49790
1770652928139494,49800
1770652928182506,49850
1770652928224944,49890
1770652928268132,49840
1770652928311272,49800
1770652928353806,49830
1770652928396860,49840
1770652928439858,49870
1770652928482601,49790
1770652928524832,49970
1770652928569889,49870
1770652928613021,49810
1770652928656121,49830
1770652928698580,49850
1770652928741582,49840
1770652928784689,49760
1770652928827790,49900
1770652928870631,49780
1770652928913554,49950
1770652928956390,49870
1770652928999502,49780
1770652929042546,49710
1770652929089501,49870
1770652929132678,52600
1770652929175898,49610
1770652929219067,49890
1770652929261666,49770
1770652929304784,49840
1770652929347938,49780
1770652929391157,49790
1770652929434217,49740
1770652929476910,49870
1770652929519910,49830
1770652929562790,49890
1770652929609290,49850
1770652929652530,49830
1770652929695714,49850
1770652929738881,49810
1770652929782131,49920
1770652929825354,49850
1770652929868484,49800
1770652929911633,49830
1770652929954528,49840
1770652929997028,49860
1770652930040210,49760
1770652930083364,49800
1770652930129182,49840
1770652930172248,49850
1770652930215496,49850
1770652930258646,49750
1770652930301109,49880
1770652930344280,49850
1770652930387482,49830
1770652930430455,49780
1770652930473524,49850
1770652930516664,49970
1770652930559785,49850
1770652930602789,49810
1770652930648901,49830
1770652930691951,49810
1770652930735117,49820
1770652930778207,49790
1770652930820891,49820
1770652930864006,49820
1770652930906971,49850
1770652930950105,49900
1770652930993275,49820
1770652931036539,49820
1770652931079716,49790
1770652931122527,49830
1770652931168618,49800
1770652931211713,49830
1770652931254736,49800
1770652931297809,49830
1770652931340895,49800
1770652931383996,49720
1770652931426812,49730
1770652931469451,49790
1770652931512530,49860
1770652931555659,49790
1770652931598616,49830
1770652931641776,49800
1770652931688249,49790
1770652931730753,49860
1770652931773786,49780
1770652931816982,49730
1770652931860170,49770
1770652931903326,49760
1770652931946509,49860
1770652931989501,50000
1770652932032514,49880
1770652932075568,49820
1770652932118624,49860
1770652932161717,49780
1770652932207974,49790
1770652932251021,49800
1770652932293588,49810
1770652932336739,49850
1770652932379672,49920
1770652932422758,49870
1770652932465774,49880
1770652932508895,49810
1770652932552111,49850
1770652932595249,49790
1770652932637613,49830
1770652932680628,49800
1770652932723836,49860
1770652932767622,49800
1770652932810513,49710
1770652932853614,49830
1770652932896780,49720
1770652932940008,49810
1770652932983153,49820
1770652933025865,49780
1770652933068883,49700
1770652933112056,49720
1770652933155119,49790
1770652933198156,49920
1770652933241238,49730
1770652933287317,49780
1770652933330363,49790
1770652933372955,49810
1770652933416070,49780
1770652933459242,49840
1770652933502289,49940
1770652933545452,49850
1770652933588545,49830
1770652933631508,49870
1770652933674579,49790
1770652933717543,49740
1770652933760588,49810
1770652933807136,49880
1770652933850214,49870
1770652933893375,49840
1770652933936398,49720
1770652933979568,49740
1770652934022642,49710
1770652934065881,49780
1770652934108994,49910
1770652934152104,49820
1770652934194969,49810
1770652934238082,49810
1770652934280668,49800
1770652934326730,49880
1770652934369795,49800
1770652934412996,49780
1770652934456191,49830
1770652934499085,49900
1770652934542102,49980
1770652934585104,49730
1770652934628177,49800
1770652934671021,49950
1770652934714178,49860
1770652934757123,49960
1770652934800179,49900
1770652934846403,49780
1770652934889516,49780
1770652934932634,49820
1770652934975631,50380
1770652935018617,50440
1770652935061556,49960
1770652935104594,49870
1770652935147571,49830
1770652935190509,49870
