unix_timestamp,active_power (mW)
1770219330758740,40650
1770219330801548,37780
1770219330844727,40950
1770219330887993,40910
1770219330930803,40670
1770219330974021,40770
1770219331017200,40770
1770219331060380,40640
1770219331105808,40720
1770219331149127,40730
1770219331192125,40730
1770219331235308,40760
1770219331278303,40670
1770219331321396,41730
1770219331364523,41360
1770219331407518,40710
1770219331450649,40720
1770219331493431,40690
1770219331536562,40680
1770219331579520,40730
1770219331625537,40810
1770219331668620,40820
1770219331711596,40730
1770219331754722,40600
1770219331797470,40670
1770219331840347,40700
1770219331883301,40860
1770219331926346,40820
1770219331969319,40820
1770219332012446,40860
1770219332055523,40720
1770219332098618,40790
1770219332145441,40700
1770219332188458,40780
1770219332231485,40660
1770219332274244,40690
1770219332316567,40670
1770219332359471,40740
1770219332402411,40720
1770219332445001,40730
1770219332488167,40980
1770219332531270,40750
1770219332574275,40720
1770219332617405,40770
1770219332660509,40750
1770219332705381,40750
1770219332748406,40720
1770219332791421,40730
1770219332834427,40730
1770219332877439,40710
1770219332920523,40770
1770219332963663,40700
1770219333006771,40800
1770219333049736,40760
1770219333092831,40750
1770219333136018,40720
1770219333178998,40580
1770219333225016,40760
1770219333268118,40810
1770219333311299,40830
1770219333354405,40710
1770219333397029,40750
1770219333440090,40680
1770219333483030,40600
1770219333526135,40630
1770219333569219,40630
1770219333612304,40600
1770219333655413,40640
1770219333698397,40630
1770219333744883,40710
1770219333787996,40740
1770219333831149,40750
1770219333873948,40750
1770219333916956,40840
1770219333960114,40770
1770219334003079,40810
1770219334046095,40800
1770219334089111,40890
1770219334132195,40680
1770219334175168,40720
1770219334218285,40710
1770219334260776,40670
1770219334304763,40630
1770219334347838,40670
1770219334391032,40660
1770219334434300,40730
1770219334477410,40750
1770219334520514,40980
1770219334563452,40780
1770219334606260,40630
1770219334649141,40630
1770219334692245,40620
1770219334735433,40660
1770219334778621,40680
1770219334824494,40720
1770219334867558,40660
1770219334910496,40700
1770219334953610,40730
1770219334996735,40650
1770219335039995,40650
1770219335083177,40570
1770219335126323,40590
1770219335168694,40580
1770219335211716,40650
1770219335254652,40660
1770219335297733,40710
1770219335344418,40760
1770219335387437,40800
1770219335430405,40770
1770219335473429,40760
1770219335516408,40790
1770219335559368,40770
1770219335602512,40720
1770219335645499,40750
1770219335688517,40640
1770219335731697,40700
1770219335774631,40750
1770219335817628,40700
1770219335864233,40630
1770219335907198,40700
