unix_timestamp,active_power (mW)
1770220730734305,44460
1770220730777220,42730
1770220730821212,45040
1770220730864396,44610
1770220730907179,44510
1770220730950167,44520
1770220730992714,44520
1770220731035740,44540
1770220731078887,44530
1770220731121827,44510
1770220731164733,44530
1770220731207881,44480
1770220731250775,44560
1770220731293770,44810
1770220731336728,44520
1770220731381205,44450
1770220731424330,44510
1770220731467624,44520
1770220731510602,44480
1770220731553644,44530
1770220731596554,44600
1770220731639692,44450
1770220731682641,44470
1770220731725423,44660
1770220731768496,44460
1770220731811541,44510
1770220731854745,44500
1770220731901194,44510
1770220731944144,44550
1770220731987178,44510
1770220732030150,44640
1770220732073340,44590
1770220732116524,44480
1770220732159548,44460
1770220732202504,44590
1770220732245734,44490
1770220732288706,44500
1770220732331752,44490
1770220732374713,44510
1770220732421334,44510
1770220732464511,44450
1770220732507618,44490
1770220732550733,44500
1770220732593544,44480
1770220732636538,44450
1770220732679743,44470
1770220732722746,44510
1770220732765896,44530
1770220732809126,44480
1770220732852239,44500
1770220732895255,44430
1770220732941411,44450
1770220732984469,44490
1770220733027601,44470
1770220733070610,44380
1770220733113617,44410
1770220733156651,44420
1770220733199786,44510
1770220733242759,44410
1770220733285848,44410
1770220733328916,44660
1770220733371986,44430
1770220733414856,44470
1770220733461402,44530
1770220733504535,44500
1770220733547713,44440
1770220733590816,44500
1770220733633735,44520
1770220733676712,44540
1770220733719786,44540
1770220733762710,44620
1770220733805776,44540
1770220733848727,44560
1770220733891723,44510
1770220733934692,44540
1770220733981257,44460
1770220734024459,44680
1770220734067330,44610
1770220734110558,44580
1770220734153430,44530
1770220734196717,44550
1770220734239810,44530
1770220734282828,44550
1770220734325789,44550
1770220734368816,44610
1770220734411934,44550
1770220734455135,44550
1770220734501436,44570
1770220734544526,44500
1770220734587686,44480
1770220734630735,44600
1770220734673772,44530
1770220734716598,44510
1770220734759592,44470
1770220734802629,44490
1770220734845624,44500
1770220734888715,44450
1770220734931729,44450
1770220734974831,44430
1770220735021412,44490
1770220735064428,44390
1770220735107679,44400
1770220735150781,44440
1770220735193839,44380
1770220735236846,44490
1770220735279877,44450
1770220735322986,44450
1770220735366103,44680
1770220735409205,44440
1770220735452383,44400
1770220735495433,44510
1770220735541455,44460
1770220735584509,44410
1770220735627758,44390
1770220735670923,44390
1770220735714092,44460
1770220735757301,44500
1770220735800523,44470
1770220735843443,44470
1770220735886623,44450
1770220735929667,44450
1770220735972648,44450
1770220736015617,44420
1770220736061338,44510
1770220736104453,44580
1770220736147669,44400
1770220736190839,44530
1770220736233736,44470
1770220736276660,44440
1770220736319747,44500
1770220736362704,44460
1770220736405816,44480
1770220736448742,44450
1770220736491971,44420
1770220736534864,44490
1770220736581381,44440
1770220736624496,44460
1770220736667732,44430
1770220736710875,44470
1770220736753487,44470
1770220736796610,44460
1770220736839780,44470
1770220736882691,44490
1770220736925850,44490
1770220736968717,44500
1770220737011723,44480
1770220737054811,44500
1770220737101364,44530
1770220737144533,44410
1770220737187766,44480
1770220737230843,44470
1770220737273795,44430
1770220737316875,44500
1770220737359898,44530
1770220737402875,44690
1770220737445895,44500
1770220737488780,44520
1770220737531727,44470
1770220737574770,44530
1770220737621330,44500
1770220737664502,44450
1770220737707407,44530
1770220737750543,44550
1770220737793741,44480
1770220737836723,44520
1770220737879871,44520
1770220737922981,44480
1770220737965806,44450
1770220738008561,44500
1770220738051581,44500
1770220738094569,44340
1770220738141379,44450
1770220738184506,44420
1770220738227625,44510
1770220738270587,44440
1770220738313670,44430
1770220738356723,44390
1770220738399835,44410
1770220738442827,44430
1770220738485842,44370
1770220738528727,44330
1770220738571830,44290
1770220738614795,44390
1770220738661339,44380
1770220738704391,44290
1770220738747353,44410
1770220738790445,44290
1770220738833348,44390
1770220738876475,44270
1770220738919492,44390
1770220738962607,44350
1770220739005515,44370
