unix_timestamp,active_power (mW)
1770223066866807,43620
1770223066909495,34300
1770223066952586,44580
1770223066995421,44110
1770223067041034,43770
1770223067083909,43630
1770223067126839,43640
1770223067170075,43660
1770223067213117,43590
1770223067256136,43660
1770223067299073,43620
1770223067342021,43580
1770223067384735,43650
1770223067427776,43700
1770223067470995,43630
1770223067514009,43630
1770223067557074,43720
1770223067601550,43700
1770223067644454,43580
1770223067687431,43640
1770223067730278,43650
1770223067773474,43720
1770223067816682,43750
1770223067859911,43650
1770223067902947,43680
1770223067946028,43730
1770223067988732,43740
1770223068031939,43730
1770223068075014,43890
1770223068122161,43790
1770223068165259,43810
1770223068208461,43780
1770223068251479,43730
1770223068294573,43680
1770223068337511,43770
1770223068380687,43720
1770223068423713,43780
1770223068467002,43720
1770223068510134,43730
1770223068553069,43680
1770223068596230,43740
1770223068642477,43650
1770223068685687,43650
1770223068728910,43620
1770223068772051,43670
1770223068814948,43600
1770223068857893,43630
1770223068901099,43600
1770223068944022,43680
1770223068986939,43640
1770223069029397,43680
1770223069072333,43650
1770223069115618,43720
1770223069158545,43630
1770223069202946,43630
1770223069246101,43640
1770223069289059,43570
1770223069332043,43630
1770223069375075,43710
1770223069418024,43690
1770223069460919,43650
1770223069503934,43580
1770223069547079,43570
1770223069589949,43650
1770223069632871,43690
1770223069675991,43760
1770223069719074,43620
1770223069763576,43700
1770223069806569,43700
1770223069849574,43680
1770223069892613,43670
1770223069935689,43720
1770223069978637,43650
1770223070021875,43710
1770223070064789,43720
1770223070108351,44080
1770223070151296,43740
1770223070194324,43720
1770223070237433,43710
1770223070284082,43620
1770223070327124,43740
1770223070370084,43700
1770223070413088,43670
1770223070456026,43600
1770223070498971,43610
1770223070541939,43620
1770223070585140,43610
1770223070627992,43640
1770223070670939,43600
1770223070714088,43600
1770223070757159,43620
1770223070804247,43590
1770223070847227,43640
1770223070890358,43610
1770223070932922,43540
1770223070976218,43660
1770223071019350,43610
1770223071062452,43600
1770223071105523,43620
1770223071148572,43600
1770223071191747,43590
1770223071234747,43610
1770223071277744,43600
1770223071320814,43580
1770223071364916,43620
1770223071408073,43640
1770223071450808,43610
1770223071493927,43640
1770223071537126,43700
1770223071580023,43730
1770223071622851,43670
1770223071665858,43730
1770223071708727,43710
1770223071751779,43750
1770223071794805,43720
1770223071837668,43700
1770223071880588,43730
1770223071925342,43750
1770223071968466,43700
1770223072011528,43700
1770223072054260,43640
1770223072097614,43700
1770223072140755,44020
1770223072183990,43620
1770223072226893,43710
1770223072269857,43650
1770223072313157,43660
1770223072356246,43710
1770223072399293,43640
1770223072445697,43550
1770223072488794,43570
1770223072531813,43600
1770223072575018,43920
1770223072618089,43830
1770223072661118,43700
1770223072704005,43570
1770223072747014,43660
1770223072789791,43610
1770223072832763,43610
1770223072875707,43540
1770223072918347,43690
1770223072961299,43600
1770223073006150,43660
1770223073049053,43640
1770223073092035,43570
1770223073135073,43670
1770223073178054,43650
1770223073221064,43660
1770223073264327,43700
1770223073307543,43650
1770223073350684,43730
1770223073393565,43720
1770223073437026,43640
1770223073480536,43650
1770223073526698,43690
1770223073569882,43730
1770223073613097,43710
1770223073656006,43740
1770223073699053,43700
1770223073742171,43730
1770223073785276,43720
1770223073828312,43660
1770223073871437,43710
1770223073914496,43650
1770223073957423,43820
1770223074000527,43660
1770223074047110,43650
1770223074090317,43640
1770223074133527,43770
1770223074176348,43770
1770223074219406,43720
1770223074262460,43650
1770223074305496,43590
1770223074348621,43530
1770223074391556,43630
1770223074434934,43690
1770223074478124,43700
1770223074521210,43640
1770223074567406,43630
1770223074610332,43610
1770223074653252,43780
1770223074696283,43560
1770223074739380,43560
1770223074782337,43510
1770223074825441,43610
1770223074868470,43570
1770223074911733,43720
1770223074954900,43600
1770223074997861,43660
1770223075041010,43610
1770223075083957,43680
1770223075128044,43600
1770223075171046,43560
1770223075214003,43590
1770223075256950,43600
1770223075300048,43690
1770223075342645,43640
1770223075385626,43700
1770223075428758,43680
1770223075471792,43610
1770223075514960,43660
1770223075557952,43710
1770223075600828,43640
1770223075643732,43700
1770223075688512,43680
1770223075731651,43690
1770223075774605,43730
1770223075817690,43760
1770223075860738,43730
1770223075903900,43670
1770223075946819,43690
1770223075989306,43660
1770223076032346,43660
1770223076075459,43740
1770223076118536,43850
1770223076161542,43540
1770223076204551,43600
1770223076248943,43840
1770223076292039,43610
1770223076335086,43590
1770223076378089,43570
1770223076421019,43550
1770223076464084,43620
1770223076507165,43630
1770223076550094,43680
1770223076592762,43650
1770223076635923,43540
1770223076679049,43620
1770223076722175,43870
1770223076765014,43700
1770223076809450,43550
1770223076852651,43720
1770223076895880,43700
1770223076939103,43740
1770223076981794,43650
1770223077024991,43650
1770223077067942,43710
1770223077110938,43680
1770223077153984,43710
1770223077196979,43720
1770223077240094,43750
1770223077283036,43740
1770223077325904,43730
1770223077370036,43820
1770223077413151,43680
1770223077456162,43740
1770223077499215,43690
1770223077542218,43700
1770223077584563,43710
1770223077627501,43630
1770223077670598,43730
1770223077713715,43660
1770223077756782,43640
1770223077799805,43710
1770223077842587,43940
1770223077885661,47140
1770223077930356,43540
1770223077973571,43580
1770223078016815,43670
1770223078059789,43620
1770223078102878,43740
1770223078146099,43600
1770223078188995,43570
1770223078231988,43640
1770223078275028,43640
1770223078318073,43860
1770223078361033,43640
1770223078403922,43690
1770223078450817,43610
1770223078494024,43580
1770223078536927,43610
1770223078580066,43650
1770223078623036,43700
1770223078665967,43670
1770223078708933,43640
1770223078751855,43780
1770223078795012,43730
1770223078838028,43700
1770223078881115,43690
1770223078924100,43680
1770223078966983,43820
1770223079011500,43730
1770223079054568,43690
1770223079097644,43860
1770223079140703,43710
1770223079183695,43740
1770223079226828,43790
1770223079269858,43780
1770223079313074,43740
1770223079355933,43820
1770223079398804,43690
1770223079441721,43680
1770223079484887,43670
1770223079531957,43720
1770223079575132,43610
1770223079618305,43710
1770223079661293,43710
1770223079704380,43560
1770223079747494,43650
1770223079790606,43620
1770223079833643,43610
1770223079876692,43610
1770223079919879,43640
1770223079962895,43670
1770223080005570,43560
1770223080052322,43550
1770223080095444,43620
1770223080138666,43710
1770223080181350,43650
1770223080224315,43570
1770223080267293,43550
1770223080310308,43570
1770223080353491,43850
1770223080396576,43620
1770223080439617,43600
1770223080482624,43590
1770223080525753,43610
1770223080572795,43620
1770223080615929,43530
1770223080659154,43570
1770223080702080,43610
1770223080744987,43570
1770223080787946,44000
1770223080830956,43570
1770223080874025,43510
1770223080917062,43660
1770223080960118,43710
1770223081003057,43580
1770223081046066,43560
1770223081088732,43590
1770223081133249,43690
1770223081176147,43680
1770223081219181,43670
1770223081262074,43680
1770223081305101,43670
1770223081347529,43700
1770223081390537,43650
1770223081433671,43660
1770223081476658,43760
1770223081519597,43780
1770223081562645,43740
1770223081605266,43680
1770223081648295,43650
1770223081693754,43740
1770223081736678,43680
1770223081779807,43670
1770223081822665,43620
1770223081865665,43720
1770223081908777,43660
1770223081951960,43710
1770223081995050,43660
1770223082037717,43660
1770223082080713,43680
1770223082123670,43780
1770223082166520,43800
1770223082209609,43630
1770223082254262,43660
1770223082297190,43630
1770223082340228,43750
1770223082383017,43830
1770223082425985,43660
1770223082468808,43710
1770223082511950,43660
1770223082555066,43770
1770223082598158,43650
1770223082640623,43560
1770223082683747,43630
1770223082726854,43560
1770223082769949,43600
1770223082814599,43700
1770223082857418,43610
1770223082900511,43580
1770223082943611,43680
1770223082986667,43670
1770223083029666,43560
1770223083072676,43550
1770223083116238,43610
1770223083159269,43640
