unix_timestamp,active_power (mW)
1770224269111380,43780
1770224269154349,30350
1770224269196813,44960
1770224269240038,43750
1770224269282893,43710
1770224269326153,43770
1770224269369629,43760
1770224269412570,43660
1770224269457643,43780
1770224269500743,43770
1770224269543770,43750
1770224269586961,43740
1770224269630070,43790
1770224269673018,43750
1770224269716242,43850
1770224269759148,43720
1770224269802119,43670
1770224269845243,43710
1770224269888555,43790
1770224269931822,43720
1770224269977921,43790
1770224270021062,43770
1770224270064147,43720
1770224270107275,43850
1770224270150861,43710
1770224270193957,43690
1770224270236923,43910
1770224270279928,43590
1770224270322907,43680
1770224270365850,43700
1770224270408889,43690
1770224270451992,43740
1770224270498179,43710
1770224270541228,43680
1770224270584258,43590
1770224270627043,43710
1770224270670145,44010
1770224270713113,43800
1770224270756149,43760
1770224270799247,43780
1770224270842454,43770
1770224270885391,43750
1770224270928495,43750
1770224270971614,43770
1770224271018368,43650
1770224271060698,43780
1770224271103657,43750
1770224271146850,43780
1770224271190169,43800
1770224271233669,43810
1770224271277189,43750
1770224271320215,43800
1770224271363294,43690
1770224271406181,43750
1770224271449146,43670
1770224271491926,43660
1770224271538587,43570
1770224271581645,43660
1770224271624681,43720
1770224271667761,43730
1770224271710691,43710
1770224271753949,43630
1770224271796980,43660
1770224271839975,43640
1770224271882925,43640
1770224271925837,43620
1770224271968642,43650
1770224272011693,43680
1770224272054726,43770
1770224272098725,43750
1770224272141966,43860
1770224272184796,43610
1770224272227908,43730
1770224272270796,43730
1770224272313931,43630
1770224272356975,43630
1770224272400144,43620
1770224272443175,43580
1770224272486263,43600
1770224272528730,43680
1770224272571727,43620
1770224272614848,43690
1770224272658878,43630
1770224272701900,43610
1770224272744984,43650
1770224272788086,43590
1770224272831132,43510
1770224272874314,43600
1770224272916717,43610
1770224272959944,43640
1770224273002822,43670
1770224273045813,43760
1770224273088693,43660
1770224273131673,43680
1770224273174795,43700
1770224273219266,43610
1770224273261941,43630
1770224273304993,43720
1770224273347910,43710
1770224273390881,43840
1770224273433929,43740
1770224273476948,43720
1770224273519895,43760
1770224273562973,43660
1770224273606091,43750
1770224273648632,43690
1770224273691835,43670
1770224273734862,43690
1770224273779390,43730
1770224273822205,43690
1770224273865043,43630
1770224273908225,43680
1770224273951194,43720
1770224273994214,43670
1770224274037255,43630
