unix_timestamp,active_power (mW)
1770224336571129,44120
1770224336613953,31610
1770224336656769,43360
1770224336699785,44600
1770224336742986,44150
1770224336786220,44150
1770224336832241,44130
1770224336875397,44080
1770224336918156,44150
1770224336961050,44130
1770224337004218,44120
1770224337047116,44150
1770224337090220,44150
1770224337133029,44110
1770224337175945,43970
1770224337218971,44090
1770224337262042,44030
1770224337305211,44030
1770224337351980,43990
1770224337394936,44010
1770224337437957,43980
1770224337481009,44010
1770224337524248,44010
1770224337567200,44100
1770224337610210,44120
1770224337652781,44090
1770224337695797,44140
1770224337738849,44140
1770224337781852,44090
1770224337825056,44240
1770224337868243,44270
1770224337912322,44180
1770224337955334,44130
1770224337998292,44190
1770224338041598,44190
1770224338084789,44160
1770224338127945,44230
1770224338171075,44170
1770224338214339,44200
1770224338256621,44150
1770224338299697,44950
1770224338342715,44110
1770224338385353,44130
1770224338432215,44100
1770224338475333,44150
1770224338518200,44120
1770224338561326,44080
1770224338604232,44120
1770224338647419,44080
1770224338690264,44030
1770224338733128,44110
1770224338776284,44030
1770224338819199,44010
1770224338862097,44010
1770224338904692,44070
1770224338947685,44020
1770224338992192,44090
1770224339035256,44110
1770224339078288,44090
1770224339120685,44100
1770224339163671,44190
1770224339206691,44070
1770224339249621,44080
1770224339292623,44130
1770224339335765,44160
1770224339378680,44150
1770224339421848,44130
1770224339464989,44210
1770224339507953,44120
1770224339552358,44170
1770224339595508,44090
1770224339638686,44130
1770224339681844,44020
1770224339724841,44160
1770224339767739,43990
1770224339810807,44070
1770224339853968,44060
1770224339896970,44260
1770224339940092,44050
1770224339983208,44050
1770224340025843,43980
1770224340072278,44000
1770224340115471,44100
1770224340158613,43990
1770224340201507,43980
1770224340244631,44030
1770224340287720,44060
1770224340330893,44020
1770224340373973,44110
1770224340416990,44010
1770224340460057,44120
1770224340503204,44080
1770224340546285,44140
1770224340592406,44110
1770224340635471,44070
1770224340678575,44090
1770224340721725,44050
1770224340764844,44160
1770224340807871,44110
1770224340851045,44020
1770224340894040,44150
1770224340937194,44060
1770224340980357,44140
1770224341023314,44110
1770224341066462,44160
1770224341112683,44080
1770224341155786,44220
1770224341198971,44120
1770224341241930,44190
1770224341285048,44080
1770224341328235,44240
1770224341371197,44080
1770224341414224,44110
1770224341457216,44130
1770224341500355,44110
1770224341543382,44110
1770224341586481,44070
1770224341632607,44150
1770224341675717,44060
1770224341718763,44190
1770224341761871,44070
1770224341805132,44030
1770224341848276,43990
1770224341891249,44050
1770224341934314,44270
1770224341977292,44140
1770224342020267,44150
1770224342063171,44080
1770224342106196,44150
1770224342152878,44110
1770224342196053,44090
1770224342239190,44140
1770224342282165,44180
1770224342325088,44070
1770224342368059,44240
1770224342411144,44110
1770224342453643,44280
1770224342496693,44140
1770224342539749,44200
