unix_timestamp,active_power (mW)
1770294511806741,41910
1770294511849313,39250
1770294511892391,41950
1770294511935506,41890
1770294511978115,41990
1770294512021008,41960
1770294512064120,42030
1770294512107115,42040
1770294512150232,41890
1770294512193496,41880
1770294512237484,41960
1770294512280552,42130
1770294512323677,42050
1770294512366638,41930
1770294512409715,41930
1770294512452623,41820
1770294512495665,41910
1770294512538595,41990
1770294512581726,42370
1770294512624771,42890
1770294512667858,41850
1770294512711003,41950
1770294512757216,41830
1770294512800333,41890
1770294512843486,41930
1770294512886237,41960
1770294512929769,41980
1770294512972849,42030
1770294513016220,41930
1770294513059684,41910
1770294513102627,41900
1770294513145353,41900
1770294513188412,41860
1770294513231364,41970
1770294513276842,42020
1770294513319934,42010
1770294513363116,42150
1770294513406036,41990
1770294513449322,41950
1770294513492489,41980
1770294513535728,41980
1770294513578806,42070
1770294513621735,42020
1770294513664917,41970
1770294513708130,42040
1770294513751269,42050
1770294513796966,41980
1770294513839923,41970
1770294513883147,41880
1770294513926230,41960
1770294513969339,41950
1770294514012433,42050
1770294514055472,42070
1770294514098528,41970
1770294514141580,41990
1770294514184558,41970
1770294514227594,41880
1770294514270595,41960
1770294514316492,42040
1770294514359578,41960
1770294514402635,41890
1770294514445638,41880
1770294514488588,41870
1770294514531586,42010
1770294514574671,42010
1770294514617588,42030
1770294514660513,42120
1770294514703702,42100
1770294514746784,42050
1770294514789636,42080
1770294514836220,41920
1770294514879335,41980
1770294514922213,41950
1770294514964573,41990
1770294515007547,41960
1770294515050426,42000
1770294515092913,42000
1770294515136107,42110
1770294515179166,42020
1770294515222138,42030
1770294515265215,41990
1770294515308108,41950
1770294515351324,41920
1770294515396030,42050
1770294515439101,42090
1770294515482201,42010
1770294515525391,42090
1770294515568311,41900
1770294515611480,41930
1770294515654694,41940
1770294515697409,42030
1770294515740836,42040
1770294515783859,42060
1770294515827059,42010
1770294515870185,41990
1770294515915709,41990
1770294515958675,41940
1770294516001885,42050
1770294516044869,41970
1770294516087875,41900
1770294516130755,41870
1770294516173737,41830
1770294516216861,41900
1770294516259969,42000
1770294516302899,42040
1770294516345972,42020
1770294516389228,41950
1770294516435372,41860
1770294516478460,41860
1770294516521539,41910
1770294516564508,41870
1770294516607548,42000
1770294516650529,41930
1770294516693617,42060
1770294516736600,42210
1770294516779491,42010
1770294516822622,42180
1770294516865479,42070
1770294516908519,41990
1770294516955358,41980
1770294516998370,41980
1770294517041598,41990
1770294517084399,41940
1770294517127612,41960
1770294517170696,42000
1770294517213612,41980
1770294517256644,41970
1770294517299588,42000
1770294517342773,41950
1770294517385773,42020
1770294517428746,42280
1770294517474902,42010
1770294517518102,41930
1770294517561185,41800
1770294517604035,41830
1770294517647206,41920
1770294517690240,41990
1770294517733257,41960
1770294517776294,41850
1770294517819261,41860
1770294517862382,41940
1770294517905441,41890
1770294517948599,41860
1770294517994605,42070
1770294518037695,42060
1770294518080529,42020
1770294518123537,42040
1770294518166623,42000
1770294518209505,42020
1770294518252564,41980
1770294518295668,41970
1770294518338689,41960
1770294518381646,41990
1770294518424937,41980
1770294518468109,41990
1770294518514514,42030
1770294518557588,42030
1770294518600956,42040
1770294518644044,41970
1770294518687133,41990
1770294518730280,42030
1770294518772586,42250
1770294518815764,41990
1770294518858842,42040
1770294518901915,41950
1770294518944970,42060
1770294518988109,41970
1770294519034207,41940
1770294519077206,42090
1770294519120282,42020
1770294519163342,41890
1770294519206521,41820
1770294519249247,41910
1770294519292218,41930
1770294519335253,42050
1770294519378228,42050
1770294519421339,42160
1770294519464556,41860
1770294519507482,41830
1770294519553925,41950
1770294519596925,41980
1770294519640123,42070
1770294519683088,42020
1770294519726247,42010
1770294519769399,42060
1770294519812419,41950
1770294519855451,41890
1770294519898647,41860
1770294519941615,41890
1770294519984644,42000
1770294520027623,42020
1770294520073736,42020
1770294520116498,42150
1770294520159581,42040
1770294520202578,41980
1770294520245588,41930
1770294520288616,42000
1770294520331739,41980
1770294520374628,41960
1770294520417608,41980
1770294520460623,42030
1770294520503672,42010
1770294520546603,41970
1770294520593349,41930
1770294520636522,42010
1770294520679707,42050
1770294520722874,42100
1770294520765921,41980
1770294520808874,42050
1770294520852027,41930
1770294520895232,42000
1770294520938327,42040
1770294520980598,41970
1770294521023678,41910
1770294521066584,41820
1770294521113034,41950
1770294521156175,41970
1770294521199423,42070
1770294521242507,41980
1770294521285681,41910
1770294521328537,41850
1770294521371828,41980
1770294521414872,41950
1770294521458199,42020
1770294521501258,41940
1770294521544377,41960
1770294521587345,41950
1770294521632681,41820
1770294521675882,41960
1770294521719064,41980
1770294521762205,42050
1770294521805450,42030
1770294521848435,42020
1770294521891501,41970
1770294521934638,41870
1770294521977854,41930
1770294522020982,41910
1770294522064109,41980
1770294522107207,41900
1770294522152632,42000
1770294522195684,42040
1770294522238919,42100
1770294522281980,42100
1770294522325108,41980
1770294522368134,41980
1770294522411067,41960
1770294522454168,41930
1770294522497202,42030
1770294522540250,42000
1770294522583282,42010
1770294522626370,42050
1770294522672439,41970
1770294522715574,41930
1770294522758510,41940
1770294522801661,42850
1770294522844611,42600
1770294522887710,42070
1770294522930744,42020
1770294522973845,42010
1770294523016715,41940
1770294523059749,42040
1770294523102671,42090
1770294523145571,42050
1770294523192018,42000
1770294523235094,41960
1770294523278214,42060
1770294523321389,41990
1770294523364405,42000
1770294523407349,41910
1770294523450445,42010
1770294523493431,41910
1770294523536557,42170
1770294523579537,42020
1770294523622539,42000
1770294523665452,42020
1770294523711568,41980
1770294523754632,41920
1770294523797537,42050
1770294523840773,42100
1770294523883753,42050
1770294523926707,41980
1770294523969570,42000
1770294524012732,41930
1770294524055611,41980
1770294524098594,41990
1770294524141584,42080
1770294524184590,42040
1770294524231325,41970
1770294524274435,41950
1770294524317425,42110
1770294524360523,41950
1770294524403594,42080
1770294524446551,42070
1770294524489744,42090
1770294524532656,42160
1770294524575758,42110
1770294524618804,42020
1770294524661896,42100
1770294524705035,42030
1770294524751219,42040
