unix_timestamp,active_power (mW)
1770295255452703,44110
1770295255496967,33820
1770295255539938,43790
1770295255583005,44300
1770295255626235,44300
1770295255669424,44200
1770295255712503,44180
1770295255755482,44220
1770295255798548,44140
1770295255841417,44220
1770295255884582,44180
1770295255927669,44150
1770295255970695,44150
1770295256016725,44440
1770295256059852,44330
1770295256103054,44200
1770295256145901,44190
1770295256188945,44100
1770295256232032,44170
1770295256274978,44170
1770295256318229,44180
1770295256361352,44180
1770295256404316,44130
1770295256447356,44120
1770295256490308,44190
1770295256536395,44170
1770295256579331,44080
1770295256622243,44210
1770295256665395,44140
1770295256708321,44110
1770295256751460,44130
1770295256794534,44590
1770295256837402,44180
1770295256880542,44230
1770295256923499,44150
1770295256966341,44200
1770295257009283,44200
1770295257056009,44680
1770295257099118,44220
1770295257141993,44180
1770295257185126,44130
1770295257227806,44090
1770295257270862,44140
1770295257313996,44130
1770295257356740,44090
1770295257399666,44290
1770295257442796,44160
1770295257485941,44140
1770295257529158,44120
1770295257575760,44110
1770295257618870,44050
1770295257661944,44130
1770295257705069,44170
1770295257748044,44200
1770295257791167,44160
1770295257834295,44190
1770295257876773,44120
1770295257919950,44080
1770295257962877,44110
1770295258005598,44230
1770295258048763,44190
1770295258095276,44280
1770295258138320,44120
1770295258181255,44160
1770295258224143,44130
1770295258267259,44220
1770295258310132,44130
1770295258353174,44140
1770295258396115,44180
1770295258439286,44170
1770295258482307,44140
1770295258525340,44160
1770295258568439,44130
1770295258615081,44190
1770295258658273,44190
1770295258701422,44160
1770295258744447,44110
1770295258787429,44210
1770295258830678,44260
1770295258873879,44200
1770295258916615,44250
1770295258959831,44180
1770295259002892,44200
1770295259045762,44100
1770295259088938,44130
1770295259134770,44180
1770295259177833,44150
1770295259220952,44150
1770295259263978,44050
1770295259306973,44200
1770295259349661,44140
1770295259392635,44130
1770295259435774,44290
1770295259478704,44080
1770295259521854,44340
1770295259564779,44200
1770295259607881,44210
1770295259654396,44200
1770295259696742,44150
1770295259739681,44120
1770295259782735,44210
1770295259825506,44160
1770295259868572,44060
1770295259911644,44070
1770295259954841,44200
1770295259998090,44050
1770295260041146,44130
1770295260084169,44100
1770295260127257,44120
1770295260174081,44160
1770295260217160,44080
1770295260260242,44190
1770295260303226,44090
1770295260346394,44170
1770295260389612,44180
1770295260432738,44140
1770295260475913,44140
1770295260519035,44180
1770295260561675,44160
