unix_timestamp,active_power (mW)
1770295935152793,42910
1770295935195372,41110
1770295935242227,43190
1770295935285430,42920
1770295935328640,42970
1770295935371731,43000
1770295935414836,43160
1770295935457935,43070
1770295935500838,43030
1770295935543917,43130
1770295935586978,42970
1770295935630103,42950
1770295935673150,42940
1770295935716308,42920
1770295935762412,42920
1770295935805606,42990
1770295935848776,42980
1770295935891661,43000
1770295935934672,43040
1770295935977747,43190
1770295936020911,43020
1770295936063905,43030
1770295936107015,42970
1770295936150011,42980
1770295936193005,43000
1770295936235973,43000
1770295936282553,42870
1770295936325594,42830
1770295936368776,42880
1770295936411781,42860
1770295936454663,42850
1770295936497455,42820
1770295936540631,42820
1770295936583783,42880
1770295936626802,42940
1770295936669804,42990
1770295936712877,42970
1770295936756017,42870
1770295936802722,42890
1770295936845826,42920
1770295936888990,42970
1770295936931892,42950
1770295936974772,43020
1770295937017759,43050
1770295937060868,42980
1770295937103961,43020
1770295937147051,42920
1770295937189993,42950
1770295937232870,42900
1770295937275991,42880
1770295937318975,42940
1770295937362928,43040
1770295937405864,43130
1770295937449021,43000
1770295937492017,43010
1770295937535022,42920
1770295937578040,42910
1770295937621109,42930
1770295937664082,42950
1770295937707172,42880
1770295937750055,42980
1770295937793034,42930
1770295937836122,42850
1770295937883064,42940
1770295937926279,42910
1770295937968706,43030
1770295938011664,43010
1770295938054567,43220
1770295938097059,42990
1770295938140258,42930
1770295938183307,42950
1770295938226094,42950
1770295938269196,42970
1770295938312274,42920
1770295938355410,42910
1770295938398588,42980
1770295938443326,42990
1770295938486515,42970
1770295938529499,42990
1770295938572634,42950
1770295938615701,42960
1770295938658704,42960
1770295938701578,42900
1770295938744743,42900
1770295938787761,42860
1770295938830892,42950
1770295938873950,42970
1770295938916569,42940
1770295938963454,42930
1770295939006577,43020
1770295939049781,43010
1770295939092745,43020
1770295939135960,43000
1770295939179165,42980
1770295939222004,43000
1770295939264937,42900
1770295939307954,42920
1770295939351075,42840
1770295939394246,42940
1770295939437408,42860
1770295939483530,42740
1770295939526658,42840
1770295939569322,42830
1770295939612458,42940
1770295939655413,43000
1770295939698505,43010
1770295939741506,42950
1770295939784730,42940
1770295939827801,42980
1770295939870893,42950
1770295939913510,42890
1770295939956630,42910
1770295939999919,42970
1770295940043865,43030
1770295940086875,43200
1770295940129771,42960
1770295940172817,43030
1770295940215928,42990
1770295940258813,42890
1770295940301934,42910
1770295940345047,42860
1770295940388139,42930
1770295940431063,42990
1770295940474171,42920
1770295940517136,42900
1770295940564004,43020
1770295940607045,43070
1770295940650049,42980
1770295940693066,43010
1770295940736063,43030
1770295940779040,42970
1770295940821849,42980
1770295940864980,42920
1770295940907886,42900
1770295940950728,42970
1770295940993330,42890
1770295941036412,42940
1770295941079382,42900
1770295941124110,42770
1770295941167173,42860
1770295941210134,42860
1770295941253247,42840
1770295941296459,42820
1770295941339423,42700
