unix_timestamp,active_power (mW)
1770296952176438,42930
1770296952219571,30560
1770296952262518,43540
1770296952304696,43010
1770296952347962,42970
1770296952391123,42880
1770296952434159,42830
1770296952477294,42880
1770296952520486,42870
1770296952563652,42900
1770296952606872,42830
1770296952649985,42770
1770296952695241,42780
1770296952738287,42800
1770296952781221,42750
1770296952824396,42830
1770296952867502,42840
1770296952910541,42900
1770296952953554,42850
1770296952996577,42830
1770296953039572,42890
1770296953082509,42910
1770296953125531,42970
1770296953168629,42930
1770296953215265,42890
1770296953258359,43670
1770296953301455,42960
1770296953344471,43010
1770296953387786,43070
1770296953430863,43000
1770296953473704,42920
1770296953516710,42850
1770296953559873,42820
1770296953602819,42870
1770296953645926,42870
1770296953688946,42960
1770296953735603,42900
1770296953778657,42970
1770296953821825,42830
1770296953864661,42910
1770296953907747,42830
1770296953950816,42890
1770296953993637,42830
1770296954036885,42800
1770296954079707,42900
1770296954122614,42860
1770296954165683,42820
1770296954208820,42890
1770296954255657,42910
1770296954298728,42840
1770296954341865,42960
1770296954384787,42990
1770296954428033,42980
1770296954471311,42950
1770296954514457,42980
1770296954557537,42930
1770296954600571,42920
1770296954643696,42990
1770296954686559,42950
1770296954729574,42970
1770296954775710,43000
1770296954818763,42990
1770296954861609,42850
1770296954904658,42830
1770296954947843,42790
1770296954990788,42900
1770296955033874,42930
1770296955076821,42990
1770296955119815,42910
1770296955162888,42930
1770296955205862,42890
1770296955248622,42850
1770296955291568,42900
1770296955336035,42920
1770296955378781,42880
1770296955421614,42810
1770296955464740,43030
1770296955507780,42950
1770296955550848,42970
1770296955593836,42920
1770296955636904,42990
1770296955679866,42890
1770296955723090,42960
1770296955765639,42870
1770296955808703,42860
1770296955851624,42890
1770296955896112,42860
1770296955939140,42900
1770296955982143,42880
1770296956024661,42820
1770296956067760,42870
1770296956110880,42850
1770296956153740,42860
1770296956196588,42850
1770296956239716,42840
1770296956282683,42850
1770296956325587,42800
1770296956368625,42840
1770296956411697,42870
1770296956456219,42950
1770296956499365,42910
1770296956542513,42960
1770296956585664,42820
1770296956628684,42780
1770296956671935,42770
1770296956715143,42880
1770296956757667,42830
1770296956800894,42840
1770296956844125,42880
1770296956887025,42820
1770296956930057,42780
1770296956976329,42840
1770296957019472,42940
1770296957062419,42890
1770296957105476,42950
1770296957148315,42940
1770296957191292,42940
1770296957234349,42920
1770296957277250,42960
1770296957320339,42950
1770296957363449,42930
1770296957406922,43020
1770296957449969,43110
1770296957496256,42850
1770296957539421,42930
1770296957582551,42900
1770296957625561,42900
1770296957668497,42890
1770296957711642,42840
1770296957754582,42930
1770296957797844,42850
1770296957840910,42980
1770296957883949,42900
1770296957926988,42970
1770296957970020,42950
1770296958016530,42920
1770296958059638,42780
1770296958103014,42870
1770296958146128,42940
1770296958189111,42860
1770296958232140,42890
1770296958275137,42910
1770296958318269,42830
1770296958361280,42890
1770296958404509,42840
1770296958447684,42940
1770296958490774,42840
1770296958536790,42820
1770296958579970,42910
1770296958622958,42900
1770296958665875,42920
1770296958708683,42920
1770296958751685,42880
1770296958794761,42910
1770296958837777,42840
1770296958880897,42870
1770296958923831,42930
1770296958966671,42930
1770296959009840,42890
1770296959056735,42890
1770296959099624,42870
1770296959142764,42860
1770296959185911,42840
1770296959228814,42830
1770296959271859,42850
1770296959314900,42860
1770296959357870,42850
1770296959400741,42890
1770296959443860,43230
1770296959486836,43010
1770296959529747,42930
1770296959576915,42860
1770296959619844,42820
1770296959662913,42860
1770296959705965,42820
1770296959748998,42900
1770296959791939,42830
1770296959834855,42950
1770296959877692,42900
1770296959920605,42940
1770296959963706,42860
1770296960006656,42920
1770296960049444,42890
1770296960092408,42930
1770296960137093,42870
1770296960180247,42850
1770296960223416,42890
1770296960266384,42880
1770296960309454,42890
1770296960352490,42870
1770296960395600,42870
1770296960438757,42890
1770296960481650,42850
1770296960524596,42800
1770296960567628,42730
1770296960610532,42860
1770296960657161,42720
1770296960700342,42780
1770296960743538,42790
1770296960786746,42850
1770296960829391,42840
1770296960872343,42820
1770296960915256,42860
1770296960958449,42750
1770296961001368,42780
1770296961044340,42850
1770296961087485,42940
1770296961130576,42930
1770296961177251,42950
1770296961220332,42870
1770296961263328,42820
1770296961306434,42870
1770296961349351,42850
1770296961392636,42940
1770296961435701,42860
1770296961478747,42870
1770296961521975,42860
1770296961565170,42950
1770296961608678,42850
1770296961651717,42860
1770296961697360,42880
1770296961740427,42810
1770296961783444,42820
1770296961826643,42840
1770296961869685,42890
1770296961912711,42850
1770296961956156,42800
1770296961999076,42810
1770296962042375,42850
1770296962085381,42830
1770296962128509,42840
1770296962171503,42770
