unix_timestamp,active_power (mW)
1770299605239926,43290
1770299605282597,34540
1770299605325545,44510
1770299605368409,43210
1770299605411409,43380
1770299605454519,43570
1770299605497013,43480
1770299605539986,43450
1770299605583040,43380
1770299605626038,43430
1770299605669131,43350
1770299605714255,43360
1770299605757350,43450
1770299605800525,43330
1770299605843720,43320
1770299605886889,43390
1770299605929822,43310
1770299605972598,43270
1770299606015535,43240
1770299606058453,43270
1770299606101497,43260
1770299606144560,43290
1770299606187439,43290
1770299606234049,43360
1770299606277152,43450
1770299606320261,43360
1770299606363248,43340
1770299606406448,43330
1770299606449584,43280
1770299606492769,43370
1770299606535954,43240
1770299606578862,43190
1770299606621974,43170
1770299606665219,43290
1770299606708431,43310
1770299606753837,43290
1770299606796983,43350
1770299606839948,43350
1770299606883039,43340
1770299606925878,43280
1770299606968869,43350
1770299607012039,43360
1770299607055129,43430
1770299607098111,43390
1770299607141211,43400
1770299607184226,43420
1770299607227372,43410
1770299607273962,43390
1770299607316712,43470
1770299607359951,43480
1770299607403038,43390
1770299607446112,43530
1770299607489191,43400
1770299607532277,43460
1770299607575218,43490
1770299607618412,43360
1770299607661529,43220
1770299607704558,43330
1770299607747712,43310
1770299607793855,43310
1770299607837019,43360
1770299607880155,43230
1770299607923134,43410
1770299607966222,43350
1770299608009165,43330
1770299608052291,43360
1770299608095505,43360
1770299608138435,43410
1770299608181332,43370
1770299608224356,43420
1770299608267347,43400
1770299608313739,43410
1770299608356859,43390
1770299608400018,43400
1770299608443021,43280
1770299608486190,43370
1770299608529026,43410
1770299608572161,43320
1770299608615132,43300
1770299608658279,43280
1770299608700795,43330
1770299608744007,43310
1770299608787233,43360
1770299608833636,43240
1770299608876723,43230
1770299608919999,43260
1770299608963190,43380
1770299609006047,43320
1770299609049191,43310
1770299609092166,43320
1770299609135386,43400
1770299609178291,43340
1770299609221430,43380
1770299609264416,43340
1770299609307396,43350
1770299609353599,43420
1770299609396605,43400
1770299609439571,43490
1770299609482489,43430
1770299609525565,43410
1770299609568566,43490
1770299609611707,43360
1770299609654451,43450
1770299609697363,43370
1770299609740292,43370
1770299609783426,43400
1770299609826403,43340
1770299609873595,43300
1770299609916719,43290
1770299609959864,43250
1770299610002851,43290
1770299610046016,43280
1770299610089153,43260
1770299610132379,43300
1770299610175344,43300
1770299610218510,43330
1770299610261385,43320
1770299610304559,43230
1770299610347549,43230
1770299610393537,43350
1770299610436637,43260
1770299610479584,43350
1770299610522585,43310
1770299610565494,43290
1770299610608400,43320
1770299610651391,43250
1770299610694486,43350
1770299610737415,43390
1770299610780448,43420
1770299610823399,43400
1770299610866470,43530
1770299610909039,43350
1770299610953511,43410
1770299610996532,43400
1770299611039460,43350
1770299611082612,43400
1770299611125561,43400
1770299611168783,43350
1770299611211891,43420
1770299611255118,43400
1770299611298346,43360
1770299611341492,43390
