unix_timestamp,active_power (mW)
1769765019772069,40330
1769765019814702,40320
1769765019857841,40400
1769765019900776,40300
1769765019943850,40330
1769765019986894,40370
1769765020029913,40360
1769765020072832,40410
1769765020115893,40360
1769765020158518,40370
1769765020201652,40380
1769765020244833,40420
1769765020290322,40390
1769765020333019,40440
1769765020375918,40440
1769765020418858,40340
1769765020462009,40420
1769765020505154,40370
1769765020548436,40430
1769765020591061,40360
1769765020634193,40310
1769765020677287,40290
1769765020720334,40280
1769765020763104,40290
1769765020805890,40300
1769765020850292,40220
1769765020893449,40260
1769765020935894,40210
1769765020978627,40160
1769765021021671,40350
1769765021064473,40420
1769765021107518,40270
1769765021150703,40310
1769765021193815,40660
1769765021236819,41180
1769765021279169,40550
1769765021321723,40450
1769765021364959,40430
1769765021410002,40440
1769765021453004,40400
1769765021496089,40420
1769765021538646,40420
1769765021581612,40440
1769765021624374,40450
1769765021667708,40410
1769765021710477,40380
1769765021753443,40420
1769765021796500,40410
1769765021839536,40430
1769765021882536,40420
1769765021925804,40420
1769765021969793,40490
1769765022012848,40430
1769765022055893,40470
1769765022098756,40400
1769765022141763,40510
1769765022184999,40410
1769765022227879,40350
1769765022270256,40400
1769765022313461,40370
1769765022355771,40290
1769765022398770,40430
1769765022441746,40490
1769765022484735,40460
1769765022529561,40460
1769765022572655,40460
1769765022615793,40410
1769765022658901,40370
1769765022701881,40410
1769765022744350,40510
1769765022786759,40420
1769765022829740,40370
1769765022872883,40440
1769765022915694,40500
1769765022958627,40430
1769765023001808,40480
1769765023044834,40430
1769765023089329,40540
1769765023132365,40390
1769765023175362,40420
1769765023217830,40420
1769765023260944,40410
1769765023303722,40430
1769765023346271,40400
1769765023389512,40370
1769765023432661,40290
1769765023475791,40270
1769765023518367,40330
1769765023561430,40370
1769765023604401,40380
1769765023649029,40390
1769765023691889,40360
1769765023734617,40380
1769765023777691,40410
1769765023820413,40290
1769765023863216,40380
1769765023906339,40290
1769765023949592,40350
1769765023992867,40340
1769765024035956,40390
1769765024078947,40370
1769765024121942,40390
1769765024168910,40380
1769765024211954,40350
1769765024254930,40380
1769765024297881,40350
1769765024341046,40350
1769765024383936,40440
1769765024426933,40350
1769765024469653,40360
1769765024512796,40270
1769765024555815,40390
1769765024598887,40360
1769765024642022,40450
1769765024688668,40360
1769765024731367,40370
1769765024773819,40340
1769765024817043,40440
1769765024860326,40390
1769765024903376,40350
1769765024945880,40380
1769765024988961,40360
1769765025031955,40350
1769765025074998,40330
1769765025117973,40380
1769765025161100,40340
1769765025204286,40320
1769765025248231,40430
1769765025291357,40410
1769765025334501,40490
1769765025377318,40380
1769765025420430,40290
1769765025463356,40310
1769765025506525,40430
1769765025549572,40380
1769765025592654,40380
1769765025635889,40360
1769765025678490,40460
1769765025721606,40320
1769765025768006,40360
1769765025810505,40320
1769765025853578,40360
1769765025896707,40400
1769765025939695,40450
1769765025982875,40360
1769765026026073,40450
1769765026069197,40270
1769765026112331,40330
