unix_timestamp,active_power (mW)
1769768803020424,42960
1769768803062814,42650
1769768803105761,42900
1769768803148890,42780
1769768803191508,42730
1769768803233789,42760
1769768803276785,42780
1769768803319903,42780
1769768803362779,42740
1769768803405964,42790
1769768803449090,42650
1769768803492055,42710
1769768803535247,42710
1769768803580241,42650
1769768803623377,42710
1769768803666558,42770
1769768803709773,42840
1769768803752539,42780
1769768803795663,42740
1769768803838733,42750
1769768803881882,42720
1769768803925033,42780
1769768803967916,42730
1769768804011026,42740
1769768804054182,42720
1769768804099983,42750
1769768804142893,42790
1769768804185633,42750
1769768804228814,42770
1769768804271393,42720
1769768804314550,42690
1769768804357666,42760
1769768804400592,42740
1769768804443727,42680
1769768804486911,42750
1769768804529906,42770
1769768804572991,42820
1769768804619913,42740
1769768804662551,42830
1769768804705628,42680
1769768804748699,42760
1769768804791683,42910
1769768804834691,42780
1769768804877170,42760
1769768804920128,42730
1769768804963226,42760
1769768805006434,42700
1769768805049641,42710
1769768805092866,42690
1769768805139726,42660
1769768805182776,42700
1769768805226033,42870
1769768805269254,42760
1769768805312384,42690
1769768805354753,42710
1769768805397343,42640
1769768805440336,42710
1769768805483340,42700
1769768805525957,42840
1769768805568944,42780
1769768805611843,42790
1769768805654737,42760
1769768805699513,42630
1769768805742649,42730
1769768805785826,42710
1769768805829073,42740
1769768805871926,42720
1769768805915077,42720
1769768805957968,42770
1769768806001072,42750
1769768806043918,42750
1769768806086890,42740
1769768806129701,42750
1769768806172889,42740
1769768806219338,42760
1769768806261862,42640
1769768806304957,42720
1769768806348053,42740
1769768806390776,42670
1769768806433796,42720
1769768806476725,42670
1769768806519899,42720
1769768806563028,42740
1769768806605906,42730
1769768806648877,42640
1769768806692043,42770
1769768806734586,42730
1769768806779246,42640
1769768806822280,42800
1769768806865467,42730
1769768806908626,42860
1769768806951594,42680
1769768806994683,42770
1769768807037919,42710
1769768807080949,42760
1769768807124007,42700
1769768807167089,42850
1769768807209655,42700
1769768807253281,42770
1769768807298935,42650
1769768807342059,42730
1769768807384960,42660
1769768807427835,42730
1769768807470933,42800
1769768807513852,42810
1769768807557103,42650
1769768807600203,42740
1769768807642742,42780
1769768807685937,42750
1769768807729008,42760
1769768807771601,42680
1769768807814395,42640
1769768807858768,42680
1769768807901966,42740
1769768807945135,42750
1769768807988124,42760
1769768808031253,42760
1769768808074296,42710
1769768808117313,42800
1769768808160397,42690
1769768808203490,42720
1769768808245835,42750
1769768808289016,42680
1769768808332050,42700
1769768808374320,42630
1769768808418679,42680
1769768808461490,42690
1769768808504408,42640
1769768808547484,42680
1769768808590584,42740
1769768808633599,42670
1769768808676760,42700
1769768808719847,42750
1769768808762530,42760
1769768808805664,42740
1769768808848760,42720
1769768808891727,42800
1769768808938535,42720
1769768808981411,42700
1769768809024496,42710
1769768809067399,42670
1769768809110568,42750
1769768809153767,42820
1769768809196932,42710
1769768809239843,42820
1769768809282621,42850
1769768809325769,42780
1769768809368691,42740
1769768809411815,42720
1769768809458404,42680
1769768809501561,42660
1769768809544730,42710
1769768809587296,42660
1769768809630448,42750
