unix_timestamp,active_power (mW)
1769769367881168,29990
1769769367923923,47010
1769769367967080,43810
1769769368014007,43720
1769769368057204,43700
1769769368100192,43730
1769769368143033,43690
1769769368186172,43800
1769769368228720,43640
1769769368271279,43820
1769769368314497,43710
1769769368357465,43800
1769769368400682,43740
1769769368443242,43800
1769769368486369,43800
1769769368529325,43840
1769769368574421,43860
1769769368617642,43770
1769769368660758,43980
1769769368703751,43850
1769769368746459,43760
1769769368789674,43780
1769769368832699,43770
1769769368875752,43730
1769769368918706,43680
1769769368961662,43680
1769769369004807,43710
1769769369047702,43720
1769769369094507,43550
1769769369137591,44120
1769769369180854,43710
1769769369223975,43720
1769769369266775,43940
1769769369309743,43760
1769769369352690,43610
1769769369395300,43710
1769769369438521,43830
1769769369481709,43780
1769769369524625,43780
1769769369567147,43800
1769769369610125,43820
1769769369654683,43680
1769769369697829,43720
1769769369740823,43610
1769769369783741,43760
1769769369826854,43730
1769769369869683,43580
1769769369912661,43800
1769769369955876,43710
1769769369998676,43740
1769769370041593,43800
1769769370084424,43680
1769769370127358,43800
1769769370170659,43630
1769769370214958,43620
1769769370258045,43780
1769769370300998,43680
1769769370344024,43730
1769769370386343,43700
1769769370429338,43680
1769769370472493,43760
1769769370515015,43790
1769769370557763,43730
1769769370600820,43780
1769769370644041,43740
1769769370686549,43780
1769769370729649,43780
1769769370775244,43700
1769769370818275,43750
1769769370861303,43760
1769769370904205,43860
1769769370947048,43670
1769769370990234,43750
1769769371033399,43760
1769769371076632,43740
1769769371119861,43860
1769769371162459,43770
1769769371205648,43650
1769769371248855,43670
1769769371295357,43710
1769769371338460,43740
1769769371381380,47350
1769769371424476,43170
1769769371467098,43760
1769769371510191,43660
1769769371553148,43720
1769769371596030,43690
1769769371639166,43800
1769769371682711,43670
1769769371725728,43690
1769769371768824,43750
1769769371815538,43740
1769769371858732,43730
1769769371901854,43720
1769769371944835,43810
1769769371988116,43810
1769769372030441,43770
1769769372073374,43840
1769769372116386,43830
1769769372159107,43770
1769769372202257,43710
1769769372245314,43840
1769769372288365,43680
1769769372331364,43750
1769769372375679,43640
1769769372418660,43840
1769769372461718,43810
1769769372504758,43750
1769769372547922,43720
1769769372590712,43730
1769769372633358,43850
1769769372676524,43780
1769769372719350,43810
1769769372761926,43710
1769769372805093,43770
1769769372848316,43790
1769769372891106,43730
1769769372935938,43770
1769769372978738,43740
1769769373021799,43780
1769769373064879,43730
1769769373107712,43900
1769769373150744,43720
1769769373193485,43770
1769769373236166,43680
1769769373278704,43910
1769769373322256,43690
1769769373365408,43720
1769769373408486,43730
1769769373451496,43660
1769769373496038,43710
1769769373539114,43750
1769769373582143,43660
1769769373625184,43790
1769769373668283,43690
1769769373711021,43670
1769769373753712,43680
1769769373796697,43710
1769769373839134,43660
1769769373882319,43700
1769769373925173,43640
1769769373968191,43640
1769769374011376,43750
1769769374056044,43650
1769769374098863,43720
1769769374141404,43750
1769769374184574,43720
1769769374227308,43720
1769769374270268,43610
1769769374313476,43750
1769769374356537,43610
1769769374399577,43670
1769769374442188,43650
1769769374485290,43750
1769769374528213,43710
1769769374571406,43600
1769769374616159,43730
1769769374659229,43620
1769769374703387,43670
1769769374745729,43630
1769769374788766,43840
1769769374831577,43670
1769769374874384,43620
1769769374917517,43720
1769769374960500,43700
1769769375003677,43710
1769769375046507,43610
1769769375089570,43590
1769769375136240,43710
1769769375179440,43700
1769769375222582,43600
1769769375265584,43660
1769769375308378,43650
1769769375351473,43730
1769769375394448,43620
1769769375437586,43640
1769769375480587,43810
1769769375523710,43700
1769769375567010,43670
1769769375609517,43710
1769769375651984,43650
1769769375696352,43610
1769769375739078,43620
1769769375781766,43640
1769769375824829,43690
1769769375867745,43610
1769769375911012,43640
1769769375953798,43710
1769769375996740,43680
1769769376039904,43700
1769769376082821,43640
1769769376125965,43710
1769769376169002,43670
1769769376212093,43830
1769769376256418,43740
1769769376299589,43710
1769769376342149,43730
1769769376385323,43650
1769769376428407,43680
1769769376471410,43730
1769769376513909,43690
1769769376556988,43630
1769769376599964,43730
1769769376642940,43670
1769769376685744,43770
1769769376728796,43580
1769769376771618,43700
1769769376816695,43780
1769769376859725,43710
1769769376902667,43660
1769769376945882,43670
1769769376989063,43780
1769769377032187,43730
1769769377074866,43640
1769769377118057,43670
1769769377161200,43930
1769769377204091,43830
1769769377247292,43820
1769769377290445,43890
1769769377336759,44860
1769769377379426,44070
1769769377421761,43820
1769769377464887,43760
1769769377507713,43740
1769769377550338,43740
1769769377593350,43780
1769769377636418,43840
1769769377679407,43730
1769769377721591,43710
1769769377764585,43830
1769769377807343,43880
1769769377850289,43800
1769769377896749,43820
1769769377939647,43720
1769769377982704,43790
1769769378025651,43840
1769769378068854,43820
1769769378111914,43750
1769769378154984,43880
1769769378197827,43710
1769769378240981,44040
1769769378283927,43850
1769769378326562,43770
1769769378369703,43840
1769769378412892,43800
1769769378456820,43830
1769769378500026,43750
1769769378542741,43730
1769769378585690,43770
1769769378628173,43880
1769769378671187,43780
1769769378714285,43740
1769769378757291,43850
1769769378800341,43910
1769769378843363,43800
1769769378886353,43790
1769769378929453,43850
1769769378972541,43770
1769769379016829,43690
1769769379059690,43770
1769769379102736,43950
1769769379145439,43670
1769769379187810,43780
1769769379230756,43820
1769769379273760,43970
1769769379316844,43850
1769769379359703,43860
1769769379402390,43790
1769769379445391,43830
1769769379488378,43830
1769769379531392,43710
1769769379576997,43780
1769769379619987,43730
1769769379663252,43780
1769769379706173,43710
1769769379749217,43780
1769769379792227,43650
1769769379834748,43700
1769769379877678,43650
1769769379920722,43740
1769769379963674,43780
1769769380006731,43850
1769769380049739,43800
1769769380092876,43600
1769769380136942,43810
1769769380179836,43890
1769769380222904,43740
1769769380265945,43900
1769769380309055,43800
1769769380352207,43740
1769769380395417,43750
1769769380438604,43920
1769769380481755,43730
1769769380524725,43790
1769769380567491,43840
1769769380610502,43770
1769769380657008,43770
1769769380700028,43710
1769769380742459,43680
1769769380785175,43920
1769769380828241,43700
1769769380871223,43750
1769769380914460,43760
1769769380957671,43790
1769769381000768,43740
1769769381043289,43720
1769769381086498,43720
1769769381129782,43910
1769769381176823,43740
1769769381219879,43800
1769769381262911,43930
1769769381305995,43850
1769769381349166,43760
1769769381391861,43740
1769769381434470,43740
1769769381477578,43770
1769769381520784,43870
1769769381563395,43820
1769769381605780,43730
1769769381648327,43770
1769769381691383,43800
1769769381736788,43790
1769769381779258,43790
1769769381821841,43760
1769769381865051,43750
1769769381908296,43740
1769769381951062,43720
1769769381994224,43810
1769769382037222,43790
1769769382080422,43740
1769769382123244,43800
