unix_timestamp,active_power (mW)
1769770649636595,29810
1769770649679229,45980
1769770649723621,43520
1769770649766615,43470
1769770649809903,43470
1769770649852937,43380
1769770649895960,43450
1769770649938702,43530
1769770649981230,43500
1769770650024323,43520
1769770650067274,43590
1769770650109831,43660
1769770650153014,43530
1769770650195692,43560
1769770650238637,43540
1769770650283404,43520
1769770650326467,43400
1769770650369725,43490
1769770650412872,43490
1769770650455691,43470
1769770650498790,43460
1769770650542024,43520
1769770650584512,43520
1769770650627149,43540
1769770650669915,43520
1769770650713145,43480
1769770650755956,43480
1769770650798632,43500
1769770650843195,43410
1769770650886295,43440
1769770650929563,43500
1769770650972637,43440
1769770651015844,43460
1769770651058931,43570
1769770651101872,43430
1769770651145206,43570
1769770651188317,43430
1769770651231458,43440
1769770651274018,43440
1769770651317159,43430
1769770651363031,43470
1769770651405771,43540
1769770651448876,43490
1769770651492006,43570
1769770651534976,43480
1769770651578072,43460
1769770651620584,43420
1769770651663746,43440
1769770651706424,43420
1769770651748730,43490
1769770651791103,43460
1769770651834132,43490
1769770651877293,43450
1769770651922762,43440
1769770651965813,43500
1769770652008425,43440
1769770652051301,43500
1769770652094015,43590
1769770652136999,43570
1769770652179958,43560
1769770652223036,43710
1769770652266078,43520
1769770652309186,43510
1769770652352287,43420
1769770652395352,43550
1769770652438541,43500
1769770652482562,43450
1769770652525587,43440
1769770652568585,43460
1769770652611287,43490
1769770652653835,43530
1769770652696891,43530
1769770652739878,43480
1769770652782875,43380
1769770652825810,43480
1769770652868999,43450
1769770652911459,43510
1769770652954610,43480
1769770652997564,43480
1769770653042187,43500
1769770653085230,43470
1769770653128140,43530
1769770653170948,43340
1769770653213767,43380
1769770653256933,43590
1769770653299830,43440
1769770653343011,43420
1769770653386057,43470
1769770653429155,43520
1769770653472240,43390
1769770653515491,43440
1769770653561940,43330
1769770653605134,43400
1769770653648264,43450
1769770653691109,43480
1769770653733980,43520
1769770653777134,43520
1769770653820152,43520
1769770653863084,43470
1769770653905514,43420
1769770653948612,43420
1769770653991453,43400
1769770654033877,43460
1769770654077036,43360
1769770654121886,43650
1769770654164948,43460
1769770654208015,43600
1769770654250883,43600
1769770654293964,43480
1769770654337055,43410
1769770654380117,43420
1769770654423010,43440
1769770654466241,43370
1769770654509512,43450
1769770654552537,43450
1769770654595611,43500
1769770654641522,43870
1769770654684537,43510
1769770654727125,43470
1769770654769899,43450
1769770654812975,43390
1769770654856106,43440
1769770654899266,43450
1769770654942401,43530
1769770654985488,43480
1769770655028576,43500
1769770655071356,43460
1769770655114509,43580
1769770655161364,43550
1769770655204526,43450
1769770655247691,43510
1769770655290953,43410
1769770655334170,43500
1769770655377308,43530
1769770655420503,43500
1769770655463385,43530
1769770655506549,43560
1769770655549366,43550
1769770655591923,43490
1769770655635048,43490
1769770655681240,43540
1769770655724271,43530
1769770655767299,43460
1769770655810437,43490
1769770655853506,43530
1769770655896389,43490
1769770655939371,43440
1769770655982458,43410
1769770656025561,43510
1769770656068750,43490
1769770656111946,43470
1769770656155233,43490
1769770656200981,43600
1769770656244036,43590
1769770656286575,43470
1769770656330191,43480
1769770656373188,43550
1769770656416145,43530
1769770656459386,43510
1769770656501876,43500
1769770656544575,43490
1769770656587750,43470
1769770656630761,43470
1769770656673854,43460
1769770656720876,43430
1769770656763861,43410
1769770656806251,43500
1769770656849354,43530
1769770656892433,43520
1769770656935231,43540
1769770656978431,43530
1769770657021625,43410
1769770657064764,43420
1769770657107968,43400
1769770657150754,43560
1769770657193678,43460
1769770657240481,43590
1769770657283224,43530
1769770657326252,43560
1769770657369311,43470
1769770657412502,43550
1769770657455474,43460
1769770657498595,43460
1769770657541797,43530
1769770657584958,43510
1769770657627706,43520
1769770657670302,43520
1769770657713499,43460
1769770657760223,43510
1769770657803468,43440
1769770657845869,43520
1769770657888967,43480
1769770657931893,43460
1769770657974685,43560
1769770658017100,43500
1769770658060033,43470
1769770658103229,43470
1769770658146445,43520
1769770658189568,43400
1769770658232669,43460
1769770658275285,43670
1769770658320042,43490
1769770658363175,43460
1769770658406374,43420
1769770658449547,43450
1769770658492468,43490
1769770658535583,43490
1769770658578583,43480
1769770658621522,43600
1769770658663753,43480
1769770658706302,43550
1769770658749384,43520
1769770658792374,43470
1769770658835152,43490
1769770658879842,43480
1769770658922881,43560
1769770658966114,43510
1769770659008866,43460
1769770659051766,43460
1769770659094322,43480
1769770659137433,43570
1769770659180544,43500
1769770659223208,43390
1769770659265533,43500
1769770659308505,43460
1769770659351654,43510
1769770659394842,43520
1769770659439623,43520
1769770659482235,43470
1769770659525175,43450
1769770659567954,43430
1769770659611015,43410
1769770659654021,43500
1769770659697163,43490
1769770659740257,43560
1769770659783629,43430
1769770659826302,43440
1769770659868985,43430
1769770659911981,43420
1769770659954716,43480
1769770659999285,43450
1769770660042391,43540
1769770660085474,43540
1769770660128462,43530
1769770660170928,43530
1769770660213729,43440
1769770660256915,43480
1769770660299966,43640
1769770660342997,43600
1769770660386050,43550
1769770660429037,43670
1769770660472078,43450
1769770660514721,43460
1769770660558916,43520
1769770660602033,43470
1769770660645334,43520
1769770660688457,43520
1769770660731214,43530
1769770660773991,43400
1769770660817089,43420
1769770660860059,43440
1769770660902986,43480
1769770660945818,43520
1769770660989014,43480
1769770661031267,43480
1769770661074391,43480
1769770661118559,43570
1769770661161560,43420
1769770661204562,43440
1769770661247524,43590
1769770661290569,43500
1769770661333635,43430
1769770661376721,43440
1769770661419527,43460
1769770661462461,43490
1769770661505553,43420
1769770661548559,43480
1769770661591820,43460
1769770661638499,43480
1769770661680889,43500
1769770661723773,43500
1769770661766435,43490
1769770661809718,43470
1769770661852237,43440
1769770661895356,43410
1769770661937821,43410
1769770661980952,43490
1769770662023881,43440
1769770662066973,43450
1769770662110152,43380
1769770662153528,43470
1769770662198108,43500
1769770662241308,43440
1769770662284564,43480
1769770662327207,43520
1769770662370337,43480
1769770662413370,43470
1769770662456492,43420
1769770662499529,43460
1769770662541880,43470
1769770662584967,43470
1769770662628036,43510
1769770662670984,43440
1769770662713882,43410
1769770662757868,43420
1769770662800863,43510
1769770662843265,43490
1769770662886239,43460
1769770662929428,43540
1769770662972483,43500
1769770663015634,43380
1769770663058694,43440
1769770663101810,43370
1769770663144989,43450
1769770663187915,43540
1769770663230981,43520
1769770663277640,43480
1769770663320601,43450
1769770663363246,43370
1769770663406362,43520
1769770663449295,43440
1769770663491929,43410
1769770663534920,43480
1769770663578024,43410
1769770663621007,43490
1769770663663638,43460
1769770663706122,43520
1769770663748553,43540
1769770663791041,43410
1769770663837380,43460
1769770663880398,43520
1769770663923278,43530
1769770663966391,43380
1769770664009527,43510
1769770664052047,43520
1769770664094704,43500
1769770664137709,43510
1769770664180659,43460
1769770664223749,43510
1769770664266908,43510
1769770664309845,43450
1769770664357013,43570
1769770664399999,43480
1769770664443097,43550
1769770664485287,43460
1769770664528326,43380
1769770664571313,43480
1769770664614653,43460
1769770664657790,43470
1769770664700691,43430
1769770664743416,43460
1769770664785876,43430
1769770664829110,43500
1769770664872308,43390
