unix_timestamp,active_power (mW)
1769771812977451,32810
1769771813020409,45360
1769771813067573,43240
1769771813110725,43350
1769771813153936,43220
1769771813196994,43260
1769771813239651,43230
1769771813282771,43420
1769771813325265,43390
1769771813368096,43200
1769771813410922,43280
1769771813454065,43250
1769771813497002,43310
1769771813539548,43260
1769771813582024,43250
1769771813627486,43260
1769771813670501,43220
1769771813713654,43320
1769771813756666,43280
1769771813799526,43210
1769771813841811,43210
1769771813884690,43210
1769771813927425,43210
1769771813970475,43260
1769771814013643,43220
1769771814056731,43250
1769771814099869,43270
1769771814142683,43220
1769771814187153,43340
1769771814230210,43240
1769771814273242,43310
1769771814316322,43240
1769771814359495,43200
1769771814402706,43210
1769771814445881,43180
1769771814489084,43240
1769771814531988,43300
1769771814574747,43270
1769771814617948,43230
1769771814660930,43300
1769771814706935,43300
1769771814749786,43230
1769771814792821,43250
1769771814835784,43200
1769771814878541,43260
1769771814921730,43260
1769771814964911,43260
1769771815007858,43240
1769771815051054,43240
1769771815093988,43240
1769771815137034,43240
1769771815179941,43320
1769771815226793,43290
1769771815269945,43270
1769771815312431,43270
1769771815355271,43420
1769771815398385,43300
1769771815441482,43430
1769771815484537,43250
1769771815527692,43180
1769771815570727,43180
1769771815613395,43230
1769771815656557,43590
1769771815699282,43210
1769771815741768,43250
1769771815786575,43190
1769771815829735,43210
1769771815872804,43340
1769771815915745,43290
1769771815958395,43210
1769771816001414,43220
1769771816044609,43220
1769771816087149,43270
1769771816129504,43260
1769771816172652,43300
1769771816215219,43290
1769771816258396,43290
1769771816301596,43280
1769771816346346,43280
1769771816389503,43260
1769771816432677,43250
1769771816475978,43310
1769771816519065,43270
1769771816561964,43310
1769771816604712,43270
1769771816646972,43230
1769771816690026,43230
1769771816732957,43310
1769771816776027,43290
1769771816818658,43260
1769771816861781,43280
1769771816906101,43290
1769771816949227,43240
1769771816992397,43330
1769771817035481,43290
1769771817077753,43300
1769771817120936,43280
1769771817163934,43360
1769771817206943,43230
1769771817249939,43310
1769771817292929,43410
1769771817335986,43230
1769771817379160,43250
1769771817425994,43800
1769771817469139,43320
1769771817512148,43200
1769771817554702,43180
1769771817597816,43250
1769771817640830,43240
1769771817683879,43250
1769771817726657,43210
1769771817769698,43170
1769771817812660,43230
1769771817855723,43190
1769771817898391,43270
1769771817941492,43270
1769771817985754,43260
1769771818028865,43190
1769771818072054,43230
1769771818115029,43240
1769771818158024,43220
1769771818201040,43290
1769771818244126,43230
1769771818287168,43260
1769771818329810,43300
1769771818373032,43210
1769771818416074,43200
1769771818459124,43290
1769771818505520,43210
1769771818548060,43270
1769771818591138,43200
1769771818633992,43270
1769771818677043,43240
1769771818719906,43240
1769771818762428,43230
1769771818805702,43240
1769771818848931,43210
1769771818891786,43250
1769771818934162,43230
1769771818977194,43210
1769771819020197,43230
1769771819065341,43260
1769771819108393,43180
1769771819151680,43360
1769771819194844,43210
1769771819237602,43300
1769771819280957,43240
1769771819323977,43290
1769771819366795,43250
1769771819410055,43260
1769771819453261,43300
1769771819496492,43370
1769771819539203,43270
1769771819585090,43240
1769771819628172,43250
1769771819670681,43210
1769771819713936,43270
1769771819757067,43190
1769771819799869,43210
1769771819843696,43160
1769771819886352,43190
1769771819929525,43230
1769771819972721,43190
1769771820015478,43230
1769771820058631,43240
1769771820104877,43260
1769771820147637,43280
1769771820190794,43250
1769771820233874,43220
1769771820276954,43230
1769771820319962,43220
1769771820363027,43220
1769771820405792,43210
1769771820448916,43270
1769771820492049,43320
1769771820534607,43250
1769771820577760,43220
1769771820624543,43120
1769771820667430,43280
1769771820710592,43230
1769771820753800,43290
1769771820797012,43280
1769771820840060,43270
1769771820882698,43270
1769771820925923,43220
1769771820969098,43230
1769771821011983,43250
1769771821054635,43230
1769771821097669,43200
1769771821144299,43180
1769771821186883,43220
1769771821229947,43190
1769771821272997,43400
1769771821315899,43220
1769771821358500,43210
1769771821401671,43200
1769771821444992,43200
1769771821488034,43270
1769771821530877,43350
1769771821574066,43280
1769771821616996,43290
1769771821664282,46150
1769771821707360,43470
1769771821749900,43210
1769771821792984,43190
1769771821835873,43220
1769771821878655,43250
1769771821921925,43250
1769771821965034,43230
1769771822007989,43240
1769771822051015,43200
1769771822093928,43250
1769771822136985,43210
1769771822180008,43210
1769771822223979,43160
1769771822267257,43210
1769771822310316,43240
1769771822353377,43260
1769771822396329,43210
1769771822439393,43220
1769771822481736,43170
1769771822524780,43240
1769771822567510,43200
1769771822609856,43230
1769771822652839,43310
1769771822695739,43220
1769771822738402,43180
1769771822783718,43250
1769771822826396,43220
1769771822868662,43260
1769771822911494,43200
1769771822953895,43140
1769771822997101,43210
1769771823040340,43200
1769771823083474,43210
1769771823126431,43280
1769771823169363,43260
1769771823212462,43330
1769771823255641,43290
1769771823298490,43290
1769771823343570,43230
1769771823386648,43330
1769771823429679,43230
1769771823472806,43280
1769771823515785,43240
1769771823558765,43400
1769771823601764,43280
1769771823644748,43330
1769771823687895,43320
1769771823730744,43290
1769771823774008,43280
1769771823816959,43180
1769771823863270,43260
1769771823905728,43260
1769771823948857,43260
1769771823991794,43350
1769771824034982,43160
1769771824077854,43250
1769771824120944,43290
1769771824163497,43210
1769771824206669,43180
1769771824249871,43250
1769771824293082,43240
1769771824336291,43310
1769771824383092,43230
1769771824426166,43220
1769771824469036,43190
1769771824512051,43230
1769771824554543,43240
1769771824597760,43240
1769771824640827,43230
1769771824683967,43230
1769771824726642,43220
1769771824769312,43240
1769771824812462,43250
1769771824855591,43190
1769771824898346,43210
1769771824942782,43260
1769771824985869,43240
1769771825029106,43210
1769771825071863,43220
1769771825115064,43130
1769771825158053,43400
1769771825201128,43170
1769771825244039,43340
1769771825287126,43420
1769771825329743,43170
1769771825372606,43200
1769771825415481,43220
1769771825462520,43240
1769771825505675,43220
1769771825548849,43320
1769771825591749,43310
1769771825634823,43190
1769771825678085,43320
1769771825721199,43350
1769771825763815,43200
1769771825806836,43240
1769771825850097,43230
1769771825893039,43180
1769771825936115,43190
1769771825982338,43230
1769771826025134,43210
1769771826068016,43250
1769771826111111,43200
1769771826154258,43200
1769771826197432,43290
1769771826240353,43270
1769771826283448,43150
1769771826325954,43170
1769771826369140,43210
1769771826412322,43210
1769771826455587,43200
1769771826502002,43190
1769771826545147,43160
1769771826588080,43210
