unix_timestamp,active_power (mW)
1770048796306626,42810
1770048796349112,42950
1770048796392033,42830
1770048796434364,42880
1770048796477127,42840
1770048796520105,42850
1770048796564191,42870
1770048796607289,42910
1770048796650098,42810
1770048796692730,42890
1770048796735074,42830
1770048796777777,42910
1770048796820747,42790
1770048796863679,42870
1770048796906100,42880
1770048796948912,42900
1770048796991924,42850
1770048797034431,42910
1770048797077217,42920
1770048797120224,42800
1770048797164773,42880
1770048797207263,42870
1770048797249927,42940
1770048797292806,42890
1770048797335179,42800
1770048797377855,42910
1770048797420713,42920
1770048797463496,42870
1770048797505775,42830
1770048797548771,42910
1770048797591656,42920
1770048797634497,42800
1770048797677384,42890
1770048797720380,42860
1770048797765435,42830
1770048797808577,42880
1770048797851327,42940
1770048797894071,42920
1770048797937073,42810
1770048797980186,42850
1770048798023164,42970
1770048798065967,42840
1770048798108479,42840
1770048798151623,42890
1770048798194623,42890
1770048798237694,42860
1770048798280898,42780
1770048798326093,42850
1770048798368870,42890
1770048798412180,42850
1770048798454644,42860
1770048798497641,42940
1770048798540803,42850
1770048798583731,42840
1770048798626720,42900
1770048798669169,42830
1770048798711750,42800
1770048798754689,42890
1770048798797927,42970
1770048798841053,42860
1770048798886751,42910
1770048798929869,42910
1770048798972867,42860
1770048799016182,42950
1770048799058654,42940
1770048799101754,42930
1770048799144744,42820
1770048799187729,42840
1770048799230451,42940
1770048799273922,42850
1770048799316686,42840
1770048799359112,42810
1770048799401649,42940
1770048799447327,42810
1770048799490124,42850
1770048799533354,42880
1770048799576497,42850
1770048799619437,42830
1770048799661959,42870
1770048799705007,42950
1770048799748290,42890
1770048799791298,42770
1770048799834375,42870
1770048799877385,42860
1770048799920550,42860
1770048799963151,42920
1770048800007874,42900
1770048800051216,42790
1770048800094373,42920
1770048800137317,43030
1770048800180126,42870
1770048800223186,42840
1770048800265715,42920
1770048800308880,42910
1770048800351783,42840
1770048800394564,42790
1770048800437192,42850
1770048800480215,42910
1770048800523123,42860
1770048800568613,42940
1770048800611716,42840
1770048800654621,42850
1770048800697186,42880
1770048800740213,42980
1770048800783302,42840
1770048800826395,42770
1770048800868784,42940
1770048800911801,42870
1770048800954727,42890
1770048800997808,42870
1770048801040779,42930
1770048801083753,42900
1770048801129199,43020
1770048801171968,42870
1770048801214743,42890
1770048801257200,42860
1770048801300333,42960
1770048801343331,42950
1770048801386094,42820
1770048801429148,42850
1770048801472025,42920
1770048801515206,42840
1770048801558249,42840
1770048801601132,42990
1770048801644038,42870
1770048801689750,42900
1770048801732745,42960
1770048801775537,42760
1770048801818542,42840
1770048801861709,42880
1770048801904625,42990
1770048801947538,42820
1770048801990167,42830
1770048802033226,42880
1770048802075974,42850
1770048802118923,42840
1770048802161270,42890
1770048802204485,42910
1770048802250546,42940
1770048802293102,42820
1770048802336155,42880
1770048802378925,42890
1770048802421939,43010
1770048802465002,42950
1770048802508051,42930
1770048802551007,42980
1770048802594116,42880
1770048802637038,42810
1770048802679593,42920
1770048802722215,42920
1770048802765327,42860
1770048802811149,42920
1770048802875244,42900
1770048802917805,42820
1770048802960820,42820
1770048803003898,42840
1770048803046537,42970
1770048803091610,42890
1770048803134346,42890
1770048803177290,42810
1770048803220264,42930
1770048803263158,43070
1770048803305724,42820
1770048803348649,42960
1770048803391572,43030
1770048803434145,42960
1770048803477374,42980
1770048803519740,43050
1770048803562510,43040
1770048803605774,42950
1770048803652431,43070
1770048803695482,42930
1770048803738141,43040
1770048803781421,43080
1770048803824633,43010
1770048803867582,43000
1770048803910862,42980
1770048803954066,43030
1770048803997073,42960
1770048804040039,43050
1770048804082905,43160
1770048804125390,42990
1770048804168037,42930
1770048804213029,42980
1770048804256073,42870
1770048804298970,42930
1770048804341301,43070
1770048804384478,42940
1770048804427493,42890
1770048804470372,42860
1770048804512623,42860
1770048804555019,42810
1770048804597547,42760
1770048804640585,42960
1770048804683535,42840
1770048804726336,42780
1770048804768942,42740
1770048804813680,42930
1770048804856891,42840
1770048804899957,42970
1770048804942480,42830
1770048804985439,42840
1770048805028566,42910
1770048805071787,42920
1770048805114452,42830
1770048805157375,42930
1770048805200617,42860
1770048805243848,42890
1770048805286596,43000
1770048805328999,43010
1770048805374493,43030
1770048805417296,42960
1770048805460377,42970
1770048805503284,43050
1770048805545791,42990
1770048805588819,43040
1770048805631831,43030
1770048805674600,43080
1770048805717305,42950
1770048805760320,42990
1770048805803127,43050
1770048805845744,42990
1770048805888708,42940
1770048805935217,42990
1770048805977666,42910
1770048806020423,42850
1770048806063140,43010
1770048806105723,42910
1770048806148159,42860
1770048806191030,42840
1770048806233410,42910
1770048806276525,42840
1770048806319488,42790
1770048806362714,42910
1770048806405872,42900
1770048806449272,42830
1770048806495764,42860
1770048806538354,42790
1770048806581236,42860
1770048806624720,43010
1770048806667723,42910
1770048806710336,42890
1770048806753337,43000
1770048806796523,42910
1770048806839463,42900
1770048806882208,43040
1770048806925348,42970
1770048806968339,42890
1770048807011248,43000
1770048807056712,42880
1770048807099863,43080
1770048807142807,43010
1770048807185764,42950
1770048807228712,43110
1770048807271847,43020
1770048807314851,42950
1770048807357845,43060
1770048807400947,42990
1770048807443832,42950
1770048807486894,42940
1770048807529565,43080
1770048807571896,43040
1770048807617333,43030
1770048807660326,43020
1770048807703353,42920
1770048807746050,42890
1770048807789270,42920
1770048807832311,42910
1770048807875265,42830
1770048807917996,42990
1770048807960892,42970
1770048808003936,42830
1770048808046700,42950
1770048808089296,42930
