unix_timestamp,active_power (mW)
1770049549728415,44160
1770049549771267,44200
1770049549813948,44250
1770049549856863,44250
1770049549899770,44220
1770049549942766,44220
1770049549985891,44260
1770049550031411,44220
1770049550073996,44270
1770049550117191,44240
1770049550160322,44320
1770049550203442,44360
1770049550246494,44300
1770049550289268,44360
1770049550331788,44320
1770049550374454,44310
1770049550417397,44430
1770049550460337,44330
1770049550503198,44290
1770049550545831,44340
1770049550592400,44400
1770049550635450,44430
1770049550677984,44350
1770049550720685,44320
1770049550763795,44370
1770049550806492,44250
1770049550848984,44210
1770049550892073,44250
1770049550934449,44310
1770049550977398,44290
1770049551020333,44310
1770049551063467,44300
1770049551106451,44280
1770049551153084,44350
1770049551196026,44280
1770049551239153,44350
1770049551281877,44360
1770049551325101,44370
1770049551368298,44400
1770049551411268,44300
1770049551453962,44260
1770049551497082,44370
1770049551539623,44290
1770049551582486,44320
1770049551625423,44360
1770049551668482,44280
1770049551713918,44360
1770049551757054,44350
1770049551800038,44380
1770049551842932,44380
1770049551885230,44390
1770049551928263,44460
1770049551970744,44470
1770049552013945,44330
1770049552056867,44430
1770049552100121,44390
1770049552143068,44330
1770049552186140,44410
1770049552229273,44450
1770049552274716,44410
1770049552317861,44390
1770049552360875,44470
1770049552404021,44390
1770049552446862,44420
1770049552489803,44320
1770049552532878,44360
1770049552575984,44410
1770049552619082,44360
1770049552662262,44230
1770049552705339,44250
1770049552747901,44330
1770049552790698,44290
1770049552835430,44310
1770049552878154,44240
1770049552920836,44140
1770049552963561,44220
1770049553006331,44240
1770049553048626,44160
1770049553090957,44150
1770049553133170,44300
1770049553176373,44170
1770049553219340,44150
1770049553261865,44280
1770049553304991,44120
1770049553347460,44190
1770049553390430,44290
1770049553436271,44190
1770049553479390,44340
1770049553522341,44300
1770049553565187,44290
1770049553608213,44320
1770049553651076,44350
1770049553694001,44310
1770049553736826,44390
1770049553779187,44360
1770049553821929,44300
1770049553864678,44440
1770049553907601,44460
1770049553950138,44400
1770049553993013,44380
1770049554037064,44410
1770049554079829,44370
1770049554122552,44470
1770049554164994,44400
1770049554208087,44360
1770049554251134,44420
1770049554293473,44340
1770049554336033,44310
1770049554378461,44370
1770049554421111,44340
1770049554463945,44300
1770049554507098,44340
1770049554549816,44330
1770049554592391,44320
1770049554637832,44430
1770049554680740,44330
1770049554723814,44350
1770049554766786,44430
1770049554809784,44370
1770049554853164,44440
1770049554895747,44360
1770049554938455,44370
1770049554980999,44280
1770049555023425,44350
1770049555066111,44400
1770049555109226,44310
1770049555151957,44310
1770049555198574,44340
1770049555241268,44300
1770049555284213,44410
1770049555327188,44320
1770049555369674,44360
1770049555412287,44500
1770049555455011,44350
1770049555497789,44340
1770049555541052,44400
1770049555584153,44420
1770049555627264,44420
1770049555670149,44520
1770049555713593,44450
1770049555759155,44360
1770049555801828,44450
1770049555844951,44400
1770049555887936,44250
1770049555930560,44340
1770049555973125,44350
1770049556016232,44330
1770049556059217,44360
1770049556102161,44400
1770049556145163,44420
1770049556188017,44440
1770049556230609,44430
1770049556273807,44400
1770049556320058,44440
1770049556363158,44370
1770049556406163,44460
1770049556449165,44420
1770049556492385,44360
1770049556535257,44430
1770049556578151,44480
1770049556621178,44390
1770049556664023,44290
1770049556707013,44360
1770049556750142,44350
1770049556793186,44420
1770049556836362,44440
1770049556880793,44270
1770049556923899,44370
1770049556966754,44350
1770049557009126,44320
1770049557052267,44260
1770049557095185,44290
1770049557138003,44330
1770049557181093,44220
1770049557224246,44190
1770049557267105,44240
1770049557310294,44170
1770049557353369,44180
1770049557395814,44230
1770049557441244,44300
1770049557484381,44190
1770049557527413,44230
1770049557570100,44190
1770049557613311,44290
1770049557656395,44350
1770049557699448,44290
