unix_timestamp,active_power (mW)
1770052401904623,45210
1770052401947383,43360
1770052401990056,43160
1770052402034792,45340
1770052402077166,45320
1770052402120322,45390
1770052402163485,45350
1770052402206627,45270
1770052402249157,45270
1770052402292095,45280
1770052402334989,45320
1770052402377711,45320
1770052402420172,45370
1770052402462667,45340
1770052402505195,45310
1770052402548046,45400
1770052402594533,45380
1770052402637156,45240
1770052402680158,45260
1770052402722978,45300
1770052402765729,45330
1770052402808655,45300
1770052402851762,45290
1770052402894720,45290
1770052402937219,45250
1770052402980371,45330
1770052403023410,45250
1770052403066080,45230
1770052403109286,45320
1770052403154217,45310
1770052403197268,45310
1770052403240320,45340
1770052403283430,45250
1770052403326119,45330
1770052403369168,45210
1770052403412273,45250
1770052403455314,45210
1770052403498216,45200
1770052403541332,45340
1770052403584258,45250
1770052403627275,45210
1770052403669989,45290
1770052403713779,45260
1770052403756828,45320
1770052403799782,45380
1770052403842720,45310
1770052403885070,45250
1770052403928133,45340
1770052403971082,45360
1770052404013720,45330
1770052404056835,45330
1770052404099738,45360
1770052404142499,45350
1770052404185339,45310
1770052404228599,45270
1770052404273598,45270
1770052404316683,45350
1770052404359602,45350
1770052404402457,45310
1770052404445598,45350
1770052404488757,45380
1770052404531975,45300
1770052404574498,45250
1770052404617763,45320
1770052404660929,45290
1770052404704074,45350
1770052404746531,45250
1770052404789483,45360
1770052404833358,45300
1770052404876154,45220
1770052404918754,45310
1770052404961356,45270
1770052405003982,45360
1770052405046528,45310
1770052405089118,45310
1770052405131971,45270
1770052405174582,45290
1770052405217019,45250
1770052405259561,45230
1770052405302395,45310
1770052405344925,45280
1770052405387388,45310
1770052405433153,45260
1770052405476162,45240
1770052405518731,45260
1770052405561208,45290
1770052405604347,45280
1770052405647550,45260
1770052405690323,45250
1770052405733107,45300
1770052405776734,45310
1770052405819860,45280
1770052405862478,45350
1770052405905252,45210
1770052405948451,45290
1770052405992823,45270
1770052406035902,45270
1770052406078460,45330
1770052406121264,45260
1770052406164469,45290
1770052406207542,45300
1770052406250044,45330
1770052406293241,45260
1770052406336035,45320
1770052406378941,45310
1770052406421503,45230
1770052406464544,45340
1770052406507393,45360
1770052406552600,45270
1770052406595649,45330
1770052406638491,45280
1770052406681601,45340
1770052406724444,45370
1770052406767726,45310
1770052406810419,45280
1770052406853258,45280
1770052406896471,45310
