benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,pp0_joules,pp0_mJ,pp1_joules,pp1_mJ,dram_joules,dram_mJ,total_joules,total_mJ
crc32,477127672,1661264968054,1661742095726,154599907.000,154.599907,0.072,36.00,36.00,45.00,42.00,2.224091,2224.091,1.676102,1676.102,0.040451,40.451,,,2.224091,2224.091
crc32,477215888,1661743042278,1662220258166,154524200.000,154.524200,0.019,36.00,36.00,43.00,42.00,2.337479,2337.479,1.788925,1788.925,0.040375,40.375,,,2.337479,2337.479
crc32,477301628,1662221166498,1662698468126,154550852.000,154.550852,0.018,36.00,36.00,42.00,42.00,2.212296,2212.296,1.663467,1663.467,0.040451,40.451,,,2.212296,2212.296
crc32,477279348,1662699364610,1663176643958,154542736.000,154.542736,0.018,36.00,36.00,42.00,42.00,2.224670,2224.670,1.676102,1676.102,0.040466,40.466,,,2.224670,2224.670
crc32,477220728,1663177539526,1663654760254,154527488.000,154.527488,0.018,36.00,36.00,42.00,42.00,2.211472,2211.472,1.663254,1663.254,0.040421,40.421,,,2.211472,2211.472
crc32,479535628,1663655664506,1664135200134,155283005.000,155.283005,0.018,36.00,36.00,42.00,43.00,2.501663,2501.663,1.945450,1945.450,0.040619,40.619,,,2.501663,2501.663
crc32,477426568,1664136165878,1664613592446,154588464.000,154.588464,0.019,36.00,36.00,42.00,42.00,2.436371,2436.371,1.893539,1893.539,0.040634,40.634,,,2.436371,2436.371
crc32,477172068,1664614485730,1665091657798,154535749.000,154.535749,0.018,36.00,36.00,42.00,42.00,2.197922,2197.922,1.669312,1669.312,0.040390,40.390,,,2.197922,2197.922
crc32,477166684,1665092636614,1665569803298,154565572.000,154.565572,0.018,36.00,36.00,42.00,43.00,2.203003,2203.003,1.674164,1674.164,0.040466,40.466,,,2.203003,2203.003
crc32,477208212,1665570879850,1666048088062,154602266.000,154.602266,0.018,36.00,36.00,43.00,42.00,2.207901,2207.901,1.679230,1679.230,0.040466,40.466,,,2.207901,2207.901
crc32,477175076,1666049234614,1666526409690,154505195.000,154.505195,0.018,36.00,36.00,42.00,42.00,2.220306,2220.306,1.688065,1688.065,0.040756,40.756,,,2.220306,2220.306
crc32,477175268,1666527308022,1667004483290,154593119.000,154.593119,0.017,36.00,37.00,42.00,42.00,2.203171,2203.171,1.674530,1674.530,0.040512,40.512,,,2.203171,2203.171
crc32,477163992,1667005625106,1667482789098,154589194.000,154.589194,0.018,37.00,36.00,42.00,42.00,2.195679,2195.679,1.667145,1667.145,0.040512,40.512,,,2.195679,2195.679
crc32,477198808,1667483963578,1667961162386,154538456.000,154.538456,0.018,36.00,36.00,42.00,42.00,2.205109,2205.109,1.676025,1676.025,0.040436,40.436,,,2.205109,2205.109
crc32,477221056,1667962126442,1668439347498,154525259.000,154.525259,0.018,36.00,36.00,42.00,42.00,2.204910,2204.910,1.676117,1676.117,0.040390,40.390,,,2.204910,2204.910
crc32,477200748,1668440247922,1668917448670,154489694.000,154.489694,0.018,36.00,37.00,42.00,42.00,2.198944,2198.944,1.670151,1670.151,0.040466,40.466,,,2.198944,2198.944
crc32,477280936,1668918267702,1669395548638,154546069.000,154.546069,0.018,37.00,36.00,42.00,42.00,2.200897,2200.897,1.672012,1672.012,0.040436,40.436,,,2.200897,2200.897
crc32,477175892,1669396446026,1669873621918,154504168.000,154.504168,0.018,36.00,36.00,42.00,42.00,2.195618,2195.618,1.668091,1668.091,0.040436,40.436,,,2.195618,2195.618
crc32,477172992,1669874582314,1670351755306,154504610.000,154.504610,0.044,36.00,36.00,42.00,42.00,2.212418,2212.418,1.680649,1680.649,0.040695,40.695,,,2.212418,2212.418
crc32,477200876,1670352639418,1670829840294,154515576.000,154.515576,0.018,36.00,36.00,42.00,42.00,2.197311,2197.311,1.668320,1668.320,0.040527,40.527,,,2.197311,2197.311
crc32,477170292,1670830731406,1671307901698,154601975.000,154.601975,0.018,36.00,36.00,42.00,42.00,2.199539,2199.539,1.670593,1670.593,0.040558,40.558,,,2.199539,2199.539
crc32,477186528,1671309131227,1671786317755,154625706.000,154.625706,0.018,36.00,36.00,42.00,42.00,2.198212,2198.212,1.669525,1669.525,0.040543,40.543,,,2.198212,2198.212
crc32,477175048,1671787549866,1672264724914,154609166.000,154.609166,0.017,36.00,36.00,42.00,42.00,2.214813,2214.813,1.685852,1685.852,0.040466,40.466,,,2.214813,2214.813
crc32,477176224,1672265926544,1672743102768,154631336.000,154.631336,0.018,36.00,36.00,42.00,42.00,2.196609,2196.609,1.667404,1667.404,0.040451,40.451,,,2.196609,2196.609
crc32,477162732,1672744387522,1673221550254,154612941.000,154.612941,0.018,36.00,36.00,42.00,42.00,2.203522,2203.522,1.674057,1674.057,0.040588,40.588,,,2.203522,2203.522
crc32,477176948,1673222779682,1673699956630,154561233.000,154.561233,0.017,36.00,37.00,42.00,42.00,2.195633,2195.633,1.666016,1666.016,0.040497,40.497,,,2.195633,2195.633
crc32,477169468,1673701010510,1674178179978,154451014.000,154.451014,0.017,37.00,36.00,42.00,42.00,2.199066,2199.066,1.669220,1669.220,0.040451,40.451,,,2.199066,2199.066
crc32,477210412,1674178897730,1674656108142,154641872.000,154.641872,0.017,36.00,37.00,42.00,42.00,2.197968,2197.968,1.668503,1668.503,0.040482,40.482,,,2.197968,2197.968
crc32,477164352,1674657381074,1675134545426,154610550.000,154.610550,0.018,36.00,37.00,42.00,42.00,2.197586,2197.586,1.668594,1668.594,0.040390,40.390,,,2.197586,2197.586
crc32,477276880,1675135777356,1675613054236,154645116.000,154.645116,0.018,37.00,36.00,42.00,43.00,2.197617,2197.617,1.667923,1667.923,0.040482,40.482,,,2.197617,2197.617
crc32,477200556,1675614271878,1676091472434,154598264.000,154.598264,0.018,36.00,37.00,43.00,42.00,2.263229,2263.229,1.734070,1734.070,0.040512,40.512,,,2.263229,2263.229
crc32,477165060,1676092621530,1676569786590,154507846.000,154.507846,0.018,37.00,37.00,42.00,42.00,2.201324,2201.324,1.672073,1672.073,0.040466,40.466,,,2.201324,2201.324
crc32,477169116,1676570685690,1677047854806,154587376.000,154.587376,0.017,37.00,37.00,42.00,42.00,2.184189,2184.189,1.669617,1669.617,0.040497,40.497,,,2.184189,2184.189
crc32,477223260,1677048998418,1677526221678,154613012.000,154.613012,0.018,37.00,37.00,42.00,42.00,2.204895,2204.895,1.675537,1675.537,0.040482,40.482,,,2.204895,2204.895
crc32,477208388,1677527391984,1678004600372,154520258.000,154.520258,0.018,37.00,36.00,42.00,42.00,2.202682,2202.682,1.672897,1672.897,0.040482,40.482,,,2.202682,2202.682
crc32,477169912,1678005512068,1678482681980,154506570.000,154.506570,0.018,36.00,37.00,43.00,43.00,2.202133,2202.133,1.672455,1672.455,0.040558,40.558,,,2.202133,2202.133
crc32,477173648,1678483575164,1678960748812,154510105.000,154.510105,0.018,37.00,37.00,43.00,42.00,2.197250,2197.250,1.667908,1667.908,0.040512,40.512,,,2.197250,2197.250
crc32,477184072,1678961646484,1679438830556,154509698.000,154.509698,0.017,37.00,37.00,42.00,42.00,2.202789,2202.789,1.673096,1673.096,0.040512,40.512,,,2.202789,2202.789
crc32,477179360,1679439718220,1679916897580,154508075.000,154.508075,0.017,37.00,37.00,42.00,42.00,2.196121,2196.121,1.666336,1666.336,0.040482,40.482,,,2.196121,2196.121
crc32,477216552,1679917797968,1680395014520,154606594.000,154.606594,0.018,37.00,36.00,42.00,42.00,2.214340,2214.340,1.684814,1684.814,0.040390,40.390,,,2.214340,2214.340
crc32,477185276,1680396181312,1680873366588,154617342.000,154.617342,0.018,36.00,36.00,42.00,42.00,2.224228,2224.228,1.677826,1677.826,0.040375,40.375,,,2.224228,2224.228
crc32,477171912,1680874573994,1681351745906,154588921.000,154.588921,0.018,36.00,37.00,42.00,42.00,2.196228,2196.228,1.666840,1666.840,0.040527,40.527,,,2.196228,2196.228
crc32,477326372,1681352893578,1681830219950,154614649.000,154.614649,0.018,37.00,36.00,42.00,42.00,2.203369,2203.369,1.673172,1673.172,0.040466,40.466,,,2.203369,2203.369
crc32,477212084,1681831301430,1682308513514,154622930.000,154.622930,0.017,36.00,37.00,42.00,42.00,2.213486,2213.486,1.668533,1668.533,0.040375,40.375,,,2.213486,2213.486
crc32,477197188,1682309713940,1682786911128,154572699.000,154.572699,0.018,37.00,37.00,42.00,42.00,2.198563,2198.563,1.669235,1669.235,0.040512,40.512,,,2.198563,2198.563
crc32,477189960,1682788062164,1683265252124,154611892.000,154.611892,0.043,37.00,37.00,42.00,43.00,2.196655,2196.655,1.667618,1667.618,0.040527,40.527,,,2.196655,2196.655
crc32,477175448,1683266462658,1683743638106,154596882.000,154.596882,0.018,36.00,36.00,43.00,42.00,2.204224,2204.224,1.674988,1674.988,0.040527,40.527,,,2.204224,2204.224
crc32,477190924,1683744794230,1684221985154,154595047.000,154.595047,0.017,36.00,36.00,42.00,42.00,2.195129,2195.129,1.666138,1666.138,0.040436,40.436,,,2.195129,2195.129
