benchmark,cpu_cycles,cycles_start,cycles_end,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
bubblesort,59748151104,2301893543014,2361641694118,330.532318,330532.318,,,330.532318,330532.318
bubblesort,59734793818,2361641833025,2421376626843,331.824860,331824.860,,,331.824860,331824.860
bubblesort,59734604949,2421376715778,2481111320727,332.826614,332826.614,,,332.826614,332826.614
bubblesort,59732897474,2481111407491,2540844304965,333.893860,333893.860,,,333.893860,333893.860
bubblesort,59734621856,2540844392358,2600579014214,334.026703,334026.703,,,334.026703,334026.703
bubblesort,59732873552,2600579100432,2660311973984,334.863693,334863.693,,,334.863693,334863.693
bubblesort,59731917452,2660312059854,2720043977306,334.971710,334971.710,,,334.971710,334971.710
bubblesort,59735422958,2720044063235,2779779486193,335.326599,335326.599,,,335.326599,335326.599
bubblesort,59732596005,2779779572949,2839512168954,335.628571,335628.571,,,335.628571,335628.571
bubblesort,59741591233,2839512254845,2899253846078,336.173233,336173.233,,,336.173233,336173.233
bubblesort,59732883173,2899253958623,2958986841796,336.282867,336282.867,,,336.282867,336282.867
bubblesort,59736387886,2958986928593,3018723316479,336.479233,336479.233,,,336.479233,336479.233
bubblesort,59733771651,3018723402733,3078457174384,336.802338,336802.338,,,336.802338,336802.338
bubblesort,59734661136,3078457259917,3138191921053,336.744736,336744.736,,,336.744736,336744.736
bubblesort,59740841942,3138192008913,3197932850855,337.061340,337061.340,,,337.061340,337061.340
bubblesort,59734137020,3197932960427,3257667097447,337.022400,337022.400,,,337.022400,337022.400
bubblesort,59733563310,3257667184135,3317400747445,337.395203,337395.203,,,337.395203,337395.203
bubblesort,59732829644,3317400833634,3377133663278,337.396667,337396.667,,,337.396667,337396.667
bubblesort,59736274340,3377133750432,3436870024772,337.046280,337046.280,,,337.046280,337046.280
bubblesort,59734225223,3436870111392,3496604336615,337.331558,337331.558,,,337.331558,337331.558
bubblesort,59733305473,3496604422237,3556337727710,337.792511,337792.511,,,337.792511,337792.511
bubblesort,59734339355,3556337812845,3616072152200,338.103638,338103.638,,,338.103638,338103.638
bubblesort,59731706236,3616072238357,3675803944593,338.085770,338085.770,,,338.085770,338085.770
bubblesort,59733648469,3675804030442,3735537678911,338.288101,338288.101,,,338.288101,338288.101
bubblesort,59740819643,3735537763689,3795278583332,338.973251,338973.251,,,338.973251,338973.251
bubblesort,59734562671,3795278680701,3855013243372,338.111740,338111.740,,,338.111740,338111.740
bubblesort,59734097508,3855013327822,3914747425330,338.518478,338518.478,,,338.518478,338518.478
bubblesort,59735350850,3914747512166,3974482863016,338.243835,338243.835,,,338.243835,338243.835
bubblesort,59734181008,3974482949104,4034217130112,338.508286,338508.286,,,338.508286,338508.286
bubblesort,59740802593,4034217215002,4093958017595,338.749664,338749.664,,,338.749664,338749.664
bubblesort,59738154706,4093958120293,4153696274999,338.530136,338530.136,,,338.530136,338530.136
bubblesort,59731812445,4153696361194,4213428173639,338.580688,338580.688,,,338.580688,338580.688
bubblesort,59733212857,4213428258644,4273161471501,338.829971,338829.971,,,338.829971,338829.971
bubblesort,59734470932,4273161556854,4332896027786,338.971024,338971.024,,,338.971024,338971.024
bubblesort,59734901956,4332896112873,4392631014829,339.177368,339177.368,,,339.177368,339177.368
bubblesort,59740977306,4392631100510,4452372077816,339.198807,339198.807,,,339.198807,339198.807
bubblesort,59736643692,4452372183195,4512108826887,338.873688,338873.688,,,338.873688,338873.688
bubblesort,59735583625,4512108913421,4571844497046,338.972366,338972.366,,,338.972366,338972.366
bubblesort,59733945856,4571844581871,4631578527727,338.696381,338696.381,,,338.696381,338696.381
bubblesort,59958362962,4631578612723,4691536975685,361.876434,361876.434,,,361.876434,361876.434
bubblesort,59735446016,4691537085821,4751272531837,339.035202,339035.202,,,339.035202,339035.202
bubblesort,59735488519,4751272617344,4811008105863,339.418549,339418.549,,,339.418549,339418.549
bubblesort,59736955109,4811008266730,4870745221839,339.439499,339439.499,,,339.439499,339439.499
bubblesort,59734628258,4870745310183,4930479938441,339.455231,339455.231,,,339.455231,339455.231
bubblesort,59743519448,4930480023838,4990223543286,339.574371,339574.371,,,339.574371,339574.371
bubblesort,59739393722,4990223678346,5049963072068,339.653656,339653.656,,,339.653656,339653.656
bubblesort,59736458537,5049963160716,5109699619253,339.407242,339407.242,,,339.407242,339407.242
bubblesort,59734130177,5109699704957,5169433835134,339.814240,339814.240,,,339.814240,339814.240
bubblesort,59733794346,5169433921302,5229167715648,339.709991,339709.991,,,339.709991,339709.991
bubblesort,59735576908,5229167802165,5288903379073,339.788101,339788.101,,,339.788101,339788.101
