unix_timestamp,active_power (mW)
1774539899623541,40840
1774539899666138,40950
1774539899708662,40760
1774539899751670,40780
1774539899794305,40810
1774539899837465,40820
1774539899880566,40760
1774539899923554,40650
1774539899966623,40760
1774539900009378,40750
1774539900054153,40720
1774539900097004,40730
1774539900139885,40870
1774539900182445,40790
1774539900225091,40750
1774539900268177,40840
1774539900311059,40670
1774539900354004,40760
1774539900397132,40760
1774539900440161,40750
1774539900482671,40730
1774539900525698,40720
1774539900568794,40710
1774539900614667,40810
1774539900657925,40790
1774539900701133,40790
1774539900744295,40760
1774539900787269,40630
1774539900829836,40770
1774539900873008,40680
1774539900915740,40740
1774539900958788,40800
1774539901001947,40670
1774539901045044,40760
1774539901088174,40700
1774539901135149,40730
1774539901178257,40750
1774539901221208,40760
1774539901264139,40710
1774539901307200,40730
1774539901350337,40830
1774539901393428,40830
1774539901436008,40840
1774539901479190,40860
1774539901522116,40770
1774539901565367,40770
1774539901608601,40760
1774539901655527,40800
1774539901698124,40800
1774539901741277,40730
1774539901784444,40800
1774539901827377,40800
1774539901870388,40830
1774539901913486,40830
1774539901956442,40760
1774539901999478,40730
1774539902042157,40800
1774539902085207,40850
1774539902128409,40760
1774539902171647,40710
1774539902216014,40760
1774539902258932,40800
1774539902302099,40730
1774539902345043,40680
1774539902387951,40680
1774539902431192,40790
1774539902474205,40760
1774539902517699,40650
1774539902560808,40650
1774539902603748,40790
1774539902646343,40770
1774539902689587,40730
1774539902736546,40720
1774539902779673,40790
1774539902822673,40790
1774539902865907,40660
1774539902909067,40720
1774539902951993,40730
1774539902994784,40890
1774539903037823,40670
1774539903080795,40780
1774539903123986,40740
1774539903166848,40870
1774539903209891,40760
1774539903253055,40850
1774539903297108,40760
1774539903340235,40710
1774539903382950,40800
1774539903426022,40760
1774539903469079,40770
1774539903512196,40810
1774539903555211,40760
1774539903598112,40790
1774539903641263,40840
1774539903684471,40810
1774539903727424,40770
1774539903770655,40760
1774539903817612,40800
1774539903860681,40760
1774539903903721,40780
1774539903946489,40730
1774539903989523,40750
1774539904032689,40770
1774539904075651,40810
1774539904118852,40720
1774539904162088,40670
1774539904205010,40720
1774539904248075,41030
1774539904291145,40820
1774539904337984,40730
1774539904381132,40750
1774539904424033,40800
1774539904467050,40850
1774539904509637,40740
1774539904552714,40730
1774539904595838,40780
1774539904638943,40840
1774539904681928,40790
1774539904725012,40720
1774539904767861,40690
1774539904810764,40750
1774539904853820,40770
1774539904898460,40650
1774539904941715,40850
1774539904984848,40830
1774539905027426,40800
1774539905069663,40770
1774539905112475,40790
1774539905155581,40820
1774539905198594,40860
1774539905241558,40750
1774539905284575,40670
1774539905327416,40690
1774539905370392,40790
1774539905413532,40780
1774539905459124,40740
1774539905502207,40760
1774539905544582,40830
1774539905587541,40750
1774539905629726,40720
1774539905672812,40750
1774539905715808,40810
1774539905758974,40840
1774539905802116,40760
1774539905845034,40710
1774539905887922,40730
1774539905931077,40760
1774539905974059,40750
1774539906019619,40660
1774539906062652,40780
1774539906105745,40840
1774539906148931,40700
1774539906192006,40690
1774539906234574,40760
1774539906277599,40940
1774539906320815,40870
1774539906363754,40780
1774539906407037,40690
1774539906449867,40750
1774539906493067,40840
1774539906540053,40670
1774539906583216,40640
1774539906626320,40770
1774539906669414,40800
1774539906712567,40830
1774539906755113,40800
1774539906798134,40710
1774539906841500,40750
1774539906884584,40730
1774539906927651,40800
1774539906970448,40790
1774539907013588,40790
1774539907060457,40780
1774539907103611,40720
1774539907146724,40740
1774539907189845,40830
1774539907233028,40830
1774539907275996,40920
1774539907318976,40800
1774539907362112,40790
1774539907405288,40750
1774539907447812,40800
1774539907490782,40880
1774539907534001,40780
1774539907580900,40800
1774539907623901,40850
1774539907667071,40830
1774539907709743,40840
1774539907752840,40700
1774539907795684,40900
1774539907838702,40830
1774539907881768,40850
1774539907924804,40750
1774539907967658,40740
1774539908010775,40740
1774539908053718,40690
1774539908096830,40700
1774539908141560,40770
1774539908184577,40760
1774539908227822,40700
1774539908271029,40740
1774539908314012,40790
1774539908357130,40820
1774539908400226,41230
1774539908443028,40730
1774539908485994,40700
1774539908529195,40790
1774539908572071,40650
1774539908615133,40750
1774539908661699,40760
1774539908704934,40700
1774539908747892,40820
1774539908791060,40760
1774539908834037,40790
1774539908877148,40760
1774539908920154,40810
1774539908963292,40780
1774539909005891,40760
1774539909048970,40710
1774539909092059,40770
1774539909135061,40750
1774539909182214,40710
1774539909225404,40680
1774539909268490,40710
1774539909311094,40740
1774539909353757,40760
1774539909396999,40750
1774539909440019,40700
1774539909482988,40750
1774539909526017,40790
1774539909568967,40670
1774539909611974,40770
1774539909654904,40730
1774539909697981,40700
1774539909742551,40650
1774539909785692,40770
1774539909828465,40820
1774539909871440,40800
1774539909914647,40780
1774539909957922,40750
1774539910001157,40750
1774539910043982,40800
1774539910086552,40740
1774539910129638,40840
1774539910172665,40810
1774539910215790,40830
1774539910262697,40800
1774539910305596,40730
1774539910348760,40790
1774539910392037,41000
1774539910435088,41370
1774539910478085,40890
1774539910521042,40790
1774539910564228,40830
1774539910607068,40760
1774539910650144,40690
1774539910693221,40680
1774539910736368,40710
1774539910783027,40640
1774539910826161,40780
1774539910869381,40790
1774539910912583,40720
1774539910955103,40790
1774539910997596,40790
1774539911040595,40710
1774539911083442,40820
1774539911126733,40840
1774539911169781,40780
1774539911212787,40900
1774539911255740,40830
1774539911298951,40730
1774539911343366,40890
1774539911385840,40820
1774539911428808,40860
1774539911471831,40770
1774539911514877,40700
1774539911558114,40800
1774539911601083,40710
1774539911644264,40850
1774539911687464,40780
1774539911730706,40740
1774539911773931,40700
1774539911817043,40870
1774539911863661,40810
1774539911906784,40790
1774539911949870,40790
1774539911992916,40820
1774539912035810,40730
1774539912078987,40860
1774539912122122,40840
1774539912165053,40780
1774539912207934,40780
1774539912250554,40830
1774539912293644,40800
1774539912336646,40740
1774539912383780,40750
1774539912426685,40920
1774539912469987,40950
1774539912512980,40870
1774539912556003,40770
1774539912598320,40800
1774539912641350,40760
1774539912684340,40710
1774539912727449,40770
1774539912770488,40800
1774539912813587,40830
1774539912856661,40760
1774539912899654,40820
1774539912944145,40800
1774539912987304,40830
1774539913030311,40850
1774539913073441,43500
1774539913116475,41150
1774539913159659,40780
1774539913202144,40760
1774539913245291,40690
1774539913288327,40700
1774539913331452,40730
1774539913374683,40730
1774539913417778,40770
1774539913464483,40870
1774539913507528,40790
1774539913550376,40800
1774539913593370,40790
1774539913636516,40780
1774539913679681,40770
1774539913722586,40730
1774539913765604,40780
1774539913808591,40710
1774539913851674,40690
1774539913894783,40740
1774539913937646,40810
1774539913984595,40920
1774539914027444,40790
1774539914070572,40790
1774539914113569,40720
1774539914156720,40730
1774539914199601,40790
1774539914242253,40780
1774539914285355,40820
1774539914328626,40780
1774539914371803,40900
1774539914414791,40780
1774539914458025,40800
1774539914504921,40800
1774539914547662,41110
1774539914590707,40680
1774539914633734,40740
1774539914676949,40750
1774539914719943,40760
1774539914762672,40760
1774539914805726,40800
1774539914848864,40790
1774539914892023,40770
1774539914934879,40770
1774539914977944,40790
1774539915024992,40830
1774539915067882,40710
1774539915111021,40700
1774539915153554,40760
1774539915196790,40760
1774539915239595,40810
1774539915282564,40780
1774539915325679,40810
1774539915368773,40890
1774539915411869,40780
1774539915455028,40820
1774539915498098,40810
1774539915545173,40860
1774539915588324,40810
1774539915631298,40860
1774539915673759,40820
1774539915716956,40850
1774539915760066,40870
1774539915803133,40900
1774539915846275,40680
1774539915889538,40890
1774539915932743,40740
1774539915975872,40760
1774539916018876,40730
1774539916065386,40660
1774539916108476,40750
1774539916151588,40710
1774539916194163,40760
1774539916237135,40770
1774539916280215,40720
1774539916323239,40750
1774539916366372,40750
1774539916409370,40780
1774539916452526,40670
1774539916495481,40770
1774539916537945,40930
1774539916580972,40700
1774539916625451,40730
1774539916668560,40780
1774539916711604,40700
1774539916754811,40830
1774539916797931,40820
1774539916840989,40790
1774539916883997,40750
1774539916927122,40820
1774539916969619,40870
1774539917012775,40780
1774539917055990,40770
1774539917099022,40800
1774539917145816,40810
1774539917188954,40770
1774539917231863,40810
1774539917275060,40740
1774539917318051,40760
1774539917360954,40840
1774539917403990,40680
1774539917447008,40650
1774539917490160,40650
1774539917533375,40750
1774539917576463,40890
1774539917619527,40780
1774539917666001,40780
1774539917708735,40750
1774539917751902,40800
1774539917794937,40800
1774539917838046,40770
1774539917881283,40800
1774539917924207,40730
1774539917967054,40790
1774539918010132,40710
1774539918053184,40730
1774539918096237,40760
