unix_timestamp,active_power (mW)
1774541017651549,42340
1774541017694074,41450
1774541017736972,42460
1774541017780148,42330
1774541017822986,42330
1774541017866068,42340
1774541017911207,42290
1774541017954325,42250
1774541017997402,42310
1774541018040564,42230
1774541018083504,42280
1774541018126469,42300
1774541018169653,42270
1774541018212733,42320
1774541018255611,42310
1774541018298327,42330
1774541018341529,42260
1774541018384530,42520
1774541018431008,42350
1774541018474102,42420
1774541018516847,42350
1774541018560008,42220
1774541018602412,42260
1774541018645527,42270
1774541018688145,42230
1774541018730949,42350
1774541018774042,42250
1774541018817211,42240
1774541018859764,42150
1774541018902590,42190
1774541018945656,42290
1774541018990482,42400
1774541019033319,42290
1774541019076190,42220
1774541019119257,42290
1774541019161815,42230
1774541019204811,42220
1774541019247540,42220
1774541019290733,42230
1774541019333673,42290
1774541019376780,42330
1774541019419721,42360
1774541019462327,42390
1774541019505199,42320
1774541019550391,42360
1774541019593529,42310
1774541019636684,42340
1774541019679742,42480
1774541019722694,42300
1774541019765677,42380
1774541019808722,42430
1774541019851644,42390
1774541019894575,42350
1774541019937573,42330
1774541019980596,42360
1774541020023679,42300
1774541020070306,42320
1774541020113428,42330
1774541020156594,42350
1774541020199626,42320
1774541020242616,42380
1774541020285753,42320
1774541020328930,42360
1774541020371822,42340
1774541020414856,42510
1774541020457867,42390
1774541020500961,42350
1774541020543507,42320
1774541020590023,42360
1774541020633131,42380
1774541020676268,42350
1774541020719294,42360
1774541020762378,42230
1774541020805549,42390
1774541020848459,42310
1774541020891528,42310
1774541020934566,42260
1774541020977649,42370
1774541021020806,42310
1774541021063858,42330
1774541021109720,42320
1774541021152647,42320
1774541021195379,42350
1774541021238556,42210
1774541021281135,42320
1774541021324316,42320
1774541021367441,42290
1774541021410661,42270
1774541021453821,42290
1774541021497008,42260
1774541021540571,42390
1774541021583693,42260
1774541021629616,42280
1774541021672615,42500
1774541021715566,42310
1774541021758220,42280
1774541021801158,42340
1774541021844326,42350
1774541021887144,42290
1774541021930283,42310
1774541021973230,42320
1774541022016363,42280
1774541022059514,42340
1774541022102422,42380
1774541022149205,42280
1774541022192370,42330
1774541022235515,42330
1774541022278671,42370
1774541022321924,42370
1774541022365112,42260
1774541022407861,42260
1774541022450904,42350
1774541022493683,42200
1774541022536712,42370
1774541022579357,42330
1774541022621940,42280
1774541022668901,42260
1774541022711992,42150
1774541022754938,42240
1774541022797966,42170
1774541022841049,42350
1774541022884150,42240
1774541022927090,42260
1774541022970231,42270
1774541023013452,42400
1774541023055846,42340
1774541023098516,42330
1774541023141573,42330
1774541023184815,42310
1774541023228793,42230
1774541023271939,42320
1774541023315085,42300
1774541023358238,42310
1774541023401414,42210
1774541023444365,42400
1774541023487538,42390
1774541023530784,42350
1774541023573609,42430
1774541023616553,42410
1774541023659018,42380
1774541023702058,42470
1774541023748629,42250
1774541023791673,42410
1774541023834705,42370
1774541023877793,42400
1774541023921026,42370
1774541023964109,42340
1774541024007351,42340
1774541024050544,42410
1774541024093687,42270
1774541024136611,42410
1774541024179611,42260
1774541024222610,42370
1774541024268486,42320
1774541024311269,42290
1774541024354005,42340
1774541024397218,42330
1774541024440223,42310
1774541024483370,42430
1774541024526498,42570
1774541024569626,42370
1774541024612644,42310
1774541024655723,42390
1774541024698615,42340
1774541024741718,42370
1774541024788256,42320
1774541024831503,42240
1774541024873881,42380
1774541024916968,42330
1774541024959947,42360
1774541025003135,42320
1774541025046123,42210
1774541025089277,42290
1774541025132329,42460
1774541025175197,42310
1774541025218328,42320
1774541025261331,42340
1774541025308149,42320
1774541025351349,42370
1774541025394593,42200
1774541025437667,42230
1774541025480571,42270
1774541025523666,42260
1774541025566201,42320
1774541025609194,42290
1774541025652318,42350
1774541025695467,42410
1774541025738379,42440
1774541025781484,42350
1774541025828029,42290
1774541025871223,42360
1774541025914327,42270
1774541025957371,42290
1774541026000339,42310
1774541026043398,42240
1774541026085734,42350
1774541026128652,42390
1774541026171704,42360
1774541026214545,42440
1774541026257563,42320
1774541026300647,42340
1774541026343819,42380
1774541026387937,42320
1774541026430975,42310
1774541026474184,42370
1774541026517397,42290
1774541026560542,42470
1774541026603491,42300
1774541026646663,42310
1774541026689689,42290
1774541026732618,42250
1774541026775699,42270
1774541026818671,42390
1774541026861615,42350
1774541026907736,42400
1774541026950745,42380
1774541026993617,42400
1774541027036639,42390
1774541027079672,42370
1774541027122656,42290
