unix_timestamp,active_power (mW)
1774542420444368,43050
1774542420488758,38250
1774542420531616,42760
1774542420574602,43130
1774542420617728,43170
1774542420660690,43110
1774542420703875,43030
1774542420747143,43070
1774542420789778,43130
1774542420832843,42990
1774542420875621,43060
1774542420918463,43050
1774542420961487,42980
1774542421004705,43060
1774542421049115,43090
1774542421091999,43090
1774542421135060,43030
1774542421177687,43040
1774542421220822,43100
1774542421263818,43230
1774542421306986,43090
1774542421350012,43130
1774542421393178,43150
1774542421436066,43100
1774542421478966,43120
1774542421521964,43110
1774542421565109,43170
1774542421609467,43180
1774542421652235,43120
1774542421695009,43290
1774542421738054,43160
1774542421781143,43070
1774542421824164,43150
1774542421867231,43140
1774542421909714,43150
1774542421952628,43080
1774542421995699,43050
1774542422038772,43060
1774542422082017,43140
1774542422125120,43110
1774542422169651,43260
1774542422212930,43180
1774542422255622,43140
1774542422298488,43190
1774542422341429,43190
1774542422384581,43130
1774542422427571,43110
1774542422470659,43050
1774542422513701,43100
1774542422556803,43140
1774542422599989,43130
1774542422642965,43100
1774542422689800,43090
1774542422732771,43090
1774542422775842,43080
1774542422818768,43110
1774542422861288,43090
1774542422904491,43090
1774542422947589,43090
1774542422990633,43130
1774542423033502,43150
1774542423076471,43150
1774542423119695,43130
1774542423162776,43130
1774542423205827,43170
1774542423250193,43170
1774542423293251,43310
1774542423336183,43180
1774542423379139,43140
1774542423422381,43180
1774542423465619,43120
1774542423508534,43200
1774542423551375,43090
1774542423594562,43140
1774542423637792,43280
1774542423681016,43230
1774542423723854,43110
1774542423770406,43090
1774542423813498,43160
1774542423856660,46760
1774542423899771,43200
1774542423942488,42970
1774542423985499,43120
1774542424028616,43030
1774542424071583,43060
1774542424114765,43110
1774542424157774,43100
1774542424200840,43090
1774542424244320,43090
1774542424290651,43100
1774542424333754,43080
1774542424376632,43190
1774542424419579,43170
1774542424462519,43130
1774542424505683,43170
1774542424548877,43180
1774542424591991,43110
1774542424634912,43020
1774542424677632,43080
1774542424720756,43070
1774542424763712,43030
1774542424806467,43110
1774542424850934,43060
1774542424893985,43160
1774542424937234,43100
1774542424980226,43170
1774542425023339,43070
1774542425066538,43050
1774542425109806,42970
1774542425152236,43030
1774542425195428,42980
1774542425237989,43040
1774542425281163,43000
1774542425324212,43040
1774542425367023,43190
1774542425411082,43130
1774542425454145,42970
1774542425497375,43090
1774542425540424,43090
1774542425583170,43050
1774542425625653,43060
1774542425668928,43040
1774542425712064,42980
1774542425754970,43150
1774542425797822,43040
1774542425840994,42990
1774542425883981,43040
1774542425927024,43110
1774542425971228,43090
1774542426014014,43060
1774542426056922,43070
1774542426099817,43140
1774542426143009,43080
1774542426186001,43120
1774542426229223,43200
1774542426272370,43060
1774542426315287,43190
1774542426358532,43070
1774542426401512,43170
1774542426444675,43170
1774542426487563,43180
1774542426531514,43130
1774542426574707,43110
1774542426617612,43170
1774542426660830,43080
1774542426704034,43110
1774542426746989,43140
1774542426789761,43110
1774542426832644,43190
1774542426875722,43100
1774542426918346,43080
1774542426961114,43060
1774542427003999,43160
1774542427046595,43090
1774542427091713,43160
1774542427134866,43030
1774542427177919,43160
1774542427221013,43100
1774542427264150,43100
1774542427307285,43130
1774542427349765,43070
1774542427392827,43300
1774542427435975,43090
1774542427478976,43090
1774542427522010,43110
1774542427565162,43010
1774542427611755,43010
1774542427654536,43110
1774542427697657,43180
1774542427740784,42990
1774542427783896,43020
1774542427827013,43210
1774542427870032,43120
1774542427913292,43080
1774542427956453,43040
1774542427999708,43140
1774542428042811,43060
1774542428085879,43060
1774542428131943,43100
1774542428175079,42980
1774542428218310,43070
1774542428261349,42910
1774542428304391,43030
1774542428347342,43010
1774542428390451,43010
1774542428433689,43100
1774542428476826,43100
1774542428519856,43100
1774542428563009,43070
1774542428605941,43010
1774542428652202,43200
1774542428695378,43130
1774542428738557,43100
1774542428781656,43140
1774542428824745,43130
1774542428867103,43180
1774542428910043,43120
1774542428952869,43080
1774542428995930,43020
1774542429038971,43030
1774542429081923,43030
1774542429124847,43090
1774542429167689,43080
1774542429212347,43700
1774542429255445,43060
1774542429298487,43170
1774542429341546,43060
1774542429384744,43160
1774542429427661,43200
1774542429470569,43180
1774542429513720,43160
1774542429556779,43050
1774542429599941,43060
1774542429643156,43180
1774542429685694,43030
1774542429732542,43070
1774542429775659,43170
1774542429818712,43170
1774542429861808,43150
1774542429904889,43160
1774542429948037,43070
1774542429990814,43080
1774542430033729,43180
1774542430076753,43160
1774542430119654,43150
1774542430162432,43170
1774542430205609,43150
1774542430248675,43210
1774542430292940,43190
1774542430335777,43150
1774542430378867,43250
1774542430421771,43200
1774542430464953,43230
1774542430508004,43260
1774542430550661,43180
1774542430593277,43150
1774542430636231,43120
1774542430679016,43070
1774542430721537,43130
1774542430764721,43110
1774542430807520,43160
1774542430853136,43160
1774542430896170,43200
1774542430939303,43210
1774542430982382,43110
1774542431025596,43140
1774542431068735,43090
1774542431111712,43090
1774542431154906,43010
1774542431198045,43050
1774542431241168,43110
1774542431284137,43060
1774542431327114,43000
1774542431373366,43200
1774542431416039,43030
1774542431459014,43110
1774542431502117,43170
1774542431545094,43030
1774542431588306,42980
1774542431631008,43010
1774542431673966,43140
1774542431716892,42970
