unix_timestamp,active_power (mW)
1774544405544975,43860
1774544405589540,35230
1774544405632774,44010
1774544405675073,43940
1774544405717634,43920
1774544405760757,43990
1774544405804034,43850
1774544405846545,43880
1774544405889632,43830
1774544405932684,43880
1774544405975845,43820
1774544406018637,44100
1774544406061493,43920
1774544406104420,43930
1774544406149619,43840
1774544406192801,43920
1774544406235888,43870
1774544406278972,43920
1774544406321812,43920
1774544406365028,43950
1774544406408321,43860
1774544406451554,43930
1774544406494799,43840
1774544406537667,43760
1774544406580572,43860
1774544406623507,43950
1774544406669935,43760
1774544406712988,43840
1774544406755534,43970
1774544406798617,43810
1774544406841718,43780
1774544406884820,43740
1774544406927877,43660
1774544406970935,43750
1774544407013988,43810
1774544407057060,44120
1774544407100202,44120
1774544407142887,44120
1774544407190063,44130
1774544407233189,44210
1774544407276389,44180
1774544407319190,44190
1774544407362043,44130
1774544407405129,44170
1774544407448170,43890
1774544407491275,43890
1774544407534625,43830
1774544407577576,43800
1774544407620656,43740
1774544407663643,43750
1774544407710134,43700
1774544407753288,43680
1774544407796303,43870
1774544407839440,43990
1774544407882452,43890
1774544407925417,43890
1774544407968505,43790
1774544408011527,43790
1774544408054247,43820
1774544408097409,44080
1774544408140564,44040
1774544408183512,44070
1774544408226328,44070
1774544408270401,44140
1774544408313540,43980
1774544408356707,44090
1774544408399726,44090
1774544408442791,44180
1774544408485666,44220
1774544408528829,44100
1774544408571655,44110
1774544408614696,44250
1774544408657795,44060
1774544408701064,43880
1774544408744146,43840
1774544408790517,43830
1774544408833470,43850
1774544408876405,43830
1774544408919251,43890
1774544408962433,43800
1774544409005344,43830
1774544409048417,43830
1774544409091415,43760
1774544409134673,43830
1774544409177802,43790
1774544409221057,43790
1774544409264306,43840
1774544409310386,43810
1774544409353504,43750
1774544409396480,43750
1774544409439712,43770
1774544409482799,43680
1774544409525773,43650
1774544409569015,43680
1774544409611977,43920
1774544409654984,43660
1774544409697520,43860
1774544409740374,43850
1774544409783121,44220
1774544409826258,44140
1774544409870578,44170
1774544409913687,44160
1774544409956883,44120
1774544410000069,44130
1774544410043333,44100
1774544410086250,43770
1774544410129515,43850
1774544410172666,43940
1774544410215393,43910
1774544410258503,43800
1774544410301474,43830
1774544410344362,43850
1774544410390608,43830
1774544410433711,43900
1774544410476946,43830
1774544410519577,43850
1774544410562651,43730
1774544410605599,43780
1774544410648339,43830
1774544410691635,43780
1774544410734457,43840
1774544410777445,43800
1774544410820489,43860
1774544410863425,43800
1774544410906139,43740
1774544410950635,43820
1774544410993579,43720
1774544411036609,43710
1774544411079335,43730
1774544411122435,43730
1774544411165473,43750
1774544411208464,43860
1774544411251425,43800
1774544411294550,43840
1774544411337566,43700
1774544411380664,43690
1774544411423711,43810
1774544411470883,43820
1774544411513980,43760
1774544411557093,43800
1774544411600061,43650
1774544411642810,43730
1774544411686006,43700
1774544411729228,43960
1774544411772144,43840
1774544411815157,43820
1774544411857504,43920
1774544411900587,43690
1774544411943524,43860
1774544411986497,43700
1774544412030788,43630
1774544412073906,43660
1774544412117002,43820
1774544412159882,43650
1774544412203079,43710
1774544412246106,43820
1774544412289214,43740
1774544412332387,43770
1774544412375248,43750
1774544412418388,43790
1774544412461031,43820
1774544412504126,43790
1774544412550635,43850
1774544412593736,43880
1774544412636836,43910
1774544412679868,43890
1774544412722974,43770
1774544412765534,43880
1774544412808435,43820
1774544412851337,43800
1774544412894520,43760
1774544412937452,43920
1774544412980468,43760
1774544413023469,43750
1774544413066341,43850
1774544413110799,43710
1774544413153927,43780
1774544413197028,43710
1774544413240033,43780
1774544413282803,43800
1774544413325897,43900
1774544413368521,43870
1774544413411710,43770
1774544413454993,43890
1774544413497750,43810
1774544413540839,43860
1774544413583799,43720
1774544413630586,43720
1774544413673761,43800
1774544413716888,43940
1774544413759960,43730
1774544413802881,43800
1774544413845834,43750
1774544413888931,43770
1774544413931892,43900
1774544413974598,44020
1774544414017836,43660
1774544414060839,43900
1774544414103631,43650
1774544414150607,43860
1774544414193703,43730
1774544414236631,43740
1774544414279641,43860
1774544414322660,43790
1774544414365584,43810
1774544414408656,43670
1774544414451558,43800
1774544414494538,43870
1774544414537776,43890
1774544414580975,43790
1774544414624117,43800
1774544414670562,43940
1774544414713371,43840
1774544414756308,43860
1774544414799558,43930
1774544414842858,43680
1774544414885872,43890
1774544414929156,43830
1774544414972196,43830
1774544415015524,43840
1774544415058773,43710
1774544415102170,43850
1774544415145040,43780
1774544415190507,43830
1774544415233499,43760
1774544415276541,43810
1774544415319224,43810
1774544415362454,43790
1774544415405449,43700
1774544415448511,43730
1774544415491362,43910
1774544415534065,43890
1774544415577085,43830
1774544415620286,43930
1774544415663112,43730
1774544415706403,43980
1774544415750354,43800
1774544415793466,43780
1774544415836489,43920
1774544415879524,43790
1774544415922628,43850
1774544415965541,43880
1774544416008684,44130
1774544416051557,43750
1774544416094638,43810
1774544416137684,43830
1774544416180814,43760
1774544416223992,43830
1774544416270069,43770
1774544416313236,43770
1774544416355982,43830
1774544416398901,43790
1774544416441863,43780
1774544416484838,43790
1774544416527648,43910
1774544416570734,43890
1774544416613891,43940
1774544416657035,43750
1774544416700226,43800
1774544416743425,43750
1774544416789953,43880
1774544416832987,43880
1774544416875913,43800
1774544416918999,43760
1774544416962021,43820
1774544417005187,43840
1774544417048303,43800
1774544417091482,43720
1774544417134578,43830
1774544417177659,43730
1774544417220744,43810
1774544417263821,43850
1774544417309708,43860
1774544417352885,43800
1774544417395911,43700
1774544417439085,43870
1774544417482279,43760
1774544417525284,43770
1774544417568305,43830
1774544417611246,43930
1774544417654483,43910
1774544417697504,43810
1774544417740524,43800
1774544417783545,43790
1774544417829414,43860
1774544417872462,43790
1774544417915358,43850
1774544417958517,43710
1774544418001533,43760
1774544418044594,43860
1774544418087830,43910
1774544418131027,43830
1774544418173727,43880
1774544418216743,43770
1774544418259892,43970
1774544418302606,43810
1774544418349168,43800
1774544418392235,43710
1774544418435425,43750
1774544418478558,43820
1774544418521554,43810
1774544418564689,43870
1774544418607729,43770
1774544418650604,43780
1774544418693593,43750
1774544418736721,43830
1774544418779562,43800
1774544418822630,43820
