unix_timestamp,active_power (mW)
1774545588876131,43920
1774545588918409,30170
1774545588960675,47560
1774545589003473,43480
1774545589046519,43910
1774545589089762,43890
1774545589132951,43900
1774545589175908,43900
1774545589218952,43940
1774545589262050,43920
1774545589307460,44000
1774545589350925,43870
1774545589393968,44010
1774545589437167,43930
1774545589480025,43920
1774545589523094,44160
1774545589565734,43940
1774545589608644,43940
1774545589651626,43970
1774545589694749,43940
1774545589737844,44060
1774545589780959,44040
1774545589827837,43910
1774545589870547,43850
1774545589913723,43880
1774545589956761,43960
1774545589999554,44060
1774545590042890,43860
1774545590085423,43920
1774545590128643,44050
1774545590171831,43970
1774545590214811,43980
1774545590257932,43930
1774545590300921,44060
1774545590343738,43980
1774545590388053,43960
1774545590430556,43890
1774545590473597,43990
1774545590516718,43940
1774545590559930,43940
1774545590602535,43950
1774545590645639,43820
1774545590688295,44110
1774545590731418,43960
1774545590774493,43910
1774545590817730,44090
1774545590860646,43900
1774545590903522,43960
1774545590948698,43990
1774545590991477,43980
1774545591034663,43920
1774545591077981,43920
1774545591121102,43930
1774545591164326,43950
1774545591207274,43900
1774545591250409,43970
1774545591293425,43890
1774545591336562,43950
1774545591379567,44000
1774545591422797,43950
1774545591468867,43990
1774545591511360,43880
1774545591554291,44070
1774545591597302,44030
1774545591640475,43980
1774545591683573,43990
1774545591725911,44010
1774545591769055,43920
1774545591811473,43900
1774545591854593,44130
1774545591897568,43940
1774545591940737,43970
1774545591983795,43910
1774545592029448,43900
1774545592072495,44040
1774545592115332,43930
1774545592158486,43970
1774545592201646,44000
1774545592244849,43940
1774545592288042,44000
1774545592330619,43870
1774545592373639,43910
1774545592416925,43960
1774545592459953,43950
1774545592502535,43950
1774545592545552,43950
1774545592589917,43910
1774545592632972,43970
1774545592676074,43930
1774545592719205,43990
1774545592761779,43830
1774545592804907,43900
1774545592847730,43930
1774545592890776,43960
1774545592933824,43970
1774545592976786,43870
1774545593019763,43930
1774545593062844,43840
1774545593105589,43910
1774545593150398,43860
1774545593193463,43930
1774545593236674,43890
1774545593279672,43990
1774545593322785,43880
1774545593365723,43840
1774545593408744,43900
1774545593451586,43880
1774545593494423,43940
1774545593537502,43900
1774545593580292,43900
1774545593623113,43980
1774545593666269,44100
1774545593710677,43850
1774545593753727,44000
1774545593796897,43920
1774545593839954,43900
1774545593883229,43940
1774545593926161,43980
1774545593969366,43870
1774545594012387,43920
1774545594055461,43900
1774545594098552,43900
1774545594141656,43920
1774545594184668,43870
1774545594231224,43900
1774545594274412,43960
1774545594317587,44020
1774545594360873,43920
1774545594403816,43830
1774545594446756,43930
1774545594489864,43940
1774545594532882,43940
1774545594575286,43920
1774545594618361,43900
1774545594661495,43910
1774545594704718,44010
1774545594751602,43890
1774545594794405,43920
1774545594837623,43950
1774545594880583,43990
1774545594923658,43990
1774545594966600,43910
1774545595009526,43970
1774545595052495,43930
1774545595095351,44020
1774545595138533,43980
1774545595181675,43970
1774545595224794,43840
1774545595267908,43900
1774545595312098,43930
1774545595355174,43940
1774545595397791,43870
1774545595440730,43960
1774545595483087,43990
1774545595526083,44060
1774545595569217,44020
1774545595612271,43860
1774545595655491,43940
1774545595698780,44250
1774545595741749,44120
1774545595784844,43850
1774545595827877,43940
1774545595872633,43910
1774545595915483,43960
1774545595958603,43890
1774545596001603,43910
1774545596044798,43970
1774545596087262,43970
1774545596129787,43890
1774545596172841,43790
1774545596215684,43920
1774545596258869,43940
1774545596301837,43970
1774545596345004,43900
1774545596387940,43950
1774545596433148,44020
1774545596476270,43960
1774545596519448,43910
1774545596562393,43830
1774545596605454,43950
1774545596648533,43920
1774545596691491,43930
