unix_timestamp,active_power (mW)
1774530955478750,42180
1774530955521063,41380
1774530955563857,42560
1774530955606402,42400
1774530955649637,42250
1774530955694251,42270
1774530955737456,42160
1774530955780568,42320
1774530955823389,42300
1774530955866647,42290
1774530955909375,42190
1774530955952378,42200
1774530955995381,42230
1774530956038511,42260
1774530956081431,42270
1774530956124346,42230
1774530956167345,42270
1774530956213942,42280
1774530956256944,42190
1774530956299840,42260
1774530956342692,42250
1774530956385715,42250
1774530956428912,42310
1774530956471795,42410
1774530956514966,42360
1774530956558123,42290
1774530956601153,42250
1774530956644258,42230
1774530956687064,42250
1774530956733602,42230
1774530956776565,42210
1774530956819207,42260
1774530956862311,42150
1774530956905466,42320
1774530956948603,42250
1774530956991714,42300
1774530957034271,42220
1774530957077358,42240
1774530957120463,42260
1774530957163486,42190
1774530957206520,42190
1774530957252922,42310
1774530957296068,42170
1774530957338541,42200
1774530957381722,42080
1774530957424865,42250
1774530957467912,42280
1774530957510857,42180
1774530957553784,42240
1774530957596971,42080
1774530957640087,42170
1774530957683097,42280
1774530957726215,42360
1774530957772651,42300
1774530957815712,42230
1774530957858896,42210
1774530957901407,42370
1774530957944154,42330
1774530957987031,42320
1774530958030220,42290
1774530958073160,42300
1774530958116325,42270
1774530958159069,42230
1774530958202148,42220
1774530958245223,42310
1774530958288345,42150
1774530958332317,42240
1774530958375398,42120
1774530958418495,42290
1774530958461702,42170
1774530958504796,42260
1774530958547718,42340
1774530958590454,42280
1774530958633510,42270
1774530958676580,42200
1774530958719679,42290
1774530958762702,42250
1774530958805884,42160
1774530958851782,42190
1774530958894906,42260
1774530958938033,42170
1774530958981163,42130
1774530959024342,42240
1774530959067148,42280
1774530959109633,42360
1774530959152810,42230
1774530959195834,42250
1774530959238751,42180
1774530959281730,42240
1774530959324839,42250
1774530959371322,42290
1774530959414365,42210
1774530959457530,42220
1774530959500524,42240
1774530959543272,42290
1774530959585733,42390
1774530959628935,42260
1774530959672185,42230
1774530959715115,42260
1774530959758130,42280
1774530959800998,42270
1774530959844273,42250
1774530959890943,42270
1774530959933941,42190
1774530959976878,42200
1774530960019595,42220
1774530960062628,42240
1774530960105709,42240
1774530960148885,42200
1774530960192124,42380
1774530960235226,42240
1774530960277707,42190
1774530960320562,42290
1774530960363672,42320
1774530960410754,42480
1774530960453911,42160
1774530960497078,42260
1774530960539950,42990
1774530960582676,42200
1774530960625896,42250
1774530960668877,42250
1774530960711798,42250
1774530960754888,42140
1774530960797963,42110
1774530960841001,42170
1774530960883407,42290
1774530960925924,42220
1774530960969865,42160
1774530961013014,42210
1774530961055973,42260
1774530961098941,42220
1774530961142229,42150
1774530961185471,42160
1774530961228616,42220
1774530961271783,42230
1774530961314900,42300
1774530961357965,42210
1774530961401004,42280
1774530961444084,42280
1774530961489662,42320
1774530961532708,42330
1774530961575592,42320
1774530961618589,42350
1774530961661872,42210
1774530961704796,42280
1774530961748001,42220
1774530961791106,42190
1774530961833835,42170
1774530961876939,42230
1774530961919927,42300
1774530961962641,42260
1774530962009132,42260
1774530962052279,42290
1774530962094971,42260
1774530962138148,42210
1774530962181343,42140
1774530962224635,42240
1774530962267451,42380
1774530962310755,42250
1774530962353769,42140
1774530962396887,42210
1774530962440039,42220
1774530962483116,42270
1774530962528697,42170
1774530962571721,42370
1774530962614546,42220
1774530962657763,42180
1774530962700112,42080
1774530962743379,42110
1774530962785803,42200
1774530962828700,42290
1774530962871796,42230
1774530962914766,42210
1774530962957903,42170
1774530963001121,42280
1774530963044369,42340
1774530963088110,42310
1774530963131361,42230
1774530963174571,42250
1774530963217567,42200
1774530963260606,42330
1774530963303257,42310
1774530963345926,42220
1774530963388918,42210
1774530963431773,42380
1774530963474663,42310
1774530963517811,42310
1774530963560934,42380
1774530963607873,42170
1774530963650929,42170
1774530963693861,42190
1774530963737048,42160
1774530963780025,42160
1774530963822932,42280
1774530963865754,42310
1774530963908511,42200
