unix_timestamp,active_power (mW)
1774532283262067,42280
1774532283304442,31420
1774532283347087,45350
1774532283389606,42920
1774532283432773,43130
1774532283475765,43140
1774532283518894,43150
1774532283561773,43310
1774532283605036,43040
1774532283648143,43120
1774532283691303,43100
1774532283733794,43110
1774532283777044,43080
1774532283822058,43050
1774532283865091,43090
1774532283908191,43050
1774532283950854,43040
1774532283994055,43030
1774532284037058,43040
1774532284080206,43040
1774532284123219,43020
1774532284166199,42980
1774532284209394,43050
1774532284252563,43040
1774532284295669,43090
1774532284341969,43170
1774532284385125,43140
1774532284428191,43150
1774532284470959,43060
1774532284513939,43050
1774532284556705,43020
1774532284599701,43020
1774532284642738,43130
1774532284685675,43110
1774532284728786,43090
1774532284771646,43010
1774532284814612,43020
1774532284861667,42910
1774532284904724,43080
1774532284947706,42960
1774532284990815,43020
1774532285033697,43040
1774532285076593,43000
1774532285119474,42980
1774532285162701,43070
1774532285205926,43090
1774532285249128,42970
1774532285292268,43140
1774532285335041,43030
1774532285381719,43090
1774532285424787,42980
1774532285467821,43060
1774532285510934,43020
1774532285553806,43210
1774532285596912,43130
1774532285640111,43120
1774532285682560,43160
1774532285725781,43240
1774532285769007,43170
1774532285812226,43110
1774532285855422,43140
1774532285901628,43100
1774532285944763,43140
1774532285987951,43040
1774532286031119,43030
1774532286074271,43060
1774532286117334,43020
1774532286160349,43130
1774532286203147,43020
1774532286246226,43140
1774532286289179,42990
1774532286331987,42960
1774532286375172,42990
1774532286421513,42940
1774532286464626,43060
1774532286507457,43010
1774532286549933,43090
1774532286593094,43010
1774532286636264,42970
1774532286679170,43010
1774532286721729,43000
1774532286764903,43010
1774532286807652,43040
1774532286850613,42990
1774532286894262,43050
1774532286937420,43040
1774532286981369,43070
1774532287024443,43000
1774532287067517,43060
1774532287110628,43060
1774532287153842,43100
1774532287196991,43010
1774532287240226,43040
1774532287283403,43020
1774532287326243,43100
1774532287369143,43050
1774532287412049,43030
1774532287455125,43010
1774532287501373,43100
1774532287544133,43110
1774532287587439,43280
1774532287630244,43300
1774532287673353,43170
1774532287716486,43140
1774532287759492,43130
1774532287802723,43140
1774532287845802,43080
1774532287888869,43040
1774532287931958,43030
1774532287975207,43100
1774532288021179,43110
1774532288063610,43100
1774532288106827,43120
1774532288149641,43050
1774532288192833,43190
1774532288235941,43110
1774532288278796,43000
1774532288321871,43080
1774532288364969,43040
1774532288407931,42970
1774532288450636,42920
1774532288493629,43060
1774532288536776,43110
1774532288581137,43040
1774532288624158,43030
1774532288666610,43020
1774532288709519,43060
1774532288752542,43000
1774532288795642,43140
1774532288838630,43060
1774532288881782,43140
1774532288924987,43010
1774532288968230,43120
1774532289011389,43210
1774532289054595,43110
1774532289101209,43100
1774532289144187,43070
1774532289187274,43090
1774532289230409,43090
1774532289273874,43060
1774532289317038,43000
1774532289359983,43060
1774532289403108,43070
1774532289446056,43080
1774532289489129,43090
1774532289532126,43090
1774532289575287,43050
1774532289620957,43110
1774532289664031,43200
1774532289707054,43330
1774532289749762,43150
1774532289792793,43100
1774532289835832,43130
1774532289878016,43050
1774532289921172,43040
1774532289964216,42980
1774532290006851,43080
1774532290049695,43050
1774532290092680,43050
1774532290135788,43010
1774532290180919,43060
1774532290223963,43090
1774532290266502,43110
1774532290309579,43040
1774532290352599,43060
1774532290395927,43090
1774532290439150,43060
1774532290481494,43110
1774532290524364,43030
1774532290567073,43090
1774532290609846,43060
1774532290653144,43040
1774532290696116,43080
1774532290741086,43050
1774532290784051,43050
1774532290826717,43080
1774532290869886,43060
1774532290913075,43030
1774532290956115,43000
1774532290999074,43040
1774532291041497,43020
1774532291083946,43100
1774532291126481,43110
1774532291169345,43050
1774532291212390,43140
1774532291255158,43100
1774532291300867,43090
1774532291344036,43100
1774532291387257,43080
1774532291429805,43070
1774532291473036,43110
1774532291515880,43080
1774532291558918,43250
1774532291601825,43110
1774532291644829,43130
1774532291687813,43120
1774532291730491,43000
1774532291773731,43310
1774532291820805,43200
1774532291864118,43060
1774532291907043,43050
1774532291950058,43060
1774532291993109,43100
1774532292035908,43000
1774532292078782,43020
1774532292121832,43090
1774532292164927,42950
1774532292208058,43080
1774532292250508,43020
1774532292293568,43090
1774532292340645,43100
1774532292383881,42990
1774532292426990,42960
1774532292469953,43100
1774532292513010,43100
1774532292556034,43090
1774532292599197,43160
1774532292642356,43110
1774532292685263,43130
1774532292728398,43110
1774532292771398,43090
1774532292814511,43150
1774532292860623,43140
1774532292904063,43090
1774532292947047,43130
1774532292990341,43150
1774532293033453,43130
1774532293076605,43200
1774532293119542,43160
1774532293162144,43180
1774532293205319,43180
1774532293248193,43180
1774532293290612,43160
1774532293333744,43110
1774532293380733,43130
1774532293423864,43100
1774532293466417,43160
1774532293509626,43130
1774532293552818,43290
1774532293595704,43160
1774532293638304,43170
1774532293681513,43170
1774532293724686,43130
1774532293767884,43120
1774532293811035,43220
1774532293854269,43090
1774532293900794,43100
1774532293943968,43050
1774532293986703,43130
1774532294029873,43010
1774532294072957,43160
1774532294116102,43010
1774532294159119,43040
1774532294201771,43160
1774532294244960,43040
1774532294287752,43100
1774532294330425,43050
1774532294373573,43150
1774532294420765,43090
1774532294463924,43100
1774532294506784,43150
1774532294549575,43140
1774532294592744,43060
1774532294635762,43040
