unix_timestamp,active_power (mW)
1774533457950660,42900
1774533457993331,38410
1774533458036373,41250
1774533458079360,43130
1774533458122534,42930
1774533458165766,42930
1774533458210903,42860
1774533458254087,42700
1774533458297320,42830
1774533458340402,42900
1774533458383260,42980
1774533458426314,42850
1774533458469348,42700
1774533458512472,42860
1774533458555043,43010
1774533458598081,42910
1774533458641308,42800
1774533458684490,42760
1774533458727087,42830
1774533458771405,42830
1774533458813891,42720
1774533458857054,42860
1774533458900053,42960
1774533458943014,42890
1774533458985434,42780
1774533459028380,42830
1774533459071324,42850
1774533459114568,43130
1774533459157710,42880
1774533459200717,42760
1774533459243880,42820
1774533459286520,42950
1774533459331912,42760
1774533459375119,42730
1774533459418173,42970
1774533459461305,42890
1774533459504224,42850
1774533459546716,42770
1774533459589849,42980
1774533459632915,42880
1774533459676148,42830
1774533459718978,42780
1774533459761488,42850
1774533459804445,42980
1774533459847322,42910
1774533459892591,42850
1774533459935745,42950
1774533459978897,42920
1774533460022043,42850
1774533460065141,42780
1774533460108294,42940
1774533460151157,42930
1774533460194200,42720
1774533460237328,42780
1774533460280345,42980
1774533460323324,42960
1774533460366035,42780
1774533460409078,42760
1774533460453157,43020
1774533460496367,42820
1774533460539250,42710
1774533460582258,42940
1774533460624929,42990
1774533460667910,42820
1774533460711069,42770
1774533460754228,42920
1774533460797302,42960
1774533460840239,42830
1774533460883475,42880
1774533460926546,42870
1774533460969702,42940
1774533461013742,42800
1774533461056850,42810
1774533461100135,43050
1774533461143393,42960
1774533461186573,42960
1774533461229582,42850
1774533461272805,42970
1774533461316029,42900
1774533461358641,42820
1774533461401508,42830
1774533461444770,42940
1774533461487844,42850
1774533461534151,42960
1774533461576985,43020
1774533461619807,42860
1774533461662674,42820
1774533461705807,42990
1774533461748917,42980
1774533461792015,42810
1774533461835125,42850
1774533461877725,42880
1774533461920953,43000
1774533461963878,42840
1774533462007059,42790
1774533462049360,42910
1774533462094893,42940
1774533462137960,42790
1774533462180523,42910
1774533462223573,42880
1774533462266291,42810
1774533462309266,42760
1774533462352271,42990
1774533462394861,42870
1774533462438076,42810
1774533462481315,42900
1774533462524422,42980
1774533462567505,42770
1774533462610266,42890
1774533462655537,42870
1774533462698317,42820
1774533462741375,42860
1774533462784454,42870
1774533462827507,42860
1774533462870570,42790
1774533462913646,42830
1774533462956814,42910
1774533462999677,42830
1774533463042775,42870
1774533463086024,42960
1774533463129157,42940
1774533463176095,42940
1774533463219328,43030
1774533463262492,43080
1774533463305392,42930
1774533463348511,42880
1774533463391321,42940
1774533463434295,42900
1774533463477238,42940
1774533463520234,42850
1774533463563358,42900
1774533463605693,43140
1774533463648617,42910
1774533463691779,42940
1774533463736940,42930
1774533463780041,42980
1774533463823196,42880
1774533463866188,42890
1774533463908711,43000
1774533463951668,42850
1774533463994605,42840
1774533464037715,42880
1774533464080858,42930
1774533464123859,42960
1774533464166878,42780
1774533464209712,42840
1774533464252926,42930
1774533464297347,42750
1774533464340265,42920
1774533464383304,42860
1774533464426374,42800
1774533464469357,42900
1774533464512410,42920
1774533464555231,42840
1774533464597840,42970
1774533464641084,42950
1774533464684240,42860
1774533464727002,42970
1774533464770235,42910
1774533464813279,42930
1774533464858330,42950
1774533464901429,42920
1774533464944460,42880
1774533464987364,42960
1774533465030314,42850
1774533465073332,42800
1774533465116315,42930
1774533465158868,42910
1774533465201703,42860
1774533465244753,42880
1774533465287816,43100
1774533465330828,43000
1774533465373972,42790
1774533465418859,43020
1774533465461705,42890
1774533465504827,42770
1774533465547333,42930
1774533465589709,43040
1774533465632905,42820
1774533465675836,42830
1774533465718903,43080
1774533465761342,42970
1774533465804257,42880
1774533465846884,42920
1774533465889898,42970
1774533465933051,42970
1774533465979602,42920
1774533466022786,42980
1774533466065770,42890
1774533466108938,42970
1774533466151854,42880
1774533466194835,42890
1774533466237791,42910
1774533466281016,42890
1774533466324131,42840
1774533466366662,42990
1774533466409634,42860
1774533466452562,42900
1774533466495435,42880
1774533466540186,42900
1774533466582899,42770
1774533466626019,42970
1774533466669020,42910
1774533466712145,42870
1774533466755155,42830
1774533466798335,42910
1774533466841363,42990
1774533466884474,42920
1774533466927421,42870
1774533466969875,42930
1774533467012996,42830
1774533467056031,42850
1774533467100945,42940
1774533467144099,42800
