unix_timestamp,active_power (mW)
1774533857761179,42190
1774533857803612,33000
1774533857846299,43320
1774533857889246,43870
1774533857932374,44050
1774533857975567,44020
1774533858018175,43960
1774533858060681,43940
1774533858103689,43940
1774533858146702,44080
1774533858189742,44040
1774533858232692,43800
1774533858275655,43920
1774533858319948,44100
1774533858362932,43980
1774533858406087,43800
1774533858449061,43810
1774533858492297,43960
1774533858535399,44020
1774533858578429,43750
1774533858621678,43700
1774533858664571,43710
1774533858707673,43910
1774533858750642,43920
1774533858793659,43730
1774533858840358,43770
1774533858883330,43840
1774533858926544,43810
1774533858969652,43810
1774533859012655,43680
1774533859055886,43730
1774533859098935,43830
1774533859142075,43930
1774533859185073,43860
1774533859228242,43810
1774533859270862,43690
1774533859313602,43850
1774533859356964,43870
1774533859401010,43770
1774533859444121,43830
1774533859486618,43890
1774533859529774,43820
1774533859572463,44030
1774533859615298,43760
1774533859658541,43810
1774533859701761,43800
1774533859744661,43910
1774533859787596,43880
1774533859830581,43770
1774533859873740,43800
1774533859916699,43760
1774533859961447,43910
1774533860004608,43900
1774533860047765,43790
1774533860090760,43760
1774533860133891,44020
1774533860176877,43800
1774533860219804,43740
1774533860263043,43840
1774533860305463,43830
1774533860348549,43830
1774533860391618,44060
1774533860434602,44080
1774533860477889,44110
1774533860521980,44330
1774533860565238,44270
1774533860608344,44110
1774533860651597,44070
1774533860694778,44070
1774533860737736,44120
1774533860780904,44230
1774533860823801,44170
1774533860866652,44010
1774533860909647,44110
1774533860952678,44070
1774533860995695,44210
1774533861042381,44040
1774533861085509,44110
1774533861128532,44230
1774533861171586,44230
1774533861214465,44140
1774533861257599,44090
1774533861300705,44270
1774533861343866,44100
1774533861387011,44180
1774533861429731,44240
1774533861472704,44050
1774533861515802,44200
1774533861558375,44220
1774533861602965,44230
1774533861645496,44070
1774533861688461,44270
1774533861731197,44120
1774533861774201,44260
1774533861817344,44160
1774533861860486,44190
1774533861903334,44050
1774533861945821,44230
1774533861988879,44210
1774533862031885,44230
1774533862074940,44210
1774533862118146,44070
1774533862163286,44160
1774533862206536,44200
1774533862249228,44260
1774533862292309,44180
1774533862335469,44090
1774533862378595,44210
1774533862421458,44220
1774533862463991,44210
1774533862507085,44280
1774533862549566,44180
1774533862592765,44270
1774533862635197,44200
1774533862678086,44280
1774533862723644,44130
1774533862766483,44080
1774533862809715,44180
1774533862852924,44130
1774533862896040,44280
1774533862939136,44180
1774533862982230,44040
1774533863025320,44120
1774533863067946,44140
1774533863111108,44120
1774533863153662,44240
1774533863196876,44130
1774533863239774,44090
1774533863284055,44220
1774533863327063,44220
1774533863369797,44110
1774533863412743,44190
1774533863455846,44100
1774533863498772,44150
1774533863541663,44340
1774533863584729,44220
1774533863627663,44120
1774533863670638,44080
1774533863713693,44040
1774533863756830,44100
1774533863799691,44190
1774533863844565,44120
1774533863887424,44000
1774533863929846,44140
1774533863972780,44190
1774533864015867,44160
1774533864058510,44100
1774533864101599,44240
1774533864144582,44020
1774533864187224,44150
1774533864230438,44120
1774533864273458,44180
1774533864316590,44150
1774533864359453,44160
1774533864405000,44070
1774533864448075,44160
1774533864491272,44130
1774533864534389,44080
1774533864577635,44060
1774533864620787,44240
1774533864663588,44280
1774533864706490,44260
1774533864749361,44150
1774533864792362,44060
1774533864835470,44070
1774533864878496,44090
1774533864925296,44080
1774533864967770,44230
1774533865010562,44220
1774533865053585,44100
1774533865096735,44120
1774533865139711,44170
1774533865182383,44240
1774533865225593,44230
1774533865268672,44120
1774533865311551,44060
1774533865354527,44220
1774533865397794,44270
1774533865440914,44220
1774533865485830,44160
1774533865528959,44050
1774533865571345,44260
1774533865613712,44100
1774533865656937,44240
1774533865700128,44260
1774533865742991,44210
1774533865786224,44120
1774533865829215,44100
1774533865872443,44240
1774533865915301,44190
1774533865958420,44160
1774533866001452,44190
1774533866046207,44080
1774533866089314,44210
1774533866132355,44200
1774533866175029,44290
1774533866218224,44130
1774533866261234,44110
1774533866304349,44030
1774533866347281,44150
1774533866389620,44200
1774533866432815,44210
1774533866475977,44070
1774533866519097,44270
1774533866562225,44270
1774533866606545,44190
1774533866649074,44410
1774533866692144,44250
1774533866735407,44170
1774533866777700,44050
1774533866820859,44100
1774533866864019,44170
1774533866907010,44250
1774533866950172,44270
1774533866993241,44210
1774533867036337,44160
1774533867078985,44020
1774533867122023,44090
1774533867166888,44240
1774533867210001,44130
1774533867253121,44080
1774533867296166,44120
1774533867339245,44000
1774533867381660,44160
1774533867424764,44110
1774533867467680,44190
1774533867510586,44200
1774533867553670,44160
1774533867596594,44290
1774533867639543,44070
1774533867682107,44220
1774533867727280,44200
1774533867770353,44250
1774533867813418,44150
1774533867856616,44150
1774533867899673,44180
1774533867942650,44170
1774533867985191,44260
1774533868028403,44130
1774533868071462,44200
1774533868114470,44060
1774533868157484,44180
1774533868200617,44160
1774533868247412,44220
1774533868290540,44070
1774533868333495,44170
1774533868376496,44290
1774533868419613,44310
1774533868462633,44200
1774533868505605,44070
1774533868548523,43860
1774533868590964,44160
1774533868633642,43990
1774533868676878,44060
1774533868720169,44200
1774533868763033,44190
1774533868807760,44220
1774533868850826,44060
1774533868894034,44050
1774533868937114,43990
1774533868980272,44100
1774533869023500,44210
1774533869066677,44140
1774533869109308,44120
1774533869152490,44090
1774533869195484,44170
1774533869238755,44000
1774533869281908,44170
1774533869328009,44180
1774533869371123,44190
1774533869414180,44050
1774533869457330,44130
1774533869500545,44000
1774533869543041,44330
1774533869586078,44220
1774533869629746,44240
1774533869672894,44150
1774533869716016,44250
1774533869759095,44130
1774533869802297,44030
1774533869848324,44160
1774533869891465,44190
1774533869933732,44090
1774533869976877,44200
1774533870020040,44170
1774533870063055,44110
1774533870105736,44110
1774533870148819,44060
1774533870191878,43960
1774533870234905,44140
1774533870278082,44230
1774533870321288,44160
1774533870364191,44240
1774533870408560,44270
1774533870451523,44060
1774533870494567,44040
1774533870537674,44590
1774533870580567,43920
1774533870623565,43960
1774533870666580,46330
1774533870709602,45340
1774533870752819,44180
1774533870795767,44290
1774533870838992,44080
1774533870882158,44070
1774533870928791,44200
1774533870971898,44190
1774533871014879,44280
1774533871057428,44230
1774533871100579,44160
1774533871143623,44210
1774533871186576,44030
1774533871229619,44140
1774533871272580,44320
1774533871315615,44200
1774533871358611,44230
1774533871401602,44260
1774533871444681,44130
1774533871489265,44080
1774533871532292,44100
1774533871575151,44200
1774533871617661,44170
1774533871660475,44200
1774533871703440,44230
1774533871746566,44160
1774533871789679,44180
1774533871832659,44100
1774533871875674,44100
1774533871918753,44160
1774533871961783,43960
1774533872004876,43970
1774533872049403,44070
1774533872092498,44200
1774533872135387,44200
1774533872177889,44350
1774533872221039,44130
1774533872264049,44160
1774533872307207,44170
1774533872349820,43920
1774533872393032,44140
1774533872436239,44620
1774533872479399,44130
1774533872522365,44250
1774533872565604,44180
1774533872609643,44100
1774533872652598,44040
1774533872695450,44250
1774533872738615,44240
1774533872781657,44240
1774533872824769,44320
1774533872868011,44270
1774533872910585,44280
1774533872953678,44110
1774533872996592,44060
1774533873039683,44070
1774533873082805,44170
1774533873125617,44160
1774533873170010,44150
1774533873213138,44170
1774533873256301,44090
1774533873299215,44110
1774533873341704,44150
1774533873384947,44060
1774533873428136,44120
1774533873471247,44010
1774533873513553,44010
1774533873556602,44030
1774533873599697,44110
1774533873642673,44090
1774533873685738,44190
1774533873730075,44200
1774533873773146,44190
1774533873816129,44020
1774533873859299,44120
1774533873902313,44020
1774533873945527,44130
1774533873988721,44260
1774533874031617,44190
1774533874074313,44300
