unix_timestamp,active_power (mW)
1774536664457955,43430
1774536664500303,36320
1774536664542998,43270
1774536664586130,43490
1774536664629300,43490
1774536664672434,43440
1774536664715451,43450
1774536664757786,43480
1774536664803595,43400
1774536664846595,43380
1774536664889524,43410
1774536664932688,43390
1774536664975701,43380
1774536665018650,43370
1774536665061666,43370
1774536665104611,43540
1774536665147586,43290
1774536665190666,43280
1774536665233600,43400
1774536665276667,43310
1774536665323205,43310
1774536665365973,43300
1774536665408701,43320
1774536665451719,43310
1774536665494459,43300
1774536665537563,43330
1774536665580318,43330
1774536665623270,43330
1774536665666002,43350
1774536665709050,43190
1774536665752125,43470
1774536665795248,43310
1774536665838276,43360
1774536665882844,43330
1774536665925931,43190
1774536665969146,43280
1774536666012399,43240
1774536666055566,43290
1774536666098674,43320
1774536666141860,43280
1774536666185035,43290
1774536666228218,43380
1774536666271018,43310
1774536666314044,43420
1774536666357082,43430
1774536666402568,43390
1774536666445683,43370
1774536666488779,43320
1774536666531929,43280
1774536666575160,43310
1774536666617592,43390
1774536666660559,43310
1774536666703560,43360
1774536666746606,43340
1774536666789737,43340
1774536666832871,43340
1774536666876027,43370
1774536666922216,43320
1774536666965393,43350
1774536667008527,43350
1774536667051662,43250
1774536667094622,43420
1774536667137863,43360
1774536667180892,43330
1774536667224061,43440
1774536667266958,43380
1774536667310124,43320
1774536667353044,43330
1774536667396213,43360
1774536667441957,43400
1774536667485065,43290
1774536667528146,43310
1774536667571114,43460
1774536667613873,43320
1774536667657027,43310
1774536667700128,43260
1774536667743227,43300
1774536667786274,43310
1774536667829488,43310
1774536667872589,43270
1774536667915507,43350
1774536667961662,43350
1774536668004681,43230
1774536668047663,43470
1774536668090708,43450
1774536668133954,43320
1774536668177177,43320
1774536668220339,43250
1774536668263507,43240
1774536668306505,43330
1774536668349523,43340
1774536668392634,43460
1774536668435696,43360
1774536668481327,43300
1774536668524450,43290
1774536668567298,43370
1774536668610417,43230
1774536668653483,43360
1774536668696619,43420
1774536668739302,43280
1774536668781880,43540
1774536668825047,43240
1774536668868108,43270
1774536668911165,43340
1774536668954320,43380
1774536669001139,43300
1774536669044202,43310
1774536669087343,43260
1774536669130310,43240
1774536669173384,43330
1774536669216344,43360
1774536669259319,43340
1774536669301965,43360
1774536669345074,43420
1774536669388214,43310
1774536669431242,43260
1774536669474377,43280
1774536669520894,43350
1774536669563895,43450
1774536669607143,43280
1774536669650354,43340
1774536669693543,43270
1774536669736753,43430
1774536669779790,43300
1774536669822786,43260
1774536669865128,43280
1774536669908203,43320
1774536669951222,43380
1774536669994358,43280
1774536670040626,43310
1774536670083756,43270
1774536670126820,43340
1774536670169677,43340
1774536670212594,43330
1774536670255644,43300
1774536670298615,43360
1774536670341730,43330
1774536670384668,43350
1774536670427610,43450
1774536670470344,43350
1774536670513378,43320
1774536670560409,43310
1774536670603510,43240
1774536670646659,43320
1774536670689575,43250
1774536670732590,43300
1774536670775221,43380
1774536670818254,43250
1774536670861392,43240
1774536670904425,43330
1774536670947574,43340
1774536670990663,43300
1774536671033631,43310
1774536671080017,43290
1774536671123176,43240
1774536671165646,43270
1774536671208896,43290
1774536671252006,43300
1774536671295045,43390
1774536671338179,43360
1774536671381313,43400
1774536671424248,43430
1774536671467353,43420
1774536671510380,43380
1774536671553433,43420
1774536671599998,43640
1774536671643121,43410
1774536671685560,43390
1774536671728470,43430
1774536671771179,43390
1774536671814236,43430
1774536671857314,43460
1774536671900516,43420
1774536671943741,43440
1774536671986859,43410
1774536672029358,43410
1774536672072583,43380
1774536672115693,43380
1774536672159806,43310
1774536672202940,43460
1774536672246114,43410
1774536672289340,43530
1774536672332569,43460
1774536672375736,43530
1774536672418696,43490
1774536672461710,43580
1774536672504622,43470
1774536672547763,43500
1774536672590857,43360
1774536672633751,43390
1774536672679665,43330
1774536672722640,43470
1774536672765645,43430
1774536672808688,43370
1774536672851508,43390
1774536672894349,43370
1774536672936938,43330
1774536672979973,43350
1774536673022944,43370
1774536673066031,43430
1774536673109240,43410
1774536673151663,43360
1774536673194578,43320
1774536673239278,43280
1774536673282314,43350
1774536673325268,43300
1774536673368364,43330
1774536673411350,43370
1774536673454477,43360
1774536673497275,43320
1774536673540410,43380
1774536673583443,43380
1774536673626540,43430
1774536673669556,43340
1774536673711983,43370
1774536673755218,43540
1774536673799195,43430
1774536673842301,43380
1774536673885439,43410
1774536673928493,43380
1774536673971335,43450
1774536674014428,43410
1774536674057546,43410
1774536674100563,43430
1774536674143809,43370
1774536674186943,43310
1774536674230070,43430
1774536674273229,43490
1774536674319089,43430
1774536674362196,43440
1774536674405248,43390
1774536674448202,43310
1774536674490938,43490
1774536674534144,43410
1774536674576525,43320
1774536674619542,43420
1774536674662330,43400
1774536674705598,43450
1774536674748659,43440
1774536674791664,43290
1774536674834655,43320
1774536674878793,43240
1774536674921872,43390
1774536674965027,43320
1774536675008082,43340
1774536675051238,43280
1774536675093746,43300
1774536675136856,43480
1774536675179786,43360
1774536675222952,43420
1774536675266121,43440
1774536675309001,43430
1774536675352127,43450
1774536675398655,43520
1774536675441673,43460
1774536675484647,43480
1774536675527880,43480
1774536675571142,43470
1774536675613581,43540
1774536675656817,43400
1774536675699913,43420
1774536675743029,43450
1774536675785974,43430
1774536675828996,43390
1774536675872050,43380
1774536675918560,43380
1774536675961599,43420
1774536676004646,43440
1774536676047741,43380
1774536676090939,43380
1774536676134089,43270
1774536676177115,43260
1774536676220043,43260
1774536676263025,43290
1774536676306240,43270
1774536676350295,43330
1774536676393314,43320
1774536676438508,43300
1774536676481600,43250
1774536676524413,43350
