unix_timestamp,active_power (mW)
1774520825970753,44940
1774520826013132,45180
1774520826056351,44970
1774520826099475,44920
1774520826142400,45030
1774520826185303,44820
1774520826228381,44980
1774520826271348,45010
1774520826314486,44900
1774520826359139,44930
1774520826402414,44950
1774520826445386,45010
1774520826488493,44860
1774520826530883,44930
1774520826573588,44970
1774520826616660,44920
1774520826659775,45010
1774520826702875,44940
1774520826746016,44860
1774520826789113,45150
1774520826832306,44920
1774520826878409,45020
1774520826921404,44920
1774520826964347,44910
1774520827007396,45030
1774520827049857,44880
1774520827093061,44950
1774520827136152,44930
1774520827178889,44840
1774520827222067,44920
1774520827265216,44940
1774520827308374,44880
1774520827351309,44990
1774520827397633,44970
1774520827440749,44930
1774520827483766,44790
1774520827526976,44950
1774520827569729,44930
1774520827612805,44890
1774520827655989,45000
1774520827699132,44890
1774520827742347,44980
1774520827785076,44980
1774520827828319,44810
1774520827871226,44920
1774520827916931,44850
1774520827959992,44920
1774520828003060,44840
1774520828046185,44910
1774520828089344,45030
1774520828132382,44930
1774520828175031,44810
1774520828218174,44960
1774520828261220,44880
1774520828304389,44850
1774520828347509,44930
1774520828390047,44850
1774520828436020,44950
1774520828478679,44870
1774520828521932,44990
1774520828565118,44950
1774520828608228,44980
1774520828651331,45020
1774520828694291,44910
1774520828737328,44870
1774520828780399,45080
1774520828822747,44940
1774520828866002,44930
1774520828908988,44900
1774520828955384,44910
1774520828998067,44940
1774520829041045,44880
1774520829084159,44890
1774520829127020,44940
1774520829170064,44790
1774520829212944,44990
1774520829256049,44830
1774520829299032,44890
1774520829341817,45020
1774520829385301,44840
1774520829428305,44890
1774520829474442,44880
1774520829517510,44850
1774520829560437,44990
1774520829603345,44680
1774520829646439,44920
1774520829689536,44930
1774520829732591,44910
1774520829775683,45000
1774520829818507,44890
1774520829861665,44910
1774520829904832,44910
1774520829947872,44840
1774520829993657,44870
1774520830036665,44910
1774520830079695,44990
1774520830122260,44870
1774520830165368,44980
1774520830208275,45030
1774520830251405,44890
1774520830294417,44950
1774520830337370,44960
1774520830380415,44810
1774520830423370,44990
1774520830466556,44950
1774520830512971,45040
1774520830556010,44890
1774520830599221,44900
1774520830641739,44970
1774520830684772,45960
1774520830727773,46420
1774520830770821,44920
