unix_timestamp,active_power (mW)
1774521932974793,47500
1774521933017042,23710
1774521933060045,32580
1774521933103207,46440
1774521933146333,47510
1774521933189416,47490
1774521933232623,47450
1774521933275776,47440
1774521933318943,47390
1774521933364710,47400
1774521933407778,47310
1774521933450631,47410
1774521933493555,47460
1774521933536636,47490
1774521933579292,47440
1774521933621695,47440
1774521933664664,47370
1774521933707582,47410
1774521933750662,47480
1774521933793850,47380
1774521933836934,47420
1774521933879997,47400
1774521933924159,47410
1774521933967269,47240
1774521934009757,47460
1774521934052883,47450
1774521934096060,47440
1774521934139157,47410
1774521934181848,47460
1774521934225035,47490
1774521934268040,47510
1774521934310854,47310
1774521934353858,47490
1774521934396942,47470
1774521934443695,47420
1774521934486437,47420
1774521934529572,47380
1774521934572742,47470
1774521934615606,47540
1774521934658512,47340
1774521934701524,47460
1774521934744580,47490
1774521934787544,47470
1774521934830145,47540
1774521934873223,47460
1774521934915614,47520
1774521934958747,47500
1774521935003122,47490
1774521935046318,47450
1774521935089495,47520
1774521935132535,47400
1774521935175571,47490
1774521935218484,47520
1774521935261718,47530
1774521935304652,47450
1774521935347723,47200
1774521935390358,47530
1774521935433410,47400
1774521935476484,47490
1774521935522611,47470
1774521935565696,47470
1774521935608648,47510
1774521935651722,47470
1774521935694894,47500
1774521935738168,47440
1774521935781325,47470
1774521935824471,47540
1774521935867675,47450
1774521935910698,47470
1774521935953675,47380
1774521935996760,47470
1774521936042296,47470
1774521936085272,47390
1774521936128287,47490
1774521936171338,47470
1774521936213771,47530
1774521936256840,47430
1774521936300096,47470
1774521936342645,47440
1774521936385650,47490
1774521936428530,47480
1774521936471361,47420
1774521936514564,47410
1774521936557351,47400
1774521936601770,47530
1774521936644862,47390
1774521936687952,47380
1774521936731151,47500
1774521936773659,47450
1774521936816815,47480
1774521936860012,47410
1774521936903099,47420
1774521936946141,47520
1774521936989242,47560
1774521937032413,47440
1774521937075433,47420
1774521937121358,47440
1774521937164400,47480
1774521937207501,47460
1774521937250752,47390
1774521937293961,47440
1774521937337077,47540
1774521937380112,47440
1774521937423062,47360
1774521937466207,47500
1774521937509503,47290
1774521937552537,47460
1774521937595309,47370
1774521937640778,47510
1774521937683247,47430
1774521937726283,47450
1774521937769226,47390
1774521937812356,47500
1774521937855575,47530
1774521937898305,47430
1774521937941564,47480
1774521937984792,47470
1774521938028321,47470
1774521938071134,47570
1774521938114310,47470
1774521938160309,47500
1774521938203471,47530
1774521938246567,47520
1774521938289534,47470
1774521938332631,47450
1774521938375293,47530
1774521938418339,47500
1774521938461494,47440
1774521938504530,47510
1774521938547422,47380
1774521938590567,47460
1774521938633581,47480
1774521938679825,47430
1774521938722622,47430
1774521938765685,47480
1774521938808681,47610
1774521938851846,47430
1774521938894980,47480
1774521938938050,47530
1774521938980596,47550
1774521939023757,47440
1774521939066894,47490
1774521939109970,47380
1774521939153040,47500
1774521939199397,47530
1774521939242569,47340
1774521939285687,47440
1774521939328778,47550
1774521939371986,47530
1774521939415131,47490
1774521939458258,47350
1774521939501289,47430
1774521939543989,47550
1774521939586288,47520
1774521939629248,47350
1774521939672171,47380
1774521939718955,47420
1774521939762029,47440
1774521939805263,47380
1774521939848352,47390
1774521939891394,47450
1774521939934076,47490
1774521939977330,47540
1774521940020400,47550
1774521940063631,47510
1774521940106526,47470
1774521940149703,47470
1774521940192418,47450
1774521940238603,47490
1774521940281689,47490
1774521940324698,47430
1774521940367583,47430
1774521940410570,47390
1774521940453419,47500
1774521940496847,47490
1774521940539769,47410
1774521940582972,47420
1774521940626119,47480
1774521940669288,47460
1774521940712509,47460
1774521940758261,47570
1774521940801357,47530
1774521940844559,47500
1774521940887722,47460
