unix_timestamp,active_power (mW)
1774522661082752,50010
1774522661125106,24080
1774522661168277,21770
1774522661211487,29190
1774522661254321,38840
1774522661297369,50490
1774522661340573,50220
1774522661383745,50190
1774522661426482,50100
1774522661469681,50110
1774522661515990,50050
1774522661558758,50050
1774522661601853,50000
1774522661644894,49990
1774522661687739,50020
1774522661730937,49980
1774522661773787,50050
1774522661816984,49990
1774522661859692,50010
1774522661902676,49980
1774522661945802,50120
1774522661988846,49980
1774522662035318,50090
1774522662078039,50070
1774522662121008,50110
1774522662163990,50100
1774522662207161,50060
1774522662250298,50020
1774522662293295,50090
1774522662336327,50000
1774522662379009,50120
1774522662422159,50060
1774522662465423,50070
1774522662508546,50150
1774522662554640,50090
1774522662597759,50150
1774522662640861,50090
1774522662683641,50070
1774522662726392,50160
1774522662769616,50040
1774522662812824,50050
1774522662855551,50190
1774522662898311,50160
1774522662941491,50100
1774522662984512,50080
1774522663027578,50090
1774522663073864,50010
1774522663116846,49980
1774522663159660,50040
1774522663202351,49980
1774522663245393,50010
1774522663288525,50000
1774522663331652,50020
1774522663374356,50050
1774522663417537,50060
1774522663460632,49990
1774522663503516,49940
1774522663546644,50040
1774522663593119,50070
1774522663636212,50030
1774522663679349,49930
1774522663722455,49930
1774522663765614,49980
1774522663808679,50030
1774522663851794,50010
1774522663894876,50040
1774522663937959,49990
1774522663980975,49970
1774522664023850,50090
1774522664066880,49960
1774522664112267,50050
1774522664155474,50110
1774522664198206,50070
1774522664241393,50120
1774522664284505,50110
1774522664327609,50100
1774522664370646,50060
1774522664413610,50110
1774522664456807,50050
1774522664499913,50080
1774522664542530,50090
1774522664585588,50010
1774522664631589,50030
1774522664674600,50060
1774522664717499,50000
1774522664760547,50090
1774522664803730,50130
1774522664846518,50150
1774522664889746,50050
1774522664932803,50180
1774522664975650,50040
1774522665018347,50020
1774522665061465,50060
1774522665104405,50090
1774522665150902,50050
1774522665193945,49960
1774522665236317,50080
1774522665279401,50020
1774522665322433,50000
1774522665365510,50020
1774522665408691,50050
1774522665451826,49960
1774522665494984,50000
1774522665538158,50110
1774522665581304,49970
1774522665624519,50010
1774522665670190,49960
1774522665713312,50010
1774522665756355,50040
1774522665799475,50110
1774522665842645,50080
1774522665885351,50040
1774522665928321,50020
1774522665971339,50080
1774522666014554,50060
1774522666057406,49990
1774522666100393,50010
1774522666143539,50050
1774522666189447,50120
1774522666232508,49960
1774522666275374,50060
1774522666318440,49980
1774522666361520,50060
1774522666404674,50000
1774522666448129,50050
1774522666490671,50400
1774522666533848,50030
1774522666576967,50010
1774522666620170,49970
1774522666663205,50060
1774522666708605,49980
1774522666751390,50050
1774522666794453,50270
1774522666837581,50040
1774522666880473,50100
1774522666923663,50050
1774522666966744,50050
1774522667009836,50120
1774522667052776,50030
1774522667095633,50090
1774522667138710,50080
1774522667181885,50070
1774522667227876,50060
1774522667270842,50020
1774522667313858,50100
1774522667356845,50160
1774522667399748,50130
1774522667442837,50070
1774522667485756,50060
1774522667528734,50050
