unix_timestamp,active_power (mW)
1774524982521070,49850
1774524982563394,25480
1774524982605865,22910
1774524982649016,24340
1774524982691549,32610
1774524982734652,43140
1774524982778037,50080
1774524982821234,49950
1774524982867744,49940
1774524982910435,49810
1774524982953384,49900
1774524982996555,49900
1774524983039526,49740
1774524983082619,49790
1774524983125623,49840
1774524983168658,49670
1774524983211586,49700
1774524983254787,49780
1774524983297745,49840
1774524983340815,49710
1774524983387735,49630
1774524983430781,49590
1774524983473771,49880
1774524983516750,49750
1774524983559747,49710
1774524983602413,49880
1774524983645365,49890
1774524983688464,49770
1774524983731117,49740
1774524983774098,49740
1774524983817130,49840
1774524983860382,49790
1774524983903590,49780
1774524983947690,49720
1774524983990441,49800
1774524984033608,49700
1774524984076853,49860
1774524984119781,49770
1774524984162652,49780
1774524984205656,49920
1774524984248710,49710
1774524984291646,49670
1774524984334077,49740
1774524984377234,49770
1774524984420338,49720
1774524984463261,49730
1774524984507579,49800
1774524984550628,49770
1774524984593645,49620
1774524984636809,49690
1774524984679824,49710
1774524984722776,49630
1774524984765679,49770
1774524984808606,49680
1774524984851727,49830
1774524984894847,49730
1774524984937749,49610
1774524984980770,49750
1774524985023599,49600
1774524985067507,49700
1774524985110628,49740
1774524985153652,49700
1774524985196650,49800
1774524985239695,49690
1774524985282753,49730
1774524985325951,49730
1774524985368892,49800
1774524985411772,49840
1774524985454763,49740
1774524985497812,49740
1774524985540938,49790
1774524985587481,49800
1774524985630310,49720
1774524985673438,49740
1774524985716670,49690
1774524985759863,49770
1774524985802931,49690
1774524985845589,49820
1774524985888133,49790
1774524985931017,49750
1774524985974181,49870
1774524986017150,49830
1774524986060292,49730
1774524986103428,49760
1774524986147402,49910
1774524986190491,49700
1774524986233787,49830
1774524986276657,49870
1774524986319593,49880
1774524986362629,49750
1774524986405646,49760
1774524986448810,49810
1774524986491911,49810
1774524986534463,49930
1774524986577633,49770
1774524986620712,49810
1774524986667414,49830
1774524986710503,49820
1774524986753687,49860
1774524986796741,49740
1774524986839823,49950
1774524986882521,49900
1774524986925583,49660
1774524986968743,49600
1774524987011913,49760
1774524987054476,49580
1774524987097635,49890
1774524987140803,49830
1774524987187376,49680
1774524987230589,49820
1774524987273760,49720
1774524987316873,49890
1774524987359784,49660
1774524987402895,49760
1774524987445921,49830
1774524987489108,49730
1774524987532262,49750
1774524987575095,49740
1774524987617749,49680
1774524987660768,49780
1774524987707368,49740
1774524987750506,49780
1774524987793622,49610
1774524987836879,49780
1774524987879811,49820
1774524987922230,49740
1774524987965478,49720
1774524988008682,49830
1774524988051978,49730
1774524988094664,49730
1774524988137698,49860
1774524988180830,49770
1774524988227319,49720
1774524988270476,49560
1774524988313662,49730
1774524988356877,49890
1774524988399794,49780
1774524988442619,49770
1774524988485580,49850
1774524988528336,49710
1774524988571533,49890
1774524988614637,49810
1774524988657831,49740
1774524988700520,49700
1774524988747287,49680
1774524988789821,49820
1774524988832953,49860
1774524988875917,49750
1774524988918628,49880
1774524988961594,49810
1774524989004729,49930
1774524989047668,49790
1774524989090614,49680
1774524989133297,49950
1774524989176501,49670
1774524989219593,49600
1774524989262622,49670
1774524989307310,49780
1774524989350368,49600
1774524989393386,49670
1774524989436451,49750
1774524989479614,49720
1774524989522514,49540
1774524989565744,49620
1774524989608940,49560
1774524989651871,49640
1774524989695021,49670
1774524989737506,49730
1774524989780558,49830
1774524989827226,49660
1774524989870368,49640
1774524989913542,49700
1774524989956554,49620
1774524989999650,49620
1774524990042451,49670
1774524990085686,49660
1774524990128945,49650
1774524990171940,49610
1774524990215038,49720
1774524990258151,49830
1774524990301300,49770
1774524990347176,49640
1774524990389749,49830
1774524990432906,49760
1774524990475786,49740
1774524990518515,49750
1774524990561589,49680
1774524990604590,49860
1774524990647652,49870
1774524990690373,49770
1774524990733501,49670
1774524990776482,49680
1774524990819591,49810
1774524990862520,49760
1774524990907242,49840
1774524990949691,49900
1774524990992858,49700
1774524991035807,49750
1774524991078905,49810
1774524991121771,49750
1774524991164946,49820
1774524991207881,49830
1774524991251055,49860
1774524991294022,49810
1774524991337201,49830
1774524991380318,49720
1774524991427186,49670
1774524991470299,49690
1774524991513360,49840
1774524991556328,49730
1774524991598939,49760
1774524991641802,49800
1774524991684896,49720
1774524991727883,49660
1774524991771015,49730
1774524991813922,49740
1774524991857108,49760
1774524991900273,49720
1774524991947135,49800
1774524991990698,49700
1774524992033826,49740
1774524992076739,49700
1774524992119889,49690
1774524992162486,49770
1774524992205649,49730
1774524992248778,49780
1774524992291647,49790
1774524992334546,49670
1774524992377666,49730
1774524992420685,49720
1774524992467142,49730
1774524992510295,49860
1774524992553503,49660
1774524992596613,49880
1774524992639473,49690
1774524992682489,49800
1774524992725634,49690
1774524992768743,49780
1774524992811759,49650
1774524992854826,49850
1774524992897731,49920
1774524992940922,49860
1774524992987021,49790
1774524993030180,49790
1774524993073405,49840
1774524993116603,49750
1774524993159818,49600
1774524993202755,49810
1774524993245739,49760
1774524993288653,49710
1774524993331486,49800
1774524993374525,49610
1774524993417679,49760
1774524993460828,49610
1774524993506889,49830
1774524993549788,49880
1774524993592937,49800
1774524993635861,49800
1774524993678945,49750
1774524993721875,49710
1774524993764788,49780
1774524993807957,49680
1774524993850742,49650
1774524993893939,49850
1774524993936941,49740
1774524993979931,49780
1774524994022753,49820
1774524994066757,49820
1774524994109634,49880
1774524994152686,49770
1774524994195597,49800
1774524994238521,49900
1774524994281441,49760
1774524994324610,49790
1774524994367787,49750
1774524994410925,49900
1774524994453576,49930
1774524994496706,49950
1774524994539889,49860
1774524994586741,49890
1774524994629809,49820
1774524994672787,49830
1774524994715844,49710
1774524994758496,49710
1774524994801686,49750
1774524994844766,49840
1774524994887804,49660
1774524994930871,49760
1774524994974127,49870
1774524995017283,49710
1774524995060157,49810
1774524995106743,49740
1774524995149807,49650
1774524995192812,49820
1774524995235788,49500
1774524995278401,49700
1774524995321561,49720
1774524995364580,49680
1774524995407684,49810
1774524995450539,49750
1774524995493813,49790
1774524995536998,49780
1774524995579850,49710
1774524995626589,49740
1774524995669717,49760
1774524995712836,49700
1774524995755770,49760
1774524995798340,49690
1774524995841555,49770
1774524995884638,49790
1774524995927680,49810
1774524995970778,49740
1774524996013805,49780
1774524996056894,49800
1774524996099716,49750
1774524996146673,49950
1774524996189748,50130
1774524996232771,49950
1774524996275685,49750
1774524996318722,49760
1774524996361894,49750
1774524996405126,49700
1774524996448213,49740
1774524996491154,49720
1774524996533789,49770
1774524996576849,49830
1774524996619954,49690
1774524996666626,49650
1774524996709617,49740
1774524996752618,49670
1774524996795681,49700
1774524996838587,49870
1774524996881741,49760
1774524996924773,49720
1774524996967717,49820
1774524997010583,49960
1774524997053689,49650
1774524997096838,49840
1774524997140012,49890
1774524997186552,49580
1774524997229718,49740
1774524997272777,49530
1774524997315690,49700
1774524997358918,49650
1774524997401829,49820
1774524997444940,49660
1774524997487791,49740
