unix_timestamp,active_power (mW)
1774527155772926,49160
1774527155815328,29950
1774527155857731,26390
1774527155900762,24350
1774527155943931,29630
1774527155986866,32860
1774527156030046,46250
1774527156076535,49200
1774527156119419,49170
1774527156162527,49220
1774527156205481,49150
1774527156248616,49210
1774527156291642,49190
1774527156334268,49200
1774527156377250,49190
1774527156420357,49140
1774527156463615,49170
1774527156506909,49160
1774527156549786,49170
1774527156596680,49230
1774527156639672,49160
1774527156682616,49120
1774527156725657,49170
1774527156768676,49150
1774527156811672,49170
1774527156854474,49210
1774527156897391,49230
1774527156940481,49080
1774527156983044,49150
1774527157025979,49290
1774527157069112,49180
1774527157112434,49140
1774527157156832,49190
1774527157199942,49150
1774527157243128,49080
1774527157286145,49100
1774527157329268,49160
1774527157372446,49100
1774527157415397,49070
1774527157457888,49080
1774527157501104,49090
1774527157543822,49110
1774527157586035,49150
1774527157629341,49100
1774527157672468,49230
1774527157716971,49150
1774527157759546,49120
1774527157802545,49070
1774527157845509,49120
1774527157888524,49090
1774527157931628,49060
1774527157974440,49040
1774527158017599,49190
1774527158060426,49120
1774527158103574,49140
1774527158146538,49080
1774527158189466,49160
1774527158232675,49200
1774527158277133,49130
1774527158320275,49160
1774527158363369,49180
1774527158406368,49140
1774527158449495,49110
1774527158492471,49160
1774527158535308,49110
1774527158578517,49130
1774527158621407,49150
1774527158664588,49100
1774527158707621,49100
1774527158750645,49100
1774527158797283,49100
1774527158840420,49550
1774527158883574,49800
1774527158926542,49370
1774527158969569,49210
1774527159012596,49250
1774527159055694,49310
1774527159098344,49280
1774527159141518,49200
1774527159184488,49230
1774527159227345,49270
1774527159270498,49150
1774527159317419,49230
1774527159360442,49180
1774527159403030,49220
1774527159446315,49220
1774527159489482,49300
1774527159532684,49240
1774527159575544,49200
1774527159618520,49250
1774527159661755,49260
1774527159704848,49210
1774527159747889,49250
1774527159790979,49200
1774527159837525,49220
1774527159880741,49110
1774527159923629,49130
1774527159966810,49210
1774527160009949,49220
1774527160052952,49140
1774527160096122,49120
1774527160139216,49120
1774527160181833,49130
1774527160224934,49090
1774527160268083,49160
1774527160311129,49110
1774527160357742,49210
1774527160400939,49160
1774527160443812,49200
1774527160486964,49170
1774527160529563,49120
1774527160572712,49160
1774527160615670,49150
1774527160658671,49180
1774527160701796,49150
1774527160744993,49180
1774527160788012,49180
1774527160831030,49160
1774527160877989,49320
1774527160921173,49130
1774527160964429,49120
1774527161007618,49190
1774527161050174,49140
1774527161093076,49130
1774527161136196,49200
1774527161178825,49140
1774527161221673,49180
1774527161264780,49200
1774527161307798,49180
1774527161350300,49140
1774527161393422,49090
1774527161438281,49050
1774527161481365,49120
1774527161524448,49120
1774527161567448,49040
1774527161610359,49170
1774527161652938,49110
1774527161696127,49090
1774527161739236,49070
1774527161781756,49040
1774527161824805,49090
1774527161867713,49120
1774527161910465,49060
1774527161953578,49100
1774527161998430,49100
1774527162041552,49000
1774527162084574,49140
1774527162127639,49070
1774527162170309,49130
1774527162213429,49140
1774527162256586,49030
1774527162299626,49080
1774527162342774,49170
1774527162385579,49080
1774527162428797,49180
1774527162471471,49140
1774527162514603,49110
1774527162558712,49040
1774527162601874,49050
1774527162644949,49040
1774527162687903,49140
1774527162731028,49050
1774527162774018,49050
1774527162817185,49070
1774527162860172,49100
1774527162902865,49180
1774527162945761,49160
1774527162988734,49110
1774527163031537,49100
1774527163074562,49030
1774527163118932,49050
1774527163161669,49130
1774527163204654,49090
1774527163247757,49070
1774527163290321,49150
1774527163333427,49090
1774527163376490,49100
1774527163419623,49010
1774527163462548,49110
1774527163505651,49130
1774527163548511,49060
1774527163591424,49030
1774527163634261,49010
1774527163679096,49080
1774527163721692,49100
1774527163764774,49040
1774527163807684,49030
1774527163850674,49020
1774527163893663,49050
1774527163936557,49110
1774527163979500,48990
1774527164022321,49060
1774527164065444,49090
1774527164108534,48960
1774527164151628,49220
1774527164193895,49150
1774527164239321,49120
1774527164282366,49060
1774527164325719,49060
1774527164368820,49200
1774527164411823,49140
1774527164455090,49150
1774527164498189,49160
1774527164541467,49100
1774527164584596,49130
1774527164627545,49130
1774527164670613,49140
1774527164713580,49150
1774527164759457,49050
1774527164802536,49110
1774527164845626,49160
1774527164888789,49090
1774527164931692,49120
1774527164974548,49050
1774527165017679,49250
1774527165060581,49030
1774527165103489,49140
1774527165146140,49120
1774527165189263,49110
