unix_timestamp,active_power (mW)
1774621769244193,45110
1774621769286491,45120
1774621769329060,45070
1774621769372162,45200
1774621769414951,45110
1774621769458226,45150
1774621769501395,45150
1774621769546790,45180
1774621769589885,45140
1774621769632979,45210
1774621769676023,45120
1774621769718713,45170
1774621769761829,45180
1774621769804940,45140
1774621769847413,45140
1774621769890611,45170
1774621769933619,45150
1774621769976688,45210
1774621770019861,45170
1774621770066286,45120
1774621770109475,45140
1774621770152531,45250
1774621770195566,45160
1774621770238552,45140
1774621770281648,45110
1774621770324573,45100
1774621770367313,45060
1774621770410779,45060
1774621770453728,45120
1774621770496729,45200
1774621770539765,45020
1774621770585903,45100
1774621770628882,45060
1774621770671774,45060
1774621770714562,45170
1774621770757845,45150
1774621770800943,45140
1774621770843890,45200
1774621770886616,45090
1774621770929744,45220
1774621770972785,46020
1774621771015757,45530
1774621771058492,45210
1774621771105534,45140
1774621771148644,45160
1774621771191724,45230
1774621771234919,45170
1774621771277856,45190
1774621771321024,45120
1774621771364033,45130
1774621771406906,45110
1774621771449840,45240
1774621771492894,45110
1774621771535801,45150
1774621771579021,45100
1774621771625168,45180
1774621771668271,45100
1774621771711490,45110
1774621771754654,45130
1774621771797334,45140
1774621771840296,45210
1774621771883445,45200
1774621771926254,45180
1774621771969483,45180
1774621772012682,45130
1774621772055747,45230
1774621772098613,45170
1774621772144831,45110
1774621772187892,45150
1774621772230783,45190
1774621772273923,45150
1774621772317099,45220
1774621772360305,45220
1774621772403399,45150
1774621772446512,45190
1774621772489484,45280
1774621772532562,45220
1774621772575201,45150
1774621772618311,45150
1774621772664419,45170
1774621772707474,45220
1774621772750410,45240
1774621772793555,45200
1774621772836730,45160
1774621772879864,45230
1774621772922434,45220
1774621772965556,45150
1774621773008702,45110
1774621773051302,45150
1774621773093691,45170
1774621773136913,45180
1774621773180006,45130
1774621773224015,45000
1774621773267028,44990
1774621773309965,45170
1774621773353112,45200
1774621773396249,45130
1774621773438987,45120
1774621773481642,45080
1774621773524727,45160
1774621773567683,45270
1774621773610784,45170
1774621773653733,45130
1774621773696786,45060
1774621773739162,45000
1774621773783613,45100
1774621773826628,45250
1774621773869706,45130
1774621773912700,45080
1774621773955684,45090
1774621773998727,44980
1774621774041905,45080
1774621774084916,45150
1774621774127933,45200
1774621774171036,45190
1774621774214012,45090
1774621774257117,45030
1774621774303349,45030
1774621774346451,45110
1774621774389684,45180
1774621774432748,45180
1774621774475718,45170
1774621774518507,45180
1774621774561348,45040
1774621774604553,44900
1774621774647048,45090
1774621774689677,45280
1774621774732677,45230
1774621774775720,45150
1774621774818883,44970
1774621774862945,45110
1774621774906023,45190
1774621774948898,45170
1774621774991832,45150
1774621775034875,45120
1774621775077764,45070
1774621775120948,45130
1774621775164043,45140
1774621775207015,45260
1774621775249340,45230
1774621775292228,45080
1774621775335357,45090
1774621775377929,45050
1774621775422600,45200
1774621775465624,45220
1774621775508772,45140
1774621775551893,45000
1774621775594916,45050
1774621775637782,45110
1774621775680992,45180
1774621775724091,45200
1774621775766966,45140
1774621775810083,45040
1774621775852635,45010
1774621775895193,45080
1774621775937578,45230
1774621775982361,45170
1774621776025380,45130
1774621776068598,45780
1774621776111734,45420
1774621776154855,45200
1774621776197381,45290
1774621776240564,45180
1774621776283336,45120
1774621776326624,45090
1774621776369775,45220
1774621776412914,45210
1774621776455537,45230
1774621776501980,45260
1774621776544988,45070
1774621776588111,45170
1774621776630926,45270
1774621776674037,45260
1774621776717038,45190
1774621776760233,45090
1774621776803350,45070
1774621776846542,45230
1774621776889614,45220
1774621776932853,45170
1774621776975820,45190
1774621777021436,45240
1774621777064113,45290
1774621777107050,45340
1774621777150304,45170
1774621777193470,45100
1774621777236644,45120
1774621777279494,45300
1774621777322609,45240
1774621777365792,45120
1774621777408907,45140
1774621777451910,45250
1774621777494601,45290
1774621777541153,45180
1774621777584282,45120
1774621777627042,45080
1774621777669505,45180
1774621777712699,45290
1774621777755915,45180
1774621777798974,45200
1774621777841590,45130
